<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82988</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MATA GRANDE - AL (OMM: 82988)
Latitude  (graus) : -9.11
Longitude (graus) : -37.73
Altitude  (metros): 635.00
Esta��o Desativada
Inicio de opera��o: 01/01/1929
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82988;01/01/1961;1200;;;;;5;7;0;
82988;01/01/1961;1800;;;;;9;4;0;
82988;02/01/1961;0000;;;;;14;7;0;
82988;02/01/1961;1200;;;;;9;7;0;
82988;02/01/1961;1800;;;;;14;6;2;
82988;03/01/1961;0000;;;;;14;8;0;
82988;03/01/1961;1200;;;;;9;3;0;
82988;03/01/1961;1800;;;;;14;4;0;
82988;04/01/1961;0000;;;;;14;5;0;
82988;04/01/1961;1200;;;;;14;5;2;
82988;04/01/1961;1800;;;;;14;5;3;
82988;05/01/1961;0000;;;;;14;7;0;
82988;05/01/1961;1200;;;;;14;3;5;
82988;05/01/1961;1800;;;;;14;4;2;
82988;06/01/1961;0000;;;;;14;8;0;
82988;06/01/1961;1200;;;;;14;1;3;
82988;06/01/1961;1800;;;;;14;2;3;
82988;07/01/1961;0000;;;;;9;4;2;
82988;07/01/1961;1200;;;;;14;3;4;
82988;07/01/1961;1800;;;;;14;4;3;
82988;08/01/1961;0000;;;;;9;4;0;
82988;08/01/1961;1200;;;;;14;3;5;
82988;08/01/1961;1800;;;;;14;3;3;
82988;09/01/1961;0000;;;;;14;5;3;
82988;09/01/1961;1200;;;;;14;5;3;
82988;09/01/1961;1800;;;;;14;3;2;
82988;10/01/1961;0000;;;;;14;7;0;
82988;10/01/1961;1200;;;;;14;5;2;
82988;10/01/1961;1800;;;;;14;4;2;
82988;11/01/1961;0000;;;;;14;5;0;
82988;11/01/1961;1200;;;;;14;3;3;
82988;11/01/1961;1800;;;;;14;6;4;
82988;12/01/1961;0000;;;;;14;5;4;
82988;12/01/1961;1200;;;;;14;4;6;
82988;12/01/1961;1800;;;;;14;4;5;
82988;13/01/1961;0000;;;;;14;6;4;
82988;13/01/1961;1200;;;;;14;5;6;
82988;13/01/1961;1800;;;;;14;4;4;
82988;14/01/1961;0000;;;;;14;8;0;
82988;14/01/1961;1200;;;;;14;3;7;
82988;14/01/1961;1800;;;;;14;4;5;
82988;15/01/1961;0000;;;;;14;5;6;
82988;15/01/1961;1200;;;;;14;3;8;
82988;15/01/1961;1800;;;;;9;4;6;
82988;16/01/1961;0000;;;;;14;6;6;
82988;16/01/1961;1200;;;;;14;5;8;
82988;16/01/1961;1800;;;;;23;2;7;
82988;17/01/1961;0000;;;;;23;4;9;
82988;17/01/1961;1200;;;;;14;5;7;
82988;17/01/1961;1800;;;;;9;3;6;
82988;18/01/1961;0000;;;;;5;4;8;
82988;18/01/1961;1200;;;;;9;4;9;
82988;18/01/1961;1800;;;;;9;3;8;
82988;19/01/1961;0000;;;;;14;4;9;
82988;19/01/1961;1200;;;;;14;3;8;
82988;19/01/1961;1800;;;;;14;4;7;
82988;20/01/1961;0000;;;;;14;5;8;
82988;20/01/1961;1200;;;;;14;5;7;
82988;20/01/1961;1800;;;;;14;3;5;
82988;21/01/1961;0000;;;;;14;6;5;
82988;21/01/1961;1200;;;;;14;4;6;
82988;21/01/1961;1800;;;;;14;4;7;
82988;22/01/1961;0000;;;;;14;7;8;
82988;22/01/1961;1200;;;;;5;3;7;
82988;22/01/1961;1800;;;;;9;3;5;
82988;23/01/1961;0000;;;;;14;6;8;
82988;23/01/1961;1200;;;;;14;4;5;
82988;23/01/1961;1800;;;;;14;6;3;
82988;24/01/1961;0000;;;;;14;6;4;
82988;24/01/1961;1200;;;;;14;5;4;
82988;24/01/1961;1800;;;;;14;5;2;
82988;25/01/1961;0000;;;;;14;6;0;
82988;25/01/1961;1200;;;;;14;3;6;
