<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82989</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : AGUA BRANCA - AL (OMM: 82989)
Latitude  (graus) : -9.28
Longitude (graus) : -37.9
Altitude  (metros): 605.34
Esta��o Operante
Inicio de opera��o: 05/05/1928
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82989;01/01/1977;1200;22.6;20.6;84;;14;5;9;
82989;01/01/1977;1800;28.4;22;58;;14;5;8;
82989;02/01/1977;0000;22.4;20.4;83;;14;7;7;
82989;02/01/1977;1200;24;21.2;78;;14;5;5;
82989;02/01/1977;1800;30.2;21;44;;14;7;4;
82989;03/01/1977;0000;23.2;18.2;63;;14;9;8;
82989;03/01/1977;1200;22.6;19.4;75;;14;5;8;
82989;03/01/1977;1800;28;21;54;;14;5;7;
82989;04/01/1977;0000;23.8;19.2;66;;14;5;6;
82989;04/01/1977;1200;24.4;20.6;72;;14;7;3;
82989;04/01/1977;1800;28.4;20.2;48;;14;3;7;
82989;05/01/1977;0000;23.4;19.7;72;;14;7;5;
82989;05/01/1977;1200;25.2;19.4;59;;14;3;7;
82989;05/01/1977;1800;28;20.4;51;;14;2;10;
82989;06/01/1977;0000;23.6;21;80;;14;8;10;
82989;06/01/1977;1200;24;20.9;76;;9;2;9;
82989;06/01/1977;1800;29.4;20.4;44;;14;4;7;
82989;07/01/1977;0000;24.1;20.4;73;;9;8;10;
82989;07/01/1977;1200;24.4;20.8;73;;14;5;5;
82989;07/01/1977;1800;27.4;21;57;;14;9;4;
82989;08/01/1977;0000;22.5;19;73;;14;9;0;
82989;08/01/1977;1200;24.2;19.8;68;;14;9;7;
82989;08/01/1977;1800;29.8;20.4;43;;14;8;4;
82989;09/01/1977;0000;21.7;19.6;83;;14;9;5;
82989;09/01/1977;1200;23.6;20.2;74;;14;7;7;
82989;09/01/1977;1800;23.9;21.8;83;;0;0;3;
82989;10/01/1977;0000;21.8;19.8;83;;14;7;2;
82989;10/01/1977;1200;24.2;21.2;77;;14;7;7;
82989;10/01/1977;1800;29.6;20.6;45;;14;7;4;
82989;11/01/1977;0000;22.9;19;71;;14;9;0;
82989;11/01/1977;1200;24;19.4;66;;14;10;7;
82989;11/01/1977;1800;28.4;19.8;45;;14;9;5;
82989;12/01/1977;0000;22.6;18.5;69;;14;10;0;
82989;12/01/1977;1200;23.6;20.2;74;;14;7;4;
82989;12/01/1977;1800;29.8;20;41;;14;7;6;
82989;13/01/1977;0000;22.4;19.4;76;;14;9;0;
82989;13/01/1977;1200;22.6;20.8;85;;14;5;9;
82989;13/01/1977;1800;23;22;92;;14;7;9;
82989;14/01/1977;0000;20.6;20.2;97;;14;9;10;
82989;14/01/1977;1200;21.2;21;98;;9;5;10;
