<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82990</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PAO DE ACUCAR - AL (OMM: 82990)
Latitude  (graus) : -9.75
Longitude (graus) : -37.43
Altitude  (metros): 19.10
Esta��o Operante
Inicio de opera��o: 14/03/1927
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82990;01/01/1977;1200;28.8;23.4;64;1011.3;14;3;8;
82990;01/01/1977;1800;24.3;22.7;87;1008.8;9;3;9;
82990;02/01/1977;0000;25.7;22.7;78;1011.2;14;7;6;
82990;02/01/1977;1200;27.7;23.5;71;1011.5;14;2;6;
82990;02/01/1977;1800;33.7;22.8;39;1006.7;9;6;5;
82990;03/01/1977;0000;26;22.2;72;1011.1;9;3;6;
82990;03/01/1977;1200;25.9;22.7;76;1010.3;0;0;8;
82990;03/01/1977;1800;29.7;22.7;55;1007.5;14;5;6;
82990;04/01/1977;0000;26.4;22.7;73;1008.8;14;6;2;
82990;04/01/1977;1200;27.5;23.1;69;1009.4;18;1;8;
82990;04/01/1977;1800;33.1;23;42;1004.8;14;3;7;
82990;05/01/1977;0000;26.6;21.9;67;1008.1;14;5;3;
82990;05/01/1977;1200;26.6;22.8;73;1009.8;0;0;9;
82990;05/01/1977;1800;32.3;23.3;46;1005.9;14;3;10;
82990;06/01/1977;0000;26.9;22.8;71;1009.1;14;6;8;
82990;06/01/1977;1200;27.9;23.8;71;1009.5;14;1;9;
82990;06/01/1977;1800;32.2;23.8;49;1005.5;9;14;9;
82990;07/01/1977;0000;26.7;22.8;72;1009.3;14;3;7;
82990;07/01/1977;1200;27.6;23.8;73;1010.4;14;3;7;
82990;07/01/1977;1800;29.6;23.7;61;1007;14;9;7;
82990;08/01/1977;0000;25.4;22.2;76;1010.3;14;3;0;
82990;08/01/1977;1200;28.8;22.8;60;1010.2;14;3;7;
82990;08/01/1977;1800;33.4;23.2;42;1006.6;14;7;5;
82990;09/01/1977;0000;26.6;22.2;69;1010.4;14;3;3;
82990;09/01/1977;1200;28.2;24.2;72;1009.5;18;1;6;
82990;09/01/1977;1800;34.5;24;41;1004;14;2;6;
82990;10/01/1977;0000;27.5;23;69;1007.7;9;1;8;
82990;10/01/1977;1200;27.9;23.8;71;1010.2;14;3;4;
82990;10/01/1977;1800;34.5;22.6;35;1005.8;14;6;8;
82990;11/01/1977;0000;26.3;22.2;70;1010.2;14;3;0;
82990;11/01/1977;1200;29.2;23;59;1010;14;2;6;
82990;11/01/1977;1800;32.6;22;40;1006;14;6;5;
82990;12/01/1977;0000;26.1;21.6;67;1009.6;9;3;0;
82990;12/01/1977;1200;28.9;23.2;62;1009.7;14;2;6;
82990;12/01/1977;1800;32.8;22.4;41;1006.3;14;8;6;
82990;13/01/1977;0000;26.4;22.3;70;1010.4;14;3;0;
82990;13/01/1977;1200;25.2;23.5;87;1011.3;9;6;10;
82990;13/01/1977;1800;29.4;24;64;1007.5;14;2;10;
82990;14/01/1977;0000;24.4;23.6;94;1010.7;14;1;10;
82990;14/01/1977;1200;28.2;24.4;73;1011.3;14;6;9;
82990;14/01/1977;1800;32.3;24.3;51;1007.7;14;7;6;
82990;15/01/1977;0000;26.8;23;73;1011.5;14;6;0;
82990;15/01/1977;1200;26.4;22.9;74;1012.2;14;1;10;
82990;15/01/1977;1800;31.3;22.6;47;1008.9;14;7;7;
82990;16/01/1977;0000;26.8;22.6;70;1011.6;14;1;0;
82990;16/01/1977;1200;27.4;23.7;73;1011.3;23;1;8;
82990;16/01/1977;1800;35.1;23.8;39;1006.4;14;3;5;
82990;17/01/1977;0000;27.5;23.2;70;1010;14;3;0;
82990;17/01/1977;1200;27.2;24.7;82;1007.4;23;1;10;
82990;17/01/1977;1800;36;23.8;36;1002.6;32;2;5;
82990;18/01/1977;0000;27.1;22;64;1008.8;9;1;10;
82990;18/01/1977;1200;29.9;24.4;64;1007.8;27;1;7;
