<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82991</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MAJOR ISIDORO - AL (OMM: 82991)
Latitude  (graus) : -9.55
Longitude (graus) : -37.01
Altitude  (metros): 200.00
Esta��o Desativada
Inicio de opera��o: 01/01/1929
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82991;01/01/1961;1200;;;;;9;2;5;
82991;01/01/1961;1800;;;;;14;4;6;
82991;02/01/1961;0000;;;;;14;1;2;
82991;02/01/1961;1200;;;;;14;3;4;
82991;02/01/1961;1800;;;;;9;2;5;
82991;03/01/1961;0000;;;;;14;1;3;
82991;03/01/1961;1200;;;;;9;3;3;
82991;03/01/1961;1800;;;;;14;4;5;
82991;04/01/1961;0000;;;;;14;5;3;
82991;04/01/1961;1200;;;;;14;3;4;
82991;04/01/1961;1800;;;;;18;4;6;
82991;05/01/1961;0000;;;;;14;3;4;
82991;05/01/1961;1200;;;;;9;7;7;
82991;05/01/1961;1800;;;;;14;6;7;
82991;06/01/1961;0000;;;;;14;2;0;
82991;06/01/1961;1200;;;;;14;3;7;
82991;06/01/1961;1800;;;;;14;6;6;
82991;07/01/1961;0000;;;;;14;3;2;
82991;07/01/1961;1200;;;;;9;4;5;
82991;07/01/1961;1800;;;;;14;6;6;
82991;08/01/1961;0000;;;;;9;5;3;
82991;08/01/1961;1200;;;;;14;2;7;
82991;08/01/1961;1800;;;;;14;7;7;
82991;09/01/1961;0000;;;;;14;3;2;
82991;09/01/1961;1200;;;;;14;4;7;
82991;09/01/1961;1800;;;;;14;2;8;
82991;10/01/1961;0000;;;;;14;2;2;
82991;10/01/1961;1200;;;;;9;3;5;
82991;10/01/1961;1800;;;;;14;6;6;
82991;11/01/1961;0000;;;;;14;2;0;
82991;11/01/1961;1200;;;;;14;2;4;
82991;11/01/1961;1800;;;;;14;5;7;
82991;12/01/1961;0000;;;;;9;5;0;
82991;12/01/1961;1200;;;;;9;2;5;
