<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82992</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PALMEIRA DOS INDIOS - AL (OMM: 82992)
Latitude  (graus) : -9.44
Longitude (graus) : -36.7
Altitude  (metros): 274.90
Esta��o Operante
Inicio de opera��o: 01/01/1928
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82992;19/02/1961;1200;27.4;21.1;56;;5;1;8;
82992;19/02/1961;1800;29.4;24.8;69;;5;1;8;
82992;20/02/1961;0000;24;22.4;86;;5;1;0;
82992;20/02/1961;1200;28;22.8;63;;5;1;6;
82992;20/02/1961;1800;29.6;23;56;;5;1;7;
82992;21/02/1961;0000;23.8;22;85;;9;1;0;
82992;21/02/1961;1200;27.8;24.4;74;;9;1;8;
82992;21/02/1961;1800;24.1;22.9;89;;5;2;9;
82992;22/02/1961;0000;23.1;22;90;;5;2;6;
82992;22/02/1961;1200;27;23.2;71;;5;1;7;
82992;22/02/1961;1800;31.2;25;60;;5;1;6;
82992;23/02/1961;0000;23.4;21.8;86;;5;1;5;
82992;23/02/1961;1200;28.6;24.1;67;;5;1;8;
82992;23/02/1961;1800;29.1;25.4;72;;5;2;8;
82992;24/02/1961;0000;24;22.4;86;;5;2;3;
82992;24/02/1961;1200;28.8;23.6;64;;5;3;7;
82992;24/02/1961;1800;30.4;25;64;;9;1;7;
82992;25/02/1961;0000;23.5;21.2;81;;5;2;2;
82992;25/02/1961;1200;27.4;24;74;;9;1;8;
82992;25/02/1961;1800;31;26;66;;14;1;7;
82992;26/02/1961;0000;24.2;22.6;87;;5;1;6;
82992;26/02/1961;1200;25.1;24;91;;0;0;10;
82992;26/02/1961;1800;31;25.4;63;;5;3;7;
82992;27/02/1961;0000;24.2;22.6;87;;5;1;8;
82992;27/02/1961;1200;26.8;24;78;;5;1;8;
82992;27/02/1961;1800;31.6;25.1;59;;14;2;8;
82992;28/02/1961;0000;23.1;22.8;97;;5;2;7;
82992;28/02/1961;1200;27.4;24.1;75;;5;1;8;
82992;28/02/1961;1800;32.8;26.1;58;;5;1;6;
82992;01/03/1961;0000;24.1;23;90;;5;1;8;
82992;01/03/1961;1200;28.6;25;73;;5;2;8;
82992;01/03/1961;1800;30.6;26;68;;5;3;8;
82992;02/03/1961;0000;24;22.6;88;;5;1;6;
82992;02/03/1961;1200;27.4;23;68;;5;2;3;
82992;02/03/1961;1800;32.8;26.4;60;;5;3;6;
82992;03/03/1961;0000;24.6;23.4;90;;14;2;8;
82992;03/03/1961;1200;26;23;76;;5;2;2;
82992;03/03/1961;1800;33.4;26.6;58;;14;3;8;
82992;04/03/1961;0000;25.8;22.6;75;;5;2;9;
