<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82994</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MACEIO - AL (OMM: 82994)
Latitude  (graus) : -9.66
Longitude (graus) : -35.7
Altitude  (metros): 64.50
Esta��o Operante
Inicio de opera��o: 01/01/1909
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82994;01/01/1961;1200;28.4;23.7;66;1006;9;6;6;
82994;01/01/1961;1800;29.2;24.1;64;1004;9;5;6;
82994;02/01/1961;0000;25.8;22.6;75;1005.9;23;4;6;
82994;02/01/1961;1200;28.3;22.8;60;1007.1;9;4;5;
82994;02/01/1961;1800;28.8;23.2;60;1005.1;5;8;0;
82994;03/01/1961;0000;25.8;22.4;73;1006.6;9;4;6;
82994;03/01/1961;1200;28.2;23.4;65;1007.8;9;4;3;
82994;03/01/1961;1800;29.5;24;61;1004.8;5;8;0;
82994;04/01/1961;0000;25.9;23.6;82;1005.9;9;4;5;
82994;04/01/1961;1200;28.5;24.5;71;1007.4;9;4;5;
82994;04/01/1961;1800;29.3;24.9;68;1004.2;5;8;4;
82994;05/01/1961;0000;26;24;84;1005.9;5;6;5;
82994;05/01/1961;1200;28.8;24.1;66;1006.2;9;5;6;
82994;05/01/1961;1800;28.9;23.4;61;1004.7;9;5;6;
82994;06/01/1961;0000;25.9;23.2;79;1005.4;9;2;5;
82994;06/01/1961;1200;28.7;24.2;68;1006.3;9;3;6;
82994;06/01/1961;1800;29.3;24.2;64;1004.6;9;6;6;
82994;07/01/1961;0000;25.9;23.4;80;1006.3;9;3;5;
82994;07/01/1961;1200;28.9;24.2;67;1006.8;5;7;6;
82994;07/01/1961;1800;28.8;24.2;67;1004.3;5;8;8;
82994;08/01/1961;0000;25.8;23.6;83;1006;9;3;0;
82994;08/01/1961;1200;28.6;24.2;68;1006.8;9;6;6;
82994;08/01/1961;1800;28.9;24.5;69;1004.4;5;7;5;
82994;09/01/1961;0000;25.9;23.9;84;1005.6;5;4;5;
82994;09/01/1961;1200;27.6;24.2;75;1007.2;5;4;9;
82994;09/01/1961;1800;28;24.1;71;1004.3;5;7;9;
82994;10/01/1961;0000;25.7;23.4;81;1005.6;9;2;0;
82994;10/01/1961;1200;27.8;23.8;70;1006.6;5;4;5;
82994;10/01/1961;1800;28.8;24.1;66;1004.7;5;7;4;
82994;11/01/1961;0000;25.7;23.8;84;1006.3;9;2;0;
82994;11/01/1961;1200;28.3;24.1;69;1006.7;5;4;5;
82994;11/01/1961;1800;28.5;24.1;68;1004.3;5;7;5;
82994;12/01/1961;0000;25.8;23.9;85;1006.4;5;6;0;
82994;12/01/1961;1200;27.5;24.3;75;1006.6;5;6;9;
82994;12/01/1961;1800;28.7;24.4;69;1004.7;5;5;9;
82994;13/01/1961;0000;26;24;84;1006.3;9;3;0;
82994;13/01/1961;1200;24.7;23.9;93;1007.4;14;5;10;
82994;13/01/1961;1800;27.1;24.2;78;1004.6;14;3;9;
82994;14/01/1961;0000;25.1;23.6;88;1005.6;14;4;0;
82994;14/01/1961;1200;28.2;24;69;1006;14;3;5;
82994;14/01/1961;1800;28.3;23.8;67;1004.7;14;4;8;
82994;15/01/1961;0000;25.2;23.6;87;1005.4;14;3;8;
82994;15/01/1961;1200;26.9;24.1;79;1005.8;18;4;8;
82994;15/01/1961;1800;28.9;24.7;70;1004.8;18;4;7;
82994;16/01/1961;0000;25.3;24.1;91;1006.3;18;2;5;
82994;16/01/1961;1200;28.8;25.2;73;1006.8;14;4;7;
82994;16/01/1961;1800;28.4;24.6;73;1004.4;9;4;6;
82994;17/01/1961;0000;26.3;24.5;86;1005.9;14;2;10;
82994;17/01/1961;1200;26.5;24.6;85;1007.2;14;7;10;
82994;17/01/1961;1800;28.5;24.6;72;1005.8;9;4;9;
82994;18/01/1961;0000;25;24;92;1006.8;14;4;10;
82994;18/01/1961;1200;27.3;24.9;81;1007.9;14;6;9;
82994;18/01/1961;1800;24.4;23.6;94;1007.8;0;0;10;
82994;19/01/1961;0000;24.4;23.8;95;1008.7;18;4;10;
82994;19/01/1961;1200;27.6;24.9;79;1008.7;14;4;8;
82994;19/01/1961;1800;25.9;23.8;83;1007.6;14;4;9;
82994;20/01/1961;0000;25.5;24;88;1009.5;18;4;10;
82994;20/01/1961;1200;23.7;22.6;91;1010.6;0;0;10;
82994;20/01/1961;1800;26.5;23.6;77;1007.4;14;4;8;
82994;21/01/1961;0000;24.5;23;87;1009.4;0;0;4;
82994;21/01/1961;1200;24.7;23.4;89;1008.4;14;2;10;
82994;21/01/1961;1800;28.2;24.7;74;1006.7;14;3;9;
82994;22/01/1961;0000;25.8;24.3;88;1008.6;9;3;5;
82994;22/01/1961;1200;25.6;24.4;90;1008.6;0;0;10;
82994;22/01/1961;1800;27.9;25.2;80;1006.4;14;3;9;
82994;23/01/1961;0000;25.7;24.2;88;1008.4;0;0;10;
82994;23/01/1961;1200;27.5;24.8;79;1008.7;14;2;8;
82994;23/01/1961;1800;28.8;25;72;1007.4;9;4;9;
82994;24/01/1961;0000;26.2;24.6;88;1009.8;0;0;10;
