<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82995</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ARAPIRACA - AL (OMM: 82995)
Latitude  (graus) : -9.73
Longitude (graus) : -36.76
Altitude  (metros): 247.00
Esta��o Desativada
Inicio de opera��o: 01/01/1929
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82995;01/01/1961;1200;;;;;0;0;4;
82995;01/01/1961;1800;;;;;9;3;8;
82995;02/01/1961;0000;;;;;9;2;6;
82995;02/01/1961;1200;;;;;9;3;8;
82995;02/01/1961;1800;;;;;9;2;10;
82995;03/01/1961;0000;;;;;0;0;8;
82995;03/01/1961;1200;;;;;9;4;9;
82995;03/01/1961;1800;;;;;9;3;6;
82995;04/01/1961;0000;;;;;9;2;4;
82995;04/01/1961;1200;;;;;9;3;8;
82995;04/01/1961;1800;;;;;5;3;10;
82995;05/01/1961;0000;;;;;9;2;8;
82995;05/01/1961;1200;;;;;5;3;8;
82995;05/01/1961;1800;;;;;9;2;6;
82995;06/01/1961;0000;;;;;0;0;0;
82995;06/01/1961;1200;;;;;0;0;4;
82995;06/01/1961;1800;;;;;5;3;5;
82995;07/01/1961;0000;;;;;9;2;6;
82995;07/01/1961;1200;;;;;9;2;10;
82995;07/01/1961;1800;;;;;9;2;9;
82995;08/01/1961;0000;;;;;0;0;6;
82995;08/01/1961;1200;;;;;9;3;8;
82995;08/01/1961;1800;;;;;9;3;7;
82995;09/01/1961;0000;;;;;9;2;4;
82995;09/01/1961;1200;;;;;9;4;6;
82995;09/01/1961;1800;;;;;5;3;8;
82995;10/01/1961;0000;;;;;9;3;7;
82995;10/01/1961;1200;;;;;9;4;7;
82995;10/01/1961;1800;;;;;9;3;8;
82995;11/01/1961;0000;;;;;9;2;5;
82995;11/01/1961;1200;;;;;9;3;10;
82995;11/01/1961;1800;;;;;9;3;8;
82995;12/01/1961;0000;;;;;9;2;6;
82995;12/01/1961;1200;;;;;9;3;8;
82995;12/01/1961;1800;;;;;9;3;5;
82995;13/01/1961;0000;;;;;9;2;6;
82995;13/01/1961;1200;;;;;0;0;9;
82995;13/01/1961;1800;;;;;9;3;10;
82995;14/01/1961;0000;;;;;9;3;8;
82995;14/01/1961;1200;;;;;5;2;6;
82995;14/01/1961;1800;;;;;5;2;4;
82995;15/01/1961;0000;;;;;9;1;6;
82995;15/01/1961;1200;;;;;9;3;6;
82995;15/01/1961;1800;;;;;9;3;9;
82995;16/01/1961;0000;;;;;0;0;6;
82995;16/01/1961;1200;;;;;9;3;10;
82995;16/01/1961;1800;;;;;9;2;8;
82995;17/01/1961;0000;;;;;0;0;10;
82995;17/01/1961;1200;;;;;9;3;10;
82995;17/01/1961;1800;;;;;9;2;10;
82995;18/01/1961;0000;;;;;0;0;10;
82995;18/01/1961;1200;;;;;9;2;10;
82995;18/01/1961;1800;;;;;9;3;10;
82995;19/01/1961;0000;;;;;0;0;10;
82995;19/01/1961;1200;;;;;9;3;10;
82995;19/01/1961;1800;;;;;9;2;10;
82995;20/01/1961;0000;;;;;0;0;10;
82995;20/01/1961;1200;;;;;9;3;10;
82995;20/01/1961;1800;;;;;9;2;9;
82995;21/01/1961;0000;;;;;0;0;6;
82995;21/01/1961;1200;;;;;9;3;10;
82995;21/01/1961;1800;;;;;9;3;10;
