<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82996</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PORTO DE PEDRAS - AL (OMM: 82996)
Latitude  (graus) : -9.18
Longitude (graus) : -35.43
Altitude  (metros): 50.02
Esta��o Operante
Inicio de opera��o: 14/03/1927
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82996;01/01/1961;1200;28.7;24.5;70;1010.7;5;2;4;
82996;01/01/1961;1800;28.6;24.2;68;1009.8;5;2;5;
82996;02/01/1961;0000;26.1;22.7;73;1010.6;14;1;6;
82996;02/01/1961;1200;27.9;24.3;73;1012.2;9;1;5;
82996;02/01/1961;1800;27.8;24;71;1010.2;9;2;4;
82996;03/01/1961;0000;25.7;22.7;76;1010.8;9;2;6;
82996;03/01/1961;1200;28.9;25.5;75;1011.2;5;1;5;
82996;03/01/1961;1800;28.8;24;65;1009.8;5;3;6;
82996;04/01/1961;0000;25.8;22.6;75;1010.6;5;2;5;
82996;04/01/1961;1200;28.5;25;74;1011.5;5;1;5;
82996;04/01/1961;1800;29.1;25.5;73;1009.8;5;3;6;
82996;05/01/1961;0000;26;23;76;1010.7;5;2;5;
82996;05/01/1961;1200;28.5;24.4;70;1010.7;5;3;4;
82996;05/01/1961;1800;28.5;24;67;1009.4;5;3;5;
82996;06/01/1961;0000;26;22.7;74;1009.9;5;2;5;
82996;06/01/1961;1200;28.4;24.1;69;1010.7;9;4;3;
82996;06/01/1961;1800;28.9;24.4;68;1009.4;9;2;4;
82996;07/01/1961;0000;26.3;23.7;80;1009.9;9;1;5;
82996;07/01/1961;1200;28.9;24.5;69;1011.6;5;2;6;
82996;07/01/1961;1800;28.9;24.1;66;1009.6;5;3;5;
82996;08/01/1961;0000;26.3;22.7;72;1011.2;5;1;4;
82996;08/01/1961;1200;28.1;24.3;71;1011;5;3;6;
82996;08/01/1961;1800;28.3;24;68;1009.4;5;3;4;
82996;09/01/1961;0000;26.1;23.7;81;1010.2;5;2;4;
82996;09/01/1961;1200;27.5;24.3;75;1011;5;2;4;
82996;09/01/1961;1800;27.9;24.1;72;1009.4;5;3;5;
82996;10/01/1961;0000;26;23.2;78;1010.2;5;1;6;
82996;10/01/1961;1200;28.9;24.9;71;1010.4;5;1;8;
82996;10/01/1961;1800;29.2;24.7;68;1009.1;5;3;5;
82996;11/01/1961;0000;26.4;23.1;75;1009.9;5;3;4;
82996;11/01/1961;1200;28.1;24.5;73;1011;5;1;5;
82996;11/01/1961;1800;28.6;24.5;70;1009.6;9;4;1;
82996;12/01/1961;0000;26.1;23.1;76;1010.4;9;2;4;
82996;12/01/1961;1200;28.9;24.8;71;1011.1;9;3;8;
82996;12/01/1961;1800;28.8;24.5;69;1009.9;9;3;7;
82996;13/01/1961;0000;25.9;22.9;76;1010.8;9;2;6;
82996;13/01/1961;1200;27.7;24.3;74;1011.1;14;3;8;
82996;13/01/1961;1800;27.9;24.3;73;1009.4;14;3;7;
82996;14/01/1961;0000;25.7;22.9;77;1010.4;14;2;6;
82996;14/01/1961;1200;27.5;23.5;70;1010.6;14;1;6;
82996;14/01/1961;1800;27.7;23.9;71;1009.5;14;1;8;
82996;15/01/1961;0000;23.7;22.9;93;1010.3;14;1;10;
82996;15/01/1961;1200;27.7;24.5;76;1010.4;14;1;5;
82996;15/01/1961;1800;27.7;24.3;74;1009.6;14;2;6;
82996;16/01/1961;0000;25.3;23.3;84;1011.2;14;1;7;
82996;16/01/1961;1200;27.7;24.9;78;1012.4;14;1;7;
82996;16/01/1961;1800;28.5;25.1;75;1009.8;14;1;5;
82996;17/01/1961;0000;25.7;22.9;77;1011.1;14;1;9;
82996;17/01/1961;1200;26.1;24.7;89;1012.2;5;1;8;
82996;17/01/1961;1800;27.9;24.7;76;1010.7;14;1;7;
82996;18/01/1961;0000;24.7;23.7;92;1011.8;14;1;10;
82996;18/01/1961;1200;24.9;24.1;94;1012.8;14;1;9;
82996;18/01/1961;1800;26.5;24.3;82;1010;14;1;6;
82996;19/01/1961;0000;25.3;23.7;88;1013.4;14;3;8;
82996;19/01/1961;1200;27.5;24.7;78;1013;14;1;8;
82996;19/01/1961;1800;27.3;24.5;79;1012;14;2;7;
82996;20/01/1961;0000;23.7;22.7;92;1013;14;1;6;
82996;20/01/1961;1200;22.5;21.9;94;1014.4;0;0;10;
82996;20/01/1961;1800;24.8;22.8;83;1011.8;18;2;10;
82996;21/01/1961;0000;24.7;22.5;82;1013.9;0;0;7;
82996;21/01/1961;1200;24.7;24.1;95;1012.7;0;0;7;
82996;21/01/1961;1800;27.1;24.1;77;1011;18;2;8;
82996;22/01/1961;0000;24.8;22.7;83;1013;14;1;8;
82996;22/01/1961;1200;24.9;24.7;99;1012.6;0;0;8;
82996;22/01/1961;1800;23.9;23.5;97;1011.4;14;1;10;
82996;23/01/1961;0000;25.2;24.3;92;1012.2;14;1;8;
82996;23/01/1961;1200;27.5;25.1;81;1013.1;14;1;7;
82996;23/01/1961;1800;27.4;25.2;83;1011.5;9;2;9;
82996;24/01/1961;0000;25.5;23.5;84;1012.8;14;2;7;
82996;24/01/1961;1200;27.1;24.3;78;1012.3;14;3;7;
82996;24/01/1961;1800;27.4;24.2;76;1011;14;2;10;
82996;25/01/1961;0000;25.9;23.7;83;1012.8;14;1;5;
82996;25/01/1961;1200;26.3;24.1;83;1012.6;0;0;4;
82996;25/01/1961;1800;26.9;23.7;76;1011.1;14;2;3;
82996;26/01/1961;0000;25.7;22.7;76;1011.9;14;2;5;
82996;26/01/1961;1200;27.6;24.1;74;1012;9;2;6;
82996;26/01/1961;1800;27.9;24.1;72;1010.4;9;3;4;
82996;27/01/1961;0000;25.9;24.7;91;1011.5;14;1;6;
82996;27/01/1961;1200;28.1;25.3;78;1012.2;9;3;7;
82996;27/01/1961;1800;28.5;25.5;77;1011.1;9;2;6;
82996;28/01/1961;0000;26.4;23.4;76;1012.2;9;2;5;
82996;28/01/1961;1200;28.9;25.3;74;1012.4;9;2;5;
82996;28/01/1961;1800;28.9;24.9;71;1011.6;9;3;4;
82996;29/01/1961;0000;26.4;23.4;76;1012.8;14;2;4;
82996;29/01/1961;1200;27.9;24.4;74;1013.8;14;3;3;
82996;29/01/1961;1800;28.1;24.5;73;1011.1;14;3;4;
82996;30/01/1961;0000;26.1;23.3;77;1012.4;14;2;5;
82996;30/01/1961;1200;27.7;24.7;77;1013;14;3;3;
82996;30/01/1961;1800;28.1;24.5;73;1011;14;3;7;
82996;31/01/1961;0000;26.3;23.3;76;1011.6;14;2;5;
82996;31/01/1961;1200;27.7;23.9;71;1012.4;14;3;6;
82996;31/01/1961;1800;27.9;23.6;69;1010.3;14;3;5;
82996;01/02/1961;0000;26.2;22.9;74;1011.1;14;3;6;
82996;01/02/1961;1200;27.8;23.9;70;1012.2;14;2;6;
82996;01/02/1961;1800;27.8;23.7;69;1010.4;14;3;7;
82996;02/02/1961;0000;26.1;22.7;73;1011.4;14;1;6;
82996;02/02/1961;1200;27.7;24.6;77;1012.3;14;3;6;
82996;02/02/1961;1800;27.9;24.4;74;1010.8;14;3;3;
82996;03/02/1961;0000;26.1;23.1;76;1012.4;14;3;5;
82996;03/02/1961;1200;27.5;23.5;70;1012.8;14;1;5;
82996;03/02/1961;1800;27.9;23.6;69;1011.1;14;3;3;
82996;04/02/1961;0000;25.9;22.6;75;1012.6;14;2;4;
82996;04/02/1961;1200;25.9;22.7;75;1012.3;0;0;5;
82996;04/02/1961;1800;28.3;24.6;73;1011;14;3;2;
82996;05/02/1961;0000;25.7;22.7;76;1011.8;14;3;5;
82996;05/02/1961;1200;27.3;23.9;74;1012.7;0;0;5;
82996;05/02/1961;1800;27.9;23.9;70;1011.2;14;3;6;
82996;06/02/1961;0000;26.1;22.9;74;1012.6;14;3;7;
82996;06/02/1961;1200;28.6;24.8;72;1013.1;14;2;6;
82996;06/02/1961;1800;28.9;24.9;71;1011.6;14;3;4;
82996;07/02/1961;0000;26.1;23.5;79;1012.8;14;2;2;
82996;07/02/1961;1200;27.4;24.7;79;1014.6;0;0;7;
82996;07/02/1961;1800;28.1;24.4;72;1012.7;9;2;5;
82996;08/02/1961;0000;26.5;23.5;76;1013.9;14;1;5;
82996;08/02/1961;1200;28.3;24.7;73;1013.8;0;0;2;
82996;08/02/1961;1800;28.7;24.6;71;1011.2;9;2;3;
82996;09/02/1961;0000;25.3;22.5;78;1012.3;14;2;5;
82996;09/02/1961;1200;25.2;24.3;92;1012.3;0;0;9;
82996;09/02/1961;1800;24.1;23.5;95;1011.4;0;0;10;
82996;10/02/1961;0000;24.2;23.2;92;1011.9;14;2;7;
82996;10/02/1961;1200;26.5;23.7;78;1012.3;14;1;7;
82996;10/02/1961;1800;27.9;23.7;69;1011;14;3;2;
82996;11/02/1961;0000;25.5;22.5;76;1012;14;3;3;
82996;11/02/1961;1200;26.8;24.3;80;1012.6;0;0;3;
82996;11/02/1961;1800;27.7;24.1;73;1010.6;14;3;4;
82996;12/02/1961;0000;25.9;23.1;78;1011.8;14;2;5;
82996;12/02/1961;1200;27.8;24.3;73;1012.2;9;2;4;
82996;12/02/1961;1800;28.5;24.1;68;1009.9;9;3;6;
82996;13/02/1961;0000;26;23.1;77;1011.5;9;3;6;
82996;13/02/1961;1200;27.6;24.5;77;1011.6;9;2;5;
82996;13/02/1961;1800;29.4;24.5;66;1010.3;9;3;6;
82996;14/02/1961;0000;26.3;23.3;76;1011.2;9;2;5;
82996;14/02/1961;1200;26.3;23.3;76;1012.2;0;0;6;
82996;14/02/1961;1800;28.7;24.9;72;1010.6;9;2;7;
82996;15/02/1961;0000;26.1;23.1;76;1011.4;9;3;4;
82996;15/02/1961;1200;28.1;24.4;72;1013.2;14;3;3;
82996;15/02/1961;1800;28.7;24.8;72;1011.5;9;4;8;
82996;16/02/1961;0000;25.7;22.9;77;1012;14;3;5;
82996;16/02/1961;1200;25.1;23.9;90;1012.6;14;2;7;
82996;16/02/1961;1800;27.7;24.2;74;1011.1;14;2;5;
82996;17/02/1961;0000;25.3;22.6;79;1011.9;14;2;6;
82996;17/02/1961;1200;24.7;23.1;87;1012.8;9;3;10;
82996;17/02/1961;1800;26.7;24.1;80;1011.5;14;3;9;
82996;18/02/1961;0000;24.2;23;90;1012.7;14;3;10;
82996;18/02/1961;1200;28.1;24.6;74;1012.6;14;3;5;
