<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82997</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ANADIA LIMOEIRO - AL (OMM: 82997)
Latitude  (graus) : -9.63
Longitude (graus) : -36.33
Altitude  (metros): 135.00
Esta��o Desativada
Inicio de opera��o: 01/01/1927
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82997;01/01/1961;1200;29.6;23.5;58;997.4;9;1;5;
82997;01/01/1961;1800;30.8;23.9;54;994.7;9;1;5;
82997;02/01/1961;0000;23.4;21.9;87;997.1;0;0;0;
82997;02/01/1961;1200;29.6;22.9;54;997.8;0;0;5;
82997;02/01/1961;1800;31.4;24.1;53;994.7;14;1;5;
82997;03/01/1961;0000;23.4;21.9;87;997.1;0;0;0;
82997;03/01/1961;1200;29;23.5;61;998;9;1;5;
82997;03/01/1961;1800;34.6;26.3;50;993.6;14;1;4;
82997;04/01/1961;0000;24.2;22.7;88;996.3;0;0;2;
82997;04/01/1961;1200;29;24.3;66;997.2;5;1;5;
82997;04/01/1961;1800;33.4;26.7;57;993.6;14;1;5;
82997;05/01/1961;0000;24.4;23.1;89;996;0;0;0;
82997;05/01/1961;1200;28.8;23.9;64;996.4;9;1;7;
82997;05/01/1961;1800;31;24.5;57;994.2;14;1;6;
82997;06/01/1961;0000;23.4;22.5;92;995.8;0;0;0;
82997;06/01/1961;1200;29;23.7;62;997;9;1;5;
82997;06/01/1961;1800;31;25.1;61;994.4;14;1;6;
82997;07/01/1961;0000;23.6;22.5;91;997.1;0;0;0;
82997;07/01/1961;1200;29.8;24.7;64;997.4;9;3;7;
82997;07/01/1961;1800;31;24.9;59;993.8;14;3;7;
82997;08/01/1961;0000;24;22.5;87;996.3;9;1;0;
82997;08/01/1961;1200;30.2;24.5;61;997.5;9;3;6;
82997;08/01/1961;1800;31.8;25.7;60;994;9;3;6;
82997;09/01/1961;0000;24.4;23.1;89;996;0;0;0;
82997;09/01/1961;1200;29.8;23.5;57;997.1;14;1;5;
