<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83004</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO PAULO  IAG  - SP (OMM: 83004)
Latitude  (graus) : -23.65
Longitude (graus) : -46.61
Altitude  (metros): 800.00
Esta��o Operante
Inicio de opera��o: 01/01/1933
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83004;01/01/1995;1200;22.5;20;80;924.6;32;4;10;
83004;01/01/1995;1800;25.2;21.5;73;922.9;32;2;10;
83004;02/01/1995;0000;20.7;20.3;97;924.2;0;0;10;
83004;02/01/1995;1200;23.8;20.6;76;924.7;32;3;10;
83004;02/01/1995;1800;26.4;21.6;66;921.5;32;5;10;
83004;03/01/1995;0000;22;21.4;95;922.7;0;0;10;
83004;03/01/1995;1200;23;21.3;86;923.6;0;0;10;
83004;03/01/1995;1800;23.4;22.6;94;922.1;5;3;10;
83004;04/01/1995;0000;21.8;21.4;97;923.3;0;0;10;
83004;04/01/1995;1200;23.3;20.8;80;923.4;36;2;10;
83004;04/01/1995;1800;23.5;21.4;84;921.9;0;0;10;
83004;05/01/1995;0000;21.4;20.3;91;922.6;0;0;7;
83004;05/01/1995;1200;25.4;21.5;72;923.3;36;5;10;
83004;05/01/1995;1800;29.2;22.7;58;920.9;32;4;8;
83004;06/01/1995;0000;23.2;20.6;80;922.5;0;0;9;
83004;06/01/1995;1200;26.1;21;64;924.2;32;8;10;
83004;06/01/1995;1800;29.6;21.8;51;922.3;32;4;10;
83004;07/01/1995;0000;23.9;21.1;79;923;0;0;6;
83004;07/01/1995;1200;27.5;21.8;62;923.4;32;5;10;
83004;07/01/1995;1800;29.2;22.3;56;921.4;32;4;10;
83004;08/01/1995;0000;21.9;21;93;922.9;5;3;10;
83004;08/01/1995;1200;23;20.9;83;921.8;0;0;10;
83004;08/01/1995;1800;27.2;22.4;67;920.1;32;4;10;
83004;09/01/1995;0000;22.3;21;89;921.6;0;0;10;
83004;09/01/1995;1200;19.5;18.5;91;922.7;32;5;10;
83004;09/01/1995;1800;28.2;21.8;58;919.2;32;10;10;
83004;10/01/1995;0000;24.9;20.9;71;920.4;0;0;6;
83004;10/01/1995;1200;25.1;21.3;72;921.7;32;7;8;
83004;10/01/1995;1800;28.8;21.7;55;919.9;36;5;10;
83004;11/01/1995;0000;23.1;21.6;88;923.1;0;0;10;
83004;11/01/1995;1200;19.3;18.8;96;925.1;0;0;10;
83004;11/01/1995;1800;27.1;21.7;63;923.5;23;3;7;
