<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83007</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ALTO DA BOA VISTA - RJ (OMM: 83007)
Latitude  (graus) : -22.96
Longitude (graus) : -43.27
Altitude  (metros): 347.00
Esta��o Operante
Inicio de opera��o: 01/06/1966
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83007;01/06/1966;1200;19.6;17.8;83;;;;3;
83007;01/06/1966;1800;20.4;18.6;84;;;;6;
83007;02/06/1966;0000;17.2;16.8;96;;;;2;
83007;02/06/1966;1200;24;21;75;;;;0;
83007;02/06/1966;1800;21.8;17.8;65;;;;0;
83007;03/06/1966;0000;19;17;81;;;;8;
83007;03/06/1966;1200;20;16.4;67;;;;5;
83007;03/06/1966;1800;17.4;16;86;;;;10;
83007;04/06/1966;0000;15.8;15.4;96;;;;8;
83007;04/06/1966;1200;18.4;16.9;85;;;;8;
83007;04/06/1966;1800;20;17;73;;;;6;
83007;05/06/1966;0000;15;14.6;95;;;;0;
83007;05/06/1966;1200;19;16.9;80;;;;4;
83007;05/06/1966;1800;19.7;17.6;80;;;;7;
83007;06/06/1966;0000;16.5;15.8;93;;;;9;
83007;06/06/1966;1200;16.2;16;98;;;;10;
83007;06/06/1966;1800;19.4;17.2;80;;;;10;
83007;07/06/1966;0000;15.8;15.2;93;;;;10;
83007;07/06/1966;1200;19.2;16.4;73;;;;0;
83007;07/06/1966;1800;22.4;18.4;66;;;;0;
83007;08/06/1966;0000;16.5;15.7;92;;;;0;
83007;08/06/1966;1200;20.2;17.8;77;;;;4;
83007;08/06/1966;1800;23.2;19.7;72;;;;8;
83007;09/06/1966;0000;15.2;14.4;91;;;;0;
83007;09/06/1966;1200;19.4;18.2;88;;;;6;
83007;09/06/1966;1800;21.7;19;76;;;;2;
83007;10/06/1966;0000;16.6;15.6;90;;;;0;
83007;10/06/1966;1200;18.6;16.9;84;;;;0;
83007;10/06/1966;1800;21.8;19.2;78;;;;2;
83007;11/06/1966;0000;18.8;17.4;86;;;;9;
83007;11/06/1966;1200;20.3;17;71;;;;0;
83007;11/06/1966;1800;23.6;18.2;57;;;;0;
83007;12/06/1966;0000;19.1;17.1;81;;;;0;
83007;12/06/1966;1200;20.1;16.8;70;;;;0;
83007;12/06/1966;1800;25;18.8;53;;;;0;
83007;13/06/1966;0000;17.4;15.4;80;;;;0;
83007;13/06/1966;1200;23.2;17.9;57;;;;0;
83007;13/06/1966;1800;26.2;19.8;53;;;;4;
83007;14/06/1966;0000;18.1;16.2;81;;;;0;
83007;14/06/1966;1200;23.2;18;58;;;;2;
83007;14/06/1966;1800;27.1;21;55;;;;10;
83007;15/06/1966;0000;19.5;17.8;83;;;;0;
83007;15/06/1966;1200;25.2;18.4;49;;;;7;
83007;15/06/1966;1800;28.3;20.8;48;;;;7;
83007;16/06/1966;0000;20.4;18.2;80;;;;0;
83007;16/06/1966;1200;22.2;20.2;83;;;;7;
83007;16/06/1966;1800;22.7;20.8;83;;;;6;
83007;17/06/1966;0000;19.8;19.2;95;;;;10;
83007;17/06/1966;1200;21.1;19.8;88;;;;2;
83007;17/06/1966;1800;25.4;21.3;68;;;;2;
83007;18/06/1966;0000;20.6;19.2;88;;;;7;
83007;18/06/1966;1200;20.2;19.4;92;;;;10;
83007;18/06/1966;1800;20.4;19.2;89;;;;10;
83007;19/06/1966;0000;18.6;18.3;97;;;;10;
83007;19/06/1966;1200;17;16.6;96;;;;10;
83007;19/06/1966;1800;19;17;81;;;;8;
83007;20/06/1966;0000;15.4;14.8;94;;;;3;
83007;20/06/1966;1200;18.2;15.7;76;;;;1;
83007;20/06/1966;1800;21.4;17.3;64;;;;0;
83007;21/06/1966;0000;15.6;15.2;95;;;;0;
83007;21/06/1966;1200;21.2;16.6;61;;;;0;
83007;21/06/1966;1800;23.6;18.4;58;;;;0;
83007;22/06/1966;0000;17.7;16.2;85;;;;0;
83007;22/06/1966;1200;23;17.4;54;;;;0;
83007;22/06/1966;1800;24.4;19.6;63;;;;0;
83007;23/06/1966;0000;17.8;15.4;77;;;;0;
83007;23/06/1966;1200;25;17.4;43;;;;0;
83007;23/06/1966;1800;27.4;19;42;;;;0;
83007;24/06/1966;0000;20.7;17.5;71;;;;0;
83007;24/06/1966;1200;20.2;18;79;;;;9;
83007;24/06/1966;1800;20.6;18.6;82;;;;10;
83007;25/06/1966;0000;19.2;18.3;91;;;;10;
83007;25/06/1966;1200;19.2;18.5;93;;;;10;
83007;25/06/1966;1800;20.5;19.4;89;;;;9;
83007;26/06/1966;0000;18.4;18;96;;;;3;
83007;26/06/1966;1200;21.2;18.9;79;;;;0;
83007;26/06/1966;1800;24.8;19.2;57;;;;3;
83007;27/06/1966;0000;20;17.2;75;;;;8;
83007;27/06/1966;1200;22.8;17.8;58;;;;0;
83007;27/06/1966;1800;26.1;20.4;57;;;;3;
83007;28/06/1966;0000;18.4;16.6;82;;;;0;
