<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83015</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MARIA DA FE - MG (OMM: 83015)
Latitude  (graus) : -22.31
Longitude (graus) : -45.37
Altitude  (metros): 1276.33
Esta��o Operante
Inicio de opera��o: 12/11/1975
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83015;01/05/1976;1200;;;;;;;1;
83015;01/05/1976;1800;;;;;;;5;
83015;02/05/1976;0000;;;;;;;0;
83015;02/05/1976;1200;;;;;;;2;
83015;02/05/1976;1800;;;;;;;5;
83015;03/05/1976;0000;;;;;;;2;
83015;03/05/1976;1200;;;;;;;2;
83015;03/05/1976;1800;;;;;;;7;
83015;04/05/1976;0000;;;;;;;0;
83015;04/05/1976;1200;;;;;;;1;
83015;04/05/1976;1800;;;;;;;8;
83015;05/05/1976;0000;;;;;;;3;
83015;05/05/1976;1200;;;;;;;9;
83015;05/05/1976;1800;;;;;;;6;
83015;06/05/1976;0000;;;;;;;2;
83015;06/05/1976;1200;;;;;;;2;
83015;06/05/1976;1800;;;;;;;3;
83015;07/05/1976;0000;;;;;;;0;
83015;07/05/1976;1200;;;;;;;1;
83015;07/05/1976;1800;;;;;;;3;
83015;08/05/1976;0000;;;;;;;2;
83015;08/05/1976;1200;;;;;;;1;
83015;08/05/1976;1800;;;;;;;1;
83015;09/05/1976;0000;;;;;;;1;
83015;09/05/1976;1200;;;;;;;7;
83015;09/05/1976;1800;;;;;;;10;
83015;10/05/1976;0000;;;;;;;10;
83015;10/05/1976;1200;;;;;;;6;
83015;10/05/1976;1800;;;;;;;7;
83015;11/05/1976;0000;;;;;;;1;
83015;11/05/1976;1200;;;;;;;9;
83015;11/05/1976;1800;;;;;;;9;
83015;12/05/1976;0000;;;;;;;9;
83015;12/05/1976;1200;;;;;;;9;
83015;12/05/1976;1800;;;;;;;7;
83015;13/05/1976;0000;;;;;;;5;
83015;13/05/1976;1200;;;;;;;2;
