<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83032</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : LAMBARI - MG (OMM: 83032)
Latitude  (graus) : -21.94
Longitude (graus) : -45.31
Altitude  (metros): 878.45
Esta��o Operante
Inicio de opera��o: 01/06/1976
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83032;01/06/1976;1200;;;;;;;0;
83032;01/06/1976;1800;;;;;;;0;
83032;02/06/1976;0000;;;;;;;0;
83032;02/06/1976;1200;;;;;;;0;
83032;02/06/1976;1800;;;;;;;0;
83032;03/06/1976;0000;;;;;;;0;
83032;03/06/1976;1200;;;;;;;0;
83032;03/06/1976;1800;;;;;;;0;
83032;04/06/1976;0000;;;;;;;0;
83032;04/06/1976;1200;;;;;;;0;
83032;04/06/1976;1800;;;;;;;0;
83032;05/06/1976;0000;;;;;;;0;
83032;05/06/1976;1200;;;;;;;6;
83032;05/06/1976;1800;;;;;;;8;
83032;06/06/1976;0000;;;;;;;10;
83032;06/06/1976;1200;;;;;;;5;
83032;06/06/1976;1800;;;;;;;4;
83032;07/06/1976;0000;;;;;;;0;
83032;07/06/1976;1200;;;;;;;0;
83032;07/06/1976;1800;;;;;;;3;
83032;08/06/1976;0000;;;;;;;0;
83032;08/06/1976;1200;;;;;;;0;
83032;08/06/1976;1800;;;;;;;4;
83032;09/06/1976;0000;;;;;;;8;
83032;09/06/1976;1200;;;;;;;10;
83032;09/06/1976;1800;;;;;;;6;
83032;10/06/1976;0000;;;;;;;2;
83032;10/06/1976;1200;;;;;;;6;
83032;10/06/1976;1800;;;;;;;3;
83032;11/06/1976;0000;;;;;;;0;
83032;11/06/1976;1200;;;;;;;0;
83032;11/06/1976;1800;;;;;;;0;
83032;12/06/1976;0000;;;;;;;0;
83032;12/06/1976;1200;;;;;;;8;
83032;12/06/1976;1800;;;;;;;4;
83032;13/06/1976;0000;;;;;;;0;
83032;13/06/1976;1200;;;;;;;7;
