<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83038</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ARACRUZ - ES (OMM: 83038)
Latitude  (graus) : -19.81
Longitude (graus) : -40.25
Altitude  (metros): 65.40
Esta��o Fechada
Inicio de opera��o: 01/01/1976
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83038;01/01/1976;1200;26.9;22.8;69;;;;7;
83038;01/01/1976;1800;29;22.2;53;;;;8;
83038;02/01/1976;0000;20.4;20.1;97;;;;0;
83038;02/01/1976;1200;24.8;22.6;82;;;;8;
83038;02/01/1976;1800;28.4;24.1;69;;;;8;
83038;03/01/1976;0000;23.1;22.3;92;;;;9;
83038;03/01/1976;1200;26.9;23.9;77;;;;7;
83038;03/01/1976;1800;26.7;22.8;70;;;;7;
83038;04/01/1976;0000;23.1;22.4;94;;;;9;
83038;04/01/1976;1200;25.9;22.8;76;;;;9;
83038;04/01/1976;1800;28.1;23;63;;;;10;
83038;05/01/1976;0000;23.1;21.4;85;;;;7;
83038;05/01/1976;1200;26.4;24.8;87;;;;8;
83038;05/01/1976;1800;27.2;23.1;70;;;;9;
83038;06/01/1976;0000;24.2;21.8;80;;;;9;
83038;06/01/1976;1200;26.8;22;64;;;;9;
83038;06/01/1976;1800;24.4;21.9;79;;;;8;
83038;07/01/1976;0000;23.6;22;86;;;;8;
83038;07/01/1976;1200;26.9;22;64;;;;7;
83038;07/01/1976;1800;31.9;23.6;47;;;;7;
83038;08/01/1976;0000;22.4;20.1;80;;;;9;
83038;08/01/1976;1200;27.3;22.4;63;;;;8;
83038;08/01/1976;1800;33.4;23.9;43;;;;8;
83038;09/01/1976;0000;25;23.4;87;;;;5;
83038;09/01/1976;1200;28.4;23.1;63;;;;6;
83038;09/01/1976;1800;33.1;24.1;45;;;;7;
83038;10/01/1976;0000;24.4;22.8;86;;;;7;
83038;10/01/1976;1200;26.6;22.4;68;;;;9;
83038;10/01/1976;1800;34.2;23.1;36;;;;8;
83038;11/01/1976;0000;23.6;21.2;80;;;;8;
83038;11/01/1976;1200;27.6;22;59;;;;0;
83038;11/01/1976;1800;34;23;36;;;;5;
83038;12/01/1976;0000;23.9;21.6;81;;;;7;
83038;12/01/1976;1200;27.9;22.2;59;;;;6;
83038;12/01/1976;1800;33.2;25;49;;;;8;
83038;13/01/1976;0000;24.2;22.1;83;;;;4;
83038;13/01/1976;1200;27.3;23;68;;;;8;
83038;13/01/1976;1800;31;23.6;52;;;;7;
83038;14/01/1976;0000;26.4;22.4;69;;;;8;
83038;14/01/1976;1200;26.5;21.8;64;;;;6;
83038;14/01/1976;1800;30.4;24;57;;;;8;
83038;15/01/1976;0000;23.5;22;87;;;;9;
83038;15/01/1976;1200;27.3;22.7;66;;;;5;
83038;15/01/1976;1800;30;23;53;;;;7;
83038;16/01/1976;0000;26.2;22.5;72;;;;7;
83038;16/01/1976;1200;27.9;22.4;60;;;;7;
83038;16/01/1976;1800;33.1;23.8;44;;;;5;
83038;17/01/1976;0000;29.6;22;49;;;;9;
83038;17/01/1976;1200;26.9;22.8;69;;;;7;
83038;17/01/1976;1800;32.5;24.2;48;;;;7;
83038;18/01/1976;0000;31;23.9;53;;;;8;
83038;18/01/1976;1200;27.7;23;66;;;;8;
83038;18/01/1976;1800;32.8;23.9;45;;;;8;
83038;19/01/1976;0000;30.5;23.1;51;;;;7;
83038;19/01/1976;1200;28;22.5;60;;;;7;
83038;19/01/1976;1800;31.4;23.4;48;;;;9;
83038;20/01/1976;0000;29.9;22.7;51;;;;8;
83038;20/01/1976;1200;27.9;22.2;59;;;;5;
83038;20/01/1976;1800;31.3;23.2;48;;;;6;
83038;21/01/1976;0000;30.8;23.7;53;;;;5;
83038;21/01/1976;1200;26.8;22.4;66;;;;7;
83038;21/01/1976;1800;33.4;24.2;44;;;;6;
83038;22/01/1976;0000;33.1;23.2;41;;;;5;
83038;22/01/1976;1200;27.1;22.9;67;;;;7;
83038;22/01/1976;1800;30.4;24;57;;;;7;
83038;23/01/1976;0000;29.2;23.3;59;;;;6;
83038;23/01/1976;1200;24.7;23.8;92;;;;8;
83038;23/01/1976;1800;27.4;22.9;67;;;;5;
83038;24/01/1976;0000;26.9;22;64;;;;5;
83038;24/01/1976;1200;24.1;23.1;91;;;;4;
83038;24/01/1976;1800;24.9;22.8;83;;;;9;
83038;25/01/1976;0000;23.7;21.3;79;;;;6;
83038;25/01/1976;1200;23.6;21.9;85;;;;7;
83038;25/01/1976;1800;25.1;23.2;85;;;;8;
83038;26/01/1976;0000;23.8;22.5;89;;;;8;
83038;26/01/1976;1200;27;23;70;;;;6;
83038;26/01/1976;1800;34;24;41;;;;2;
83038;27/01/1976;0000;25;23.2;86;;;;0;
83038;27/01/1976;1200;28.6;23.4;62;;;;8;
83038;27/01/1976;1800;33.6;25;48;;;;6;
83038;28/01/1976;0000;30.2;24;58;;;;8;
83038;28/01/1976;1200;26.4;23.6;78;;;;9;
83038;28/01/1976;1800;29.9;21.4;44;;;;7;
83038;29/01/1976;0000;23.5;21;79;;;;7;
83038;29/01/1976;1200;27;22.8;68;;;;2;
83038;29/01/1976;1800;28.4;23;62;;;;5;
83038;30/01/1976;0000;27.5;22.2;61;;;;7;
83038;30/01/1976;1200;24.9;22.7;83;;;;3;
83038;30/01/1976;1800;26;23.4;79;;;;5;
83038;31/01/1976;0000;27.2;22.4;64;;;;6;
83038;31/01/1976;1200;26.6;23.1;73;;;;5;
83038;31/01/1976;1800;27.5;24.7;78;;;;7;
83038;01/02/1976;0000;27.1;23.3;71;;;;6;
83038;01/02/1976;1200;25.4;23.3;83;;;;4;
83038;01/02/1976;1800;27.1;23.8;74;;;;5;
83038;02/02/1976;0000;26.3;23;74;;;;4;
83038;02/02/1976;1200;25.6;23.4;82;;;;10;
83038;02/02/1976;1800;28.9;24;65;;;;7;
83038;03/02/1976;0000;27.1;24.1;77;;;;7;
83038;03/02/1976;1200;24.6;22.9;86;;;;9;
83038;03/02/1976;1800;26.6;24.4;83;;;;9;
83038;04/02/1976;0000;25.4;23;81;;;;6;
83038;04/02/1976;1200;26.2;23.9;82;;;;4;
83038;04/02/1976;1800;27.7;25;79;;;;2;
83038;05/02/1976;0000;26;24.2;86;;;;7;
83038;05/02/1976;1200;28;24;70;;;;4;
83038;05/02/1976;1800;29.3;24.6;67;;;;2;
83038;06/02/1976;0000;27.7;23.8;71;;;;5;
83038;06/02/1976;1200;24.6;23.9;94;;;;2;
83038;06/02/1976;1800;27.4;24.6;79;;;;7;
83038;07/02/1976;0000;26.5;23.5;76;;;;7;
83038;07/02/1976;1200;25.6;23.4;82;;;;7;
83038;07/02/1976;1800;28.2;24.9;75;;;;8;
83038;08/02/1976;0000;27.2;23.7;74;;;;6;
83038;08/02/1976;1200;27.4;24;74;;;;5;
83038;08/02/1976;1800;28.6;26.6;85;;;;5;
83038;09/02/1976;0000;27.1;25.5;87;;;;7;
83038;09/02/1976;1200;22;21.4;94;;;;10;
83038;09/02/1976;1800;25.5;23.3;82;;;;8;
83038;10/02/1976;0000;24.3;22.1;82;;;;7;
83038;10/02/1976;1200;25.2;20.1;61;;;;3;
83038;10/02/1976;1800;27.4;21.2;55;;;;6;
83038;11/02/1976;0000;28.8;26.8;84;;;;7;
83038;11/02/1976;1200;26.4;20.2;55;;;;2;
83038;11/02/1976;1800;29.6;22;49;;;;4;
83038;12/02/1976;0000;28.4;21.2;50;;;;5;
83038;12/02/1976;1200;26.2;20.9;60;;;;2;
83038;12/02/1976;1800;27.9;21.2;52;;;;3;
83038;13/02/1976;0000;27.2;20.5;52;;;;4;
83038;13/02/1976;1200;25.9;21.9;69;;;;4;
83038;13/02/1976;1800;27.9;22.8;63;;;;4;
83038;14/02/1976;0000;28.2;24;69;;;;5;
83038;14/02/1976;1200;26.6;20.9;57;;;;3;
