<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83040</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : JACUTINGA - MG (OMM: 83040)
Latitude  (graus) : -22.2
Longitude (graus) : -46.61
Altitude  (metros): 853.23
Esta��o Desativada
Inicio de opera��o: 02/10/1975
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83040;01/01/1993;1200;25.2;19.8;60;;18;1;2;
83040;01/01/1993;1800;31.2;21.2;39;;23;1;3;
83040;02/01/1993;0000;24.2;19.2;61;;23;1;;
83040;03/01/1993;1200;25.8;19.8;56;;23;1;4;
83040;03/01/1993;1800;29.4;22.2;52;;18;1;4;
83040;04/01/1993;0000;23.2;19.8;72;;23;1;;
83040;04/01/1993;1200;25.8;20;57;;23;1;4;
83040;04/01/1993;1800;30.6;22;46;;0;0;4;
83040;05/01/1993;0000;21.2;19.2;82;;18;4;;
83040;05/01/1993;1200;25.2;21.8;74;;23;2;7;
83040;05/01/1993;1800;26;22;70;;23;1;10;
83040;06/01/1993;0000;23;19;68;;18;;;
83040;06/01/1993;1200;22.8;20;77;;18;1;3;
83040;06/01/1993;1800;27.8;22;59;;0;0;3;
83040;07/01/1993;0000;19.8;17.4;78;;0;0;;
83040;07/01/1993;1200;24.8;21.4;73;;;;2;
83040;07/01/1993;1800;28.6;22;55;;27;1;3;
83040;08/01/1993;0000;24;20.2;70;;;;;
83040;08/01/1993;1200;23;20.6;80;;;;10;
83040;08/01/1993;1800;24.8;20.8;69;;18;1;6;
83040;09/01/1993;0000;21;17.6;71;;;;;
83040;10/01/1993;1200;20;18.8;89;;27;1;10;
83040;10/01/1993;1800;23;20;75;;23;2;10;
83040;11/01/1993;0000;19.6;18.6;91;;;;;
83040;11/01/1993;1200;19;18;91;;18;1;10;
83040;11/01/1993;1800;20;18.8;89;;18;3;10;
83040;12/01/1993;0000;19.2;18;89;;18;1;;
83040;12/01/1993;1200;22.4;20.2;81;;;;10;
83040;12/01/1993;1800;25.4;20.6;64;;;;8;
83040;13/01/1993;0000;22;18.8;73;;;;;
83040;13/01/1993;1200;23;19;68;;14;2;4;
83040;13/01/1993;1800;25.6;20;59;;23;2;10;
83040;14/01/1993;0000;20.6;18.8;84;;;;;
83040;14/01/1993;1200;23;20;75;;14;1;5;
83040;14/01/1993;1800;30;22;48;;;;3;
83040;15/01/1993;0000;23.4;21;80;;18;0.1;;
83040;15/01/1993;1200;24.8;19.8;62;;14;2;2;
83040;15/01/1993;1800;30;20.6;41;;18;1;2;
83040;16/01/1993;0000;25.8;20;57;;;;0;
83040;17/01/1993;1200;25;22;76;;;;7;
