<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83045</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : VENDA NOVA - ES (OMM: 83045)
Latitude  (graus) : -20.38
Longitude (graus) : -41.18
Altitude  (metros): 710.00
Esta��o Fechada
Inicio de opera��o: 01/04/1976
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83045;01/04/1976;1200;21.9;18.9;74;;;;0;
83045;01/04/1976;1800;25.8;20.5;61;;;;7;
83045;02/04/1976;0000;20.5;19.2;88;;;;1;
83045;02/04/1976;1200;22.4;18.2;66;;;;0;
83045;02/04/1976;1800;27.3;20;49;;;;7;
83045;03/04/1976;0000;18;17.3;93;;;;1;
83045;03/04/1976;1200;21.9;19.5;79;;;;1;
83045;03/04/1976;1800;27.3;21.1;56;;;;4;
83045;04/04/1976;0000;20.2;19.6;94;;;;2;
83045;04/04/1976;1200;23.1;19.5;71;;;;3;
83045;04/04/1976;1800;26.3;21.4;63;;;;6;
83045;05/04/1976;0000;19;18.6;96;;;;6;
83045;05/04/1976;1200;22.6;19.3;72;;;;5;
83045;05/04/1976;1800;26.7;20.5;56;;;;3;
83045;06/04/1976;0000;19.2;18.4;92;;;;1;
83045;06/04/1976;1200;22.6;18.9;70;;;;4;
83045;06/04/1976;1800;27.8;20.3;49;;;;3;
83045;07/04/1976;0000;18.9;17.8;89;;;;1;
83045;07/04/1976;1200;23.9;19.3;64;;;;1;
83045;07/04/1976;1800;28.4;21.5;53;;;;5;
83045;08/04/1976;0000;21.4;19;79;;;;1;
83045;08/04/1976;1200;24.8;19.9;62;;;;1;
83045;08/04/1976;1800;30.6;22.4;48;;;;7;
83045;09/04/1976;0000;18;17.9;99;;;;1;
83045;09/04/1976;1200;22.7;19;70;;;;3;
83045;09/04/1976;1800;27.1;19.9;49;;;;5;
83045;10/04/1976;0000;18.2;17.1;89;;;;2;
83045;10/04/1976;1200;23;19;68;;;;3;
83045;10/04/1976;1800;27.1;20.1;51;;;;3;
83045;11/04/1976;0000;20.1;18.8;88;;;;2;
83045;11/04/1976;1200;23.5;19.6;69;;;;0;
83045;11/04/1976;1800;29.6;21.6;48;;;;3;
83045;12/04/1976;0000;21.6;19.8;84;;;;3;
83045;12/04/1976;1200;22.9;19.3;71;;;;1;
83045;12/04/1976;1800;27.6;19.3;44;;;;2;
83045;13/04/1976;0000;19.2;17.6;84;;;;0;
83045;13/04/1976;1200;22.6;18.5;67;;;;1;
83045;13/04/1976;1800;26.7;19.4;48;;;;2;
83045;14/04/1976;0000;19;17.3;83;;;;0;
83045;14/04/1976;1200;23;18.2;62;;;;0;
83045;14/04/1976;1800;26.8;20;52;;;;7;
83045;15/04/1976;0000;20.3;18.4;83;;;;5;
83045;15/04/1976;1200;22.3;18.5;69;;;;2;
83045;15/04/1976;1800;25.6;19.4;54;;;;3;
83045;16/04/1976;0000;19.3;18;87;;;;3;
83045;16/04/1976;1200;21.4;18.6;77;;;;2;
83045;16/04/1976;1800;25.8;19.8;56;;;;6;
