<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83048</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : RIO BONITO - RJ (OMM: 83048)
Latitude  (graus) : -22.71
Longitude (graus) : -42.64
Altitude  (metros): 62.00
Esta��o Operante
Inicio de opera��o: 01/02/1977
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83048;01/02/1977;1200;;;;;;;0;
83048;02/02/1977;1200;;;;;;;0;
83048;03/02/1977;1200;;;;;;;0;
83048;04/02/1977;1200;;;;;;;1;
83048;05/02/1977;1200;;;;;;;0;
83048;06/02/1977;1200;;;;;;;0;
83048;07/02/1977;1200;;;;;;;0;
83048;08/02/1977;1200;;;;;;;3;
83048;09/02/1977;1200;;;;;;;2;
83048;10/02/1977;1200;;;;;;;7;
83048;11/02/1977;1200;;;;;;;0;
83048;12/02/1977;1200;;;;;;;6;
83048;13/02/1977;1200;;;;;;;5;
83048;14/02/1977;1200;;;;;;;7;
83048;15/02/1977;1200;;;;;;;4;
83048;16/02/1977;1200;;;;;;;8;
83048;18/02/1977;1200;;;;;;;2;
83048;19/02/1977;1200;;;;;;;5;
83048;20/02/1977;1200;;;;;;;2;
83048;21/02/1977;1200;;;;;;;1;
83048;22/02/1977;1200;;;;;;;0;
83048;23/02/1977;1200;;;;;;;0;
83048;24/02/1977;1200;;;;;;;0;
83048;25/02/1977;1200;;;;;;;2;
83048;26/02/1977;1200;;;;;;;2;
83048;27/02/1977;1200;;;;;;;0;
83048;28/02/1977;1200;;;;;;;0;
83048;01/03/1977;1200;;;;;;;1;
83048;02/03/1977;1200;;;;;;;1;
83048;03/03/1977;1200;;;;;;;9;
83048;04/03/1977;1200;;;;;;;1;
83048;05/03/1977;1200;;;;;;;8;
83048;06/03/1977;1200;;;;;;;9;
83048;07/03/1977;1200;;;;;;;9;
83048;08/03/1977;1200;;;;;;;2;
83048;09/03/1977;1200;;;;;;;7;
83048;10/03/1977;1200;;;;;;;0;
83048;11/03/1977;1200;;;;;;;0;
83048;12/03/1977;1200;;;;;;;9;
83048;13/03/1977;1200;;;;;;;9;
83048;14/03/1977;1200;;;;;;;0;
83048;15/03/1977;1200;;;;;;;0;
83048;16/03/1977;1200;;;;;;;1;
83048;17/03/1977;1200;;;;;;;1;
83048;18/03/1977;1200;;;;;;;10;
83048;19/03/1977;1200;;;;;;;10;
83048;20/03/1977;1200;;;;;;;1;
83048;21/03/1977;1200;;;;;;;5;
83048;22/03/1977;1200;;;;;;;6;
83048;23/03/1977;1200;;;;;;;6;
83048;24/03/1977;1200;;;;;;;10;
83048;25/03/1977;1200;;;;;;;8;
83048;26/03/1977;1200;;;;;;;8;
83048;27/03/1977;1200;;;;;;;5;
