<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83054</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : JACAREPAGUA - AEROPORTO - RJ (OMM: 83054)
Latitude  (graus) : -22.98
Longitude (graus) : -43.37
Altitude  (metros): 3.00
Esta��o Operante
Inicio de opera��o: 28/12/1984
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83054;01/01/2015;0000;27.6;;84;1012.5;2;5.1444;7.5;
83054;01/01/2015;1200;36.3;;41;1010.4;5;2.5722;2.5;
83054;01/01/2015;1800;37.3;;35;1007.6;15;2.5722;2.5;
83054;02/01/2015;0000;28.9;;75;1009.9;0;0;6.25;
83054;02/01/2015;1200;35.9;;53;1010.3;18;1.54332;3.75;
83054;02/01/2015;1800;37;;46;1008.6;16;2.05776;7.5;
83054;03/01/2015;0000;30.7;;68;1010.8;1;0.51444;7.5;
83054;03/01/2015;1200;32.5;;68;1014.9;21;1.54332;5;
83054;03/01/2015;1800;31.6;;72;1013.5;17;3.60108;7.5;
83054;04/01/2015;0000;28.1;;85;1015.4;16;3.60108;8.75;
83054;04/01/2015;1200;30;;80;1015.4;16;1.02888;8.75;
83054;04/01/2015;1800;29.5;;82;1013.6;18;2.05776;7.5;
83054;05/01/2015;0000;25.7;;89;1015.9;32;1.54332;3.75;
83054;05/01/2015;1200;29.7;;79;1016.2;26;0.51444;8.75;
83054;05/01/2015;1800;29.6;;83;1014.8;17;3.08664;8.75;
83054;06/01/2015;0000;23.8;;100;1018;34;1.54332;10;
83054;06/01/2015;1200;27.2;;87;1018.1;30;0.51444;8.75;
83054;06/01/2015;1800;32.9;;65;1015;17;2.5722;3.75;
83054;07/01/2015;0000;26.8;;89;1015.8;20;0.51444;3.75;
83054;07/01/2015;1200;32.1;;63;1014.9;36;1.54332;0;
83054;07/01/2015;1800;35.9;;49;1012.2;16;2.5722;1.25;
83054;08/01/2015;0000;25;;95;1012.6;0;0;0;
83054;08/01/2015;1200;34;;50;1014.7;1;2.05776;0;
83054;08/01/2015;1800;35.8;;41;1011.5;14;5.65884;1.25;
83054;09/01/2015;1200;34.7;;41;1013.4;35;3.60108;0;
83054;09/01/2015;1800;35.5;;43;1010.9;17;3.08664;0;
83054;10/01/2015;0000;24.3;;90;1011.8;0;0;0;
83054;10/01/2015;1200;36;;;1012.6;1;3.60108;1.25;
83054;10/01/2015;1800;37.3;;;1010.7;15;3.08664;0;
83054;11/01/2015;0000;25.6;;90;1012.2;20;1.02888;0;
83054;11/01/2015;1200;34.4;;61;1013.2;20;2.05776;0;
83054;11/01/2015;1800;33.4;;64;1012;17;3.08664;1.25;
83054;12/01/2015;0000;24.9;;96;1012.9;0;0;0;
83054;12/01/2015;1200;35.8;;43;1012.7;1;4.11552;0;
83054;12/01/2015;1800;33.5;;63;1010.6;18;2.5722;1.25;
83054;13/01/2015;0000;27.8;;84;1012.4;14;1.02888;0;
83054;13/01/2015;1200;33.6;;62;1013.3;18;1.54332;0;
