<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83057</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MACAE-PESAGRO - RJ (OMM: 83057)
Latitude  (graus) : -22.38
Longitude (graus) : -41.76
Altitude  (metros): 1.50
Esta��o Fechada
Inicio de opera��o: 04/04/1979
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83057;01/07/1979;1200;19.8;18.9;91;;0;0;10;
83057;01/07/1979;1800;21.8;19.7;81;;14;3.6;8;
83057;02/07/1979;0000;18.8;18.1;93;;0;0;10;
83057;02/07/1979;1200;20.2;18.3;82;;0;0;7;
83057;02/07/1979;1800;21.8;18.5;71;;9;3.6;6;
83057;03/07/1979;0000;18.6;17.5;89;;0;0;10;
83057;03/07/1979;1200;20.4;19.1;88;;5;4.1;9;
83057;03/07/1979;1800;24.8;19.3;57;;5;3.6;2;
83057;04/07/1979;0000;19;18.3;93;;5;3.6;0;
83057;04/07/1979;1200;22.4;19.3;73;;5;3.1;8;
83057;04/07/1979;1800;28.8;20.1;41;;5;2.6;0;
83057;05/07/1979;0000;20;19.3;93;;5;3.6;0;
83057;05/07/1979;1200;21.6;21;94;;0;0;0;
83057;05/07/1979;1800;24.6;20.9;70;;18;4.1;0;
83057;06/07/1979;0000;21.2;19.9;88;;23;3.1;10;
83057;06/07/1979;1200;22.4;21.2;89;;23;1;10;
83057;06/07/1979;1800;23.2;21.5;85;;23;2.6;10;
83057;07/07/1979;0000;21.8;21;93;;9;2.6;10;
83057;07/07/1979;1200;22.9;21.5;88;;5;2.6;4;
83057;07/07/1979;1800;23.6;21.3;81;;9;4.1;8;
83057;08/07/1979;0000;21.2;20.1;90;;5;2.6;10;
83057;08/07/1979;1200;24;20.7;73;;5;1;1;
83057;08/07/1979;1800;29.6;22.7;53;;14;2.6;1;
83057;09/07/1979;0000;20.4;18.9;86;;0;0;0;
83057;09/07/1979;1200;20.8;19.9;92;;23;4.1;10;
83057;09/07/1979;1800;22;19.3;76;;23;3.6;10;
