<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83061</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PONTE ALTA - MG (OMM: 83061)
Latitude  (graus) : -19.83
Longitude (graus) : -42.63
Altitude  (metros): 320.00
Esta��o Desativada
Inicio de opera��o: 01/01/1981
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83061;01/05/1981;1200;25;21;69;;;;4;
83061;01/05/1981;1800;27;22;63;;;;4;
83061;02/05/1981;0000;24.4;21;73;;;;4;
83061;02/05/1981;1200;23.8;21;77;;;;6;
83061;02/05/1981;1800;26.4;21.6;64;;;;8;
83061;03/05/1981;0000;23;20.4;78;;;;10;
83061;03/05/1981;1200;21.8;20.2;86;;;;10;
83061;03/05/1981;1800;26;21.4;65;;;;6;
83061;04/05/1981;0000;22;19;74;;;;6;
83061;04/05/1981;1200;21.8;20.2;86;;;;4;
83061;04/05/1981;1800;28.4;21.2;51;;;;2;
83061;05/05/1981;0000;24;21.2;77;;;;8;
83061;06/05/1981;1200;24.8;20.8;69;;;;5;
83061;06/05/1981;1800;29.2;22.2;53;;;;0;
83061;07/05/1981;0000;24.6;20.2;65;;;;0;
83061;07/05/1981;1200;23;20;75;;;;2;
83061;07/05/1981;1800;28;21;51;;;;4;
83061;08/05/1981;0000;24.2;20.6;71;;;;0;
83061;08/05/1981;1200;22.8;20;76;;;;0;
83061;08/05/1981;1800;26.6;21.2;60;;;;8;
83061;09/05/1981;0000;24;20.6;72;;;;8;
83061;09/05/1981;1200;19.6;19;94;;;;10;
83061;09/05/1981;1800;28.4;22.6;59;;;;6;
83061;10/05/1981;0000;19;18.8;98;;;;4;
83061;10/05/1981;1200;20.6;19.8;93;;;;7;
83061;10/05/1981;1800;28.8;21.6;51;;;;2;
83061;11/05/1981;0000;20;19;91;;;;0;
83061;11/05/1981;1200;21.8;20.8;91;;;;4;
83061;11/05/1981;1800;28;23.6;68;;;;2;
83061;12/05/1981;0000;17.8;17;92;;;;0;
83061;12/05/1981;1200;20.2;19;89;;;;6;
83061;12/05/1981;1800;27.8;21.2;54;;;;1;
83061;13/05/1981;0000;17.8;17;92;;;;2;
83061;13/05/1981;1200;20.8;19.4;87;;;;2;
83061;13/05/1981;1800;29.8;21.2;44;;;;0;
83061;14/05/1981;0000;23.2;20.8;80;;;;0;
83061;14/05/1981;1200;17.8;16.8;90;;;;6;
83061;14/05/1981;1800;27.4;21.2;56;;;;0;
83061;15/05/1981;0000;17.6;16.8;92;;;;0;
83061;15/05/1981;1200;20;18.6;87;;;;1;
83061;15/05/1981;1800;29.4;22.8;55;;;;2;
83061;16/05/1981;0000;23.6;21.2;80;;;;0;
83061;16/05/1981;1200;23.2;20.6;78;;;;2;
83061;16/05/1981;1800;30.6;22.4;47;;;;2;
83061;17/05/1981;0000;22.2;21;89;;;;0;
83061;17/05/1981;1200;21.6;18.8;76;;;;0;
83061;17/05/1981;1800;28.8;21.6;51;;;;4;
83061;18/05/1981;0000;20;18.6;87;;;;8;
83061;18/05/1981;1200;23.6;21;78;;;;8;
83061;18/05/1981;1800;25;21.4;72;;;;10;
83061;19/05/1981;0000;20.6;20;94;;;;0;
83061;19/05/1981;1200;23;21;83;;;;9;
83061;19/05/1981;1800;24.8;21.6;74;;;;10;
83061;20/05/1981;0000;20.2;19;89;;;;2;
83061;20/05/1981;1200;22;20.2;84;;;;10;
83061;20/05/1981;1800;26.8;21.8;63;;;;2;
83061;21/05/1981;0000;17.6;17;94;;;;2;
83061;21/05/1981;1200;18.8;18.2;94;;;;8;
83061;21/05/1981;1800;25.6;21.4;68;;;;8;
83061;22/05/1981;0000;18.8;17.4;87;;;;0;
83061;22/05/1981;1200;21;19.4;86;;;;10;
83061;22/05/1981;1800;27.2;21.4;58;;;;4;
83061;23/05/1981;0000;20.8;19.6;89;;;;6;
83061;23/05/1981;1200;20;18.4;85;;;;6;
83061;23/05/1981;1800;26;20.2;57;;;;7;
83061;24/05/1981;0000;18;17.2;92;;;;2;
83061;24/05/1981;1200;18.4;17.4;90;;;;4;
83061;24/05/1981;1800;22.8;19.2;70;;;;8;
83061;25/05/1981;0000;18.2;17.2;90;;;;8;
83061;25/05/1981;1200;19.6;18;85;;;;6;
83061;25/05/1981;1800;23.4;19.8;71;;;;8;
83061;26/05/1981;0000;19.2;18.4;92;;;;8;
83061;26/05/1981;1200;18.8;18;92;;;;8;
83061;26/05/1981;1800;27;20;50;;;;2;
83061;27/05/1981;0000;16.6;15.2;86;;;;0;
83061;27/05/1981;1200;21;18.6;79;;;;2;
83061;27/05/1981;1800;26.8;20.4;54;;;;2;
83061;28/05/1981;0000;16.8;16;92;;;;0;
83061;28/05/1981;1200;19.8;18.2;85;;;;0;
83061;28/05/1981;1800;25.4;20.6;63;;;;3;
83061;29/05/1981;0000;17;16.6;96;;;;2;
83061;29/05/1981;1200;18.2;17.2;90;;;;10;
83061;29/05/1981;1800;21.2;18.2;74;;;;10;
83061;30/05/1981;0000;18.2;17.4;92;;;;10;
83061;30/05/1981;1200;19.2;17.8;87;;;;8;
83061;30/05/1981;1800;27;20;50;;;;2;
83061;31/05/1981;0000;17.8;17.4;96;;;;4;
83061;31/05/1981;1200;20;17.8;80;;;;5;
83061;31/05/1981;1800;28;20;45;;;;5;
83061;01/06/1981;0000;19.8;18.2;85;;;;8;
83061;02/06/1981;1200;20.8;19.6;89;;;;9;
83061;02/06/1981;1800;25.6;21;65;;;;8;
83061;03/06/1981;0000;20.6;19.8;93;;;;6;
83061;03/06/1981;1200;21.4;20.4;91;;;;10;
83061;03/06/1981;1800;26.2;21.6;65;;;;6;
83061;04/06/1981;0000;20.2;19;89;;;;7;
83061;04/06/1981;1200;21.6;19.8;84;;;;10;
