<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83064</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PORTO NACIONAL - TO (OMM: 83064)
Latitude  (graus) : -10.71
Longitude (graus) : -48.41
Altitude  (metros): 239.20
Esta��o Operante
Inicio de opera��o: 01/01/1915
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83064;01/01/1961;1200;25;23.6;89;983.6;0;0;9;
83064;01/01/1961;1800;26.2;23.8;81;982.6;0;0;10;
83064;02/01/1961;0000;23.6;23;95;983.6;0;0;10;
83064;02/01/1961;1200;25;23.4;87;985.9;23;3;10;
83064;02/01/1961;1800;30.6;26;68;982;0;0;10;
83064;03/01/1961;0000;25.6;23.6;84;983.6;0;0;9;
83064;03/01/1961;1200;22.6;22.2;97;985.6;0;0;10;
83064;03/01/1961;1800;28.8;24.8;71;981.6;0;0;9;
83064;04/01/1961;0000;25.2;24.2;92;984;0;0;10;
83064;04/01/1961;1200;22.6;21.8;93;985.5;27;9;10;
83064;04/01/1961;1800;29.2;25.2;71;982;32;3;7;
83064;05/01/1961;0000;24.6;23.4;90;983.1;0;0;10;
83064;05/01/1961;1200;23.6;23;95;984.7;0;0;10;
83064;05/01/1961;1800;29.2;25.2;71;981.4;0;0;9;
83064;06/01/1961;0000;25;23.2;86;981.9;0;0;5;
83064;06/01/1961;1200;24.8;24;94;984.7;0;0;10;
83064;06/01/1961;1800;31.2;26.2;66;980.6;0;0;7;
83064;07/01/1961;0000;24.2;22.8;88;982.6;0;0;10;
83064;07/01/1961;1200;24.2;22.8;88;985.5;18;3;9;
83064;07/01/1961;1800;31;26.2;67;981.6;0;0;7;
83064;08/01/1961;0000;27.6;25.6;85;982.2;0;0;8;
83064;08/01/1961;1200;23.8;23.4;97;984.7;0;0;10;
83064;08/01/1961;1800;27.8;24.8;77;982.2;18;9;10;
83064;09/01/1961;0000;25.5;24.6;93;983.5;0;0;8;
83064;09/01/1961;1200;24.6;23.1;88;984;0;0;10;
83064;09/01/1961;1800;27.8;24.8;77;981.1;9;1;10;
83064;10/01/1961;0000;23.8;23.2;95;982.3;0;0;3;
83064;10/01/1961;1200;26.2;24.8;89;985.2;0;0;2;
83064;10/01/1961;1800;30.6;25;62;981.1;5;9;10;
83064;11/01/1961;0000;22;21.8;98;982.7;0;0;10;
83064;11/01/1961;1200;25.4;24.4;92;983.4;0;0;3;
83064;11/01/1961;1800;24.6;23;87;981.8;5;5;10;
83064;12/01/1961;0000;24;23.4;95;982.8;0;0;10;
83064;12/01/1961;1200;24.4;23.4;92;984.4;23;3;10;
83064;12/01/1961;1800;25.8;24.6;91;981.6;18;3;10;
83064;13/01/1961;0000;20;19.4;94;984.8;0;0;10;
83064;13/01/1961;1200;22.4;21.2;90;984.8;5;2;10;
83064;13/01/1961;1800;27.8;24.8;77;982.7;23;3;10;
83064;14/01/1961;0000;25;23.6;89;983.4;18;3;10;
83064;14/01/1961;1200;24.6;23;87;984.7;0;0;10;
83064;14/01/1961;1800;27.6;24.4;76;982.8;5;3;10;
83064;15/01/1961;0000;22.6;22.4;98;983.6;0;0;10;
83064;15/01/1961;1200;22;21.8;98;986.2;0;0;10;
83064;15/01/1961;1800;29;25;71;982.8;27;1;9;
83064;16/01/1961;0000;26;24.8;90;983.6;0;0;4;
83064;16/01/1961;1200;24.8;23.8;92;985.5;0;0;10;
83064;16/01/1961;1800;27.6;23;66;982.2;14;7;10;
83064;17/01/1961;0000;24.6;23;87;983.1;32;4;10;
83064;17/01/1961;1200;23.8;21.8;83;986.4;0;0;8;
83064;17/01/1961;1800;28.4;24.4;71;985.1;36;4;9;
83064;18/01/1961;0000;24.8;22.6;82;985.5;0;0;4;
83064;18/01/1961;1200;25.4;23;81;989.1;0;0;10;
83064;18/01/1961;1800;30.2;24.6;62;985.9;0;0;9;
83064;19/01/1961;0000;25.2;23.4;85;986.8;0;0;4;
83064;19/01/1961;1200;25.9;23.8;83;988.7;0;0;5;
83064;19/01/1961;1800;32.2;25;54;985.4;9;3;9;
83064;20/01/1961;0000;22.5;21.9;94;986;0;0;3;
83064;20/01/1961;1200;25.8;24;86;987.2;23;1;4;
83064;20/01/1961;1800;24;23.2;93;983.9;0;0;10;
83064;21/01/1961;0000;24.6;23.2;89;986.8;0;0;8;
83064;21/01/1961;1200;25.4;24.2;91;987.6;0;0;9;
83064;21/01/1961;1800;31.4;25.4;60;982.8;0;0;10;
83064;22/01/1961;0000;24.6;23.6;92;985.6;27;2;9;
83064;22/01/1961;1200;22.6;22.4;98;988;0;0;10;
83064;22/01/1961;1800;24.2;23.2;92;985.2;5;3;10;
83064;23/01/1961;0000;23.4;23.2;98;987.2;36;5;10;
83064;23/01/1961;1200;23.8;22.6;90;988.7;36;3;10;
83064;23/01/1961;1800;28;24.6;75;985.1;0;0;10;
83064;24/01/1961;0000;26.2;24.8;89;985.9;0;0;10;
83064;24/01/1961;1200;24;22.8;89;988.7;36;5;10;
83064;24/01/1961;1800;28;25;77;984.6;0;0;10;
83064;25/01/1961;0000;24.4;23.6;94;985.8;0;0;9;
83064;25/01/1961;1200;24;23;91;987.1;0;0;8;
83064;25/01/1961;1800;27.2;24.8;82;984;32;3;10;
83064;26/01/1961;0000;24.2;23.7;96;985.9;0;0;10;
83064;26/01/1961;1200;25.2;24.4;93;986.7;32;3;10;
83064;26/01/1961;1800;30.9;26;67;982.4;32;3;10;
83064;27/01/1961;0000;24.4;23.8;95;986.3;0;0;10;
83064;27/01/1961;1200;24.6;23.2;89;986.6;0;0;10;
83064;27/01/1961;1800;27.4;24.4;77;984.2;32;3;10;
83064;28/01/1961;0000;25.6;24.6;92;985.2;23;2;9;
83064;28/01/1961;1200;23.4;22.6;93;988.2;23;2;10;
83064;28/01/1961;1800;23.2;22.4;93;985.9;0;0;10;
83064;29/01/1961;0000;22.6;22;95;987.5;0;0;9;
83064;29/01/1961;1200;23.4;22.8;94;988.4;23;3;10;
83064;29/01/1961;1800;30.8;25.2;62;984.2;32;3;6;
83064;30/01/1961;0000;25;23.6;89;987.1;0;0;10;
83064;30/01/1961;1200;25.8;23.9;85;986.4;0;0;7;
83064;30/01/1961;1800;29;25.6;75;982.6;23;2;10;
83064;31/01/1961;0000;25;23.6;89;984.8;0;0;10;
83064;31/01/1961;1200;24.8;23.4;89;986.8;0;0;10;
83064;31/01/1961;1800;25.6;24.8;93;983.2;0;0;9;
83064;01/02/1961;0000;24.6;23.8;93;985.2;5;3;10;
83064;01/02/1961;1200;26;24.2;86;986.2;0;0;9;
83064;01/02/1961;1800;31.8;25.8;61;982.4;0;0;8;
