<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83075</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : GUARULHOS - SP (OMM: 83075)
Latitude  (graus) : -23.43
Longitude (graus) : -46.46
Altitude  (metros): 735.00
Esta��o Operante
Inicio de opera��o: 03/09/1983
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83075;01/07/1983;1200;20;16.6;70;;32;2.3;;
83075;02/07/1983;1200;15.5;15;;;14;1.5;10;
83075;03/07/1983;1200;17.4;15.6;83;;14;3.1;6;
83075;04/07/1983;1200;10.8;8.4;71;;14;1.5;1;
83075;05/07/1983;1200;13.5;11.4;77;;5;1.5;5;
83075;06/07/1983;1200;23;17.2;55;;36;2.8;5;
83075;07/07/1983;1200;22;16;52;;36;2.6;9;
83075;08/07/1983;1200;22.8;16.4;50;;32;2.1;4;
83075;09/07/1983;1200;18.4;16.2;80;;14;2.1;9;
83075;10/07/1983;1200;20;16.3;67;;14;2.1;0;
83075;11/07/1983;1200;19.8;15.2;61;;14;0.3;0;
83075;12/07/1983;1200;17.5;14.4;70;;14;0.5;2;
83075;13/07/1983;1200;16.3;14.5;82;;14;2.6;10;
83075;14/07/1983;1200;15;13.4;84;;0;0;5;
83075;15/07/1983;1200;16.3;14;77;;11;;2;
83075;16/07/1983;1200;16.8;14.8;81;;13;;6;
83075;17/07/1983;1200;15;13.8;88;;14;0.5;9;
83075;18/07/1983;1200;13;12.2;91;;;;10;
83075;19/07/1983;1200;12;10.6;84;;14;0.5;10;
83075;20/07/1983;1200;11.4;10.4;89;;;;10;
83075;21/07/1983;1200;12.2;11.2;89;;;;10;
83075;22/07/1983;1200;10.2;9.8;95;;;;10;
83075;23/07/1983;1200;11;10.8;98;;;;10;
83075;24/07/1983;1200;16;14;80;;;;2;
83075;25/07/1983;1200;17.1;14.9;79;;;;5;
83075;26/07/1983;1200;16.5;15.2;86;;14;1.3;10;
83075;27/07/1983;1200;17.2;15.1;79;;14;3.1;10;
