<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83076</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : STa  R  DE CASSIA  IBIPETUBA  - BA (OMM: 83076)
Latitude  (graus) : -11.01
Longitude (graus) : -44.51
Altitude  (metros): 450.30
Esta��o Operante
Inicio de opera��o: 13/12/1911
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83076;01/01/1961;1200;23.6;22.1;87;960.6;0;0;10;
83076;01/01/1961;1800;31.6;26.3;64;965;0;0;10;
83076;02/01/1961;0000;22.6;21.5;90;958;0;0;10;
83076;02/01/1961;1200;23.2;22.1;90;962;0;0;10;
83076;02/01/1961;1800;30.6;24.5;60;958.7;0;0;10;
83076;03/01/1961;0000;22.2;21.5;93;958.3;0;0;10;
83076;03/01/1961;1200;23.6;22.3;89;961.4;0;0;10;
83076;03/01/1961;1800;31.4;24.9;58;959.6;0;0;8;
83076;04/01/1961;0000;24;21.1;76;958;0;0;8;
83076;04/01/1961;1200;22.8;21.5;89;961.1;0;0;10;
83076;04/01/1961;1800;28.8;23.3;62;959.5;0;0;10;
83076;05/01/1961;0000;22.6;21.9;94;957.4;0;0;10;
83076;05/01/1961;1200;22.2;21.5;93;961.1;0;0;10;
83076;05/01/1961;1800;29.6;24.3;64;964.6;0;0;10;
83076;06/01/1961;0000;24.4;22.5;84;963.5;0;0;10;
83076;06/01/1961;1200;23.6;22.3;89;961.4;0;0;10;
83076;06/01/1961;1800;32.4;24.7;52;957.9;0;0;6;
83076;07/01/1961;0000;24;21.1;76;958;0;0;8;
83076;07/01/1961;1200;25;22.9;83;961.2;0;0;8;
83076;07/01/1961;1800;32.2;24.3;51;958.8;0;0;10;
83076;08/01/1961;0000;24.8;22.7;83;957.9;0;0;4;
83076;08/01/1961;1200;22.8;21.5;89;961.1;0;0;8;
83076;08/01/1961;1800;28.8;23.3;62;959.5;0;0;6;
83076;09/01/1961;0000;22.6;21.9;94;957.4;0;0;10;
83076;09/01/1961;1200;23.6;22.3;89;960.7;0;0;10;
83076;09/01/1961;1800;32;25.7;60;958.3;0;0;8;
83076;10/01/1961;0000;23;22.1;92;956.8;0;0;4;
83076;10/01/1961;1200;24;22.5;87;959.8;0;0;6;
83076;10/01/1961;1800;33;25.1;52;957.8;0;0;8;
83076;11/01/1961;0000;24.4;23.3;91;956.2;0;0;8;
83076;11/01/1961;1200;24.2;22.7;88;959.2;0;0;6;
83076;11/01/1961;1800;30;23.9;59;957.8;0;0;8;
83076;12/01/1961;0000;24.4;23.3;91;957.6;0;0;6;
83076;12/01/1961;1200;22.4;21.1;89;960.7;0;0;10;
83076;12/01/1961;1800;29;24.9;70;958.6;0;0;10;
83076;13/01/1961;0000;23.4;22.3;90;959.6;0;0;10;
83076;13/01/1961;1200;20.4;19.9;95;963.6;0;0;10;
83076;13/01/1961;1800;29.6;23.3;58;960.3;0;0;10;
83076;14/01/1961;0000;24;22.7;89;961.9;0;0;10;
83076;14/01/1961;1200;23.6;21.3;80;960.8;0;0;6;
83076;14/01/1961;1800;29.4;23.3;59;960.4;0;0;8;
83076;15/01/1961;0000;23.6;21.3;80;959.9;0;0;10;
83076;15/01/1961;1200;23.6;22.1;87;961.1;0;0;8;
83076;15/01/1961;1800;29.6;24.3;64;959.6;14;1;8;
83076;16/01/1961;0000;23.8;22.3;87;959.6;0;0;8;
83076;16/01/1961;1200;22.6;21.3;88;962.2;0;0;10;
83076;16/01/1961;1800;29.6;23.3;58;960.4;0;0;10;
83076;17/01/1961;0000;23.6;21.3;80;959.9;0;0;10;
83076;17/01/1961;1200;22.4;20.3;82;962.6;0;0;10;
83076;17/01/1961;1800;30.4;24.1;59;961;0;0;10;
83076;18/01/1961;0000;19.6;19.1;96;963.6;0;0;10;
83076;18/01/1961;1200;20.4;19.9;95;967.6;0;0;10;
83076;18/01/1961;1800;30;24.3;62;963.8;0;0;10;
83076;19/01/1961;0000;21.6;20.5;90;962;0;0;10;
83076;19/01/1961;1200;22.4;21.3;90;965.5;0;0;8;
83076;19/01/1961;1800;30.2;23.9;58;963.1;0;0;8;
83076;20/01/1961;0000;23.4;22.9;95;961.2;0;0;6;
83076;20/01/1961;1200;21.2;20.5;93;963.8;0;0;10;
83076;20/01/1961;1800;29;24.9;70;958;0;0;10;
83076;21/01/1961;0000;23.4;22.3;90;959.6;0;0;6;
83076;21/01/1961;1200;25;23.1;85;963.4;0;0;6;
83076;21/01/1961;1800;29.4;23.9;62;961.9;0;0;10;
83076;22/01/1961;0000;23;22.1;92;961.6;0;0;10;
83076;22/01/1961;1200;22;21.1;92;964.6;0;0;10;
83076;22/01/1961;1800;21.4;20.5;92;963.8;0;0;10;
83076;23/01/1961;0000;22.4;21.9;95;962;0;0;10;
83076;23/01/1961;1200;22.6;21.5;90;964.8;0;0;10;
83076;23/01/1961;1800;28.4;22.5;59;963;14;1;10;
83076;24/01/1961;0000;22.6;21.5;90;963.1;0;0;6;
83076;24/01/1961;1200;22.4;21.5;92;964.8;0;0;8;
83076;24/01/1961;1800;31;24.1;56;961.1;0;0;8;
83076;25/01/1961;0000;23.4;22.3;90;960.3;0;0;8;
83076;25/01/1961;1200;22.2;21.3;91;963.8;0;0;10;
83076;25/01/1961;1800;32.8;25.9;57;960;0;0;8;
83076;26/01/1961;0000;23.4;22.7;94;960.3;0;0;10;
83076;26/01/1961;1200;22.6;21.7;92;962.2;0;0;10;
83076;26/01/1961;1800;25.4;24.1;90;960.2;0;0;10;
83076;27/01/1961;0000;23.4;22.5;90;959.2;0;0;10;
83076;27/01/1961;1200;21.6;20.9;94;961.4;0;0;10;
83076;27/01/1961;1800;26;23.5;80;963.4;14;1;10;
83076;28/01/1961;0000;21.8;21.1;94;960.8;0;0;10;
83076;28/01/1961;1200;21.4;20.7;94;963.4;0;0;10;
83076;28/01/1961;1800;30.6;24.5;60;961.5;0;0;8;
83076;29/01/1961;0000;23;22.1;92;962.2;0;0;10;
83076;29/01/1961;1200;24;22.3;85;964.4;0;0;4;
83076;29/01/1961;1800;30.8;24.5;59;961.8;0;0;8;
83076;30/01/1961;0000;24.4;23.7;95;961.2;0;0;8;
83076;30/01/1961;1200;24.4;22.5;84;962;0;0;6;
83076;30/01/1961;1800;31.4;24.7;57;961.5;0;0;6;
83076;31/01/1961;0000;25.4;24.1;90;960.2;0;0;6;
83076;31/01/1961;1200;23.2;21.3;83;963.1;0;0;10;
83076;31/01/1961;1800;32.8;23.7;45;960;0;0;6;
83076;01/02/1961;0000;25.4;23.3;83;959.6;0;0;4;
83076;01/02/1961;1200;22.6;22.1;96;962.2;0;0;8;
83076;01/02/1961;1800;33.4;24.7;48;959.9;0;0;6;
83076;02/02/1961;0000;24.4;23.2;91;959.1;0;0;4;
83076;02/02/1961;1200;24.8;21.5;73;963.1;0;0;6;
83076;02/02/1961;1800;33.2;23.1;40;961.2;0;0;6;
83076;03/02/1961;0000;25.4;22.7;79;959.9;0;0;3;
83076;03/02/1961;1200;20.4;18.7;85;963.6;0;0;3;
83076;03/02/1961;1800;33.4;23.1;40;961;0;0;8;
83076;04/02/1961;0000;24.4;22.1;81;960.2;0;0;6;
83076;04/02/1961;1200;22.4;20.3;82;962;0;0;8;
83076;04/02/1961;1800;30.8;24.5;59;960;0;0;6;
83076;05/02/1961;0000;25.4;24.1;90;960.2;0;0;4;
83076;05/02/1961;1200;25;22.9;83;961.2;0;0;6;
83076;05/02/1961;1800;32.2;24.3;51;958.8;0;0;6;
83076;06/02/1961;0000;24.8;22.7;83;957.9;0;0;8;
83076;06/02/1961;1200;22.2;21.9;97;964.2;0;0;10;
83076;06/02/1961;1800;33.2;25.1;51;961.4;14;1;6;
83076;07/02/1961;0000;24.4;22.7;86;961.6;0;0;8;
83076;07/02/1961;1200;21.8;20.5;89;965.4;0;0;8;
83076;07/02/1961;1800;31.4;24.3;55;964.2;0;0;8;
83076;08/02/1961;0000;26;23.7;82;961.4;0;0;8;
83076;08/02/1961;1200;24.8;22.3;79;965;0;0;6;
83076;08/02/1961;1800;33.4;24.5;47;961.9;14;1;4;
83076;09/02/1961;0000;25.4;24.1;90;960;0;0;3;
83076;09/02/1961;1200;24.6;22.3;81;963.2;0;0;6;
83076;09/02/1961;1800;33.2;25.7;54;960.2;0;0;6;
83076;10/02/1961;0000;26.4;24.1;82;958.6;0;0;6;
83076;10/02/1961;1200;24.2;22.3;84;963.2;0;0;8;
83076;10/02/1961;1800;33;26.3;58;960;14;1;8;
83076;11/02/1961;0000;25.6;24.7;93;959.6;0;0;8;
83076;11/02/1961;1200;23;21.7;89;963.2;0;0;10;
83076;11/02/1961;1800;30.8;23.7;54;959.4;0;0;8;
83076;12/02/1961;0000;24.4;22.1;81;959.4;0;0;10;
83076;12/02/1961;1200;22.8;21.9;92;963.1;0;0;10;
83076;12/02/1961;1800;27;20.7;55;963.4;0;0;10;
83076;13/02/1961;0000;22;20.7;89;961.1;0;0;10;
83076;13/02/1961;1200;21.2;20.7;95;963.6;0;0;10;
83076;13/02/1961;1800;30;23.7;58;961.4;0;0;6;
83076;14/02/1961;0000;22.4;21.7;94;960.2;0;0;8;
83076;14/02/1961;1200;24.2;22.3;84;962.3;0;0;10;
83076;14/02/1961;1800;31.8;24.3;53;960;0;0;10;
83076;15/02/1961;0000;22.8;21.9;92;960.3;0;0;6;
83076;15/02/1961;1200;22;20.5;87;964.8;0;0;10;
83076;15/02/1961;1800;25.6;21.7;71;965.6;0;0;8;
83076;16/02/1961;0000;23.6;22.1;87;961.9;0;0;6;
83076;16/02/1961;1200;22.2;21.9;97;965.4;0;0;10;
83076;16/02/1961;1800;30;23.7;58;961.4;0;0;6;
83076;17/02/1961;0000;23.8;22.1;86;960.4;0;0;0;
83076;17/02/1961;1200;22.4;21.5;92;962.8;0;0;3;
83076;17/02/1961;1800;29.6;23.5;59;961.6;0;0;8;
83076;18/02/1961;0000;23.8;22.5;89;959.2;0;0;4;
83076;18/02/1961;1200;21.2;20.3;91;963.5;0;0;10;
83076;18/02/1961;1800;32;25.7;60;962.6;0;0;6;
83076;19/02/1961;0000;24.4;22.9;87;959.9;0;0;3;
83076;19/02/1961;1200;22.2;21.1;90;963.2;0;0;10;
83076;19/02/1961;1800;31.8;24.3;53;960;0;0;8;
83076;20/02/1961;0000;24.8;23.7;92;958.8;0;0;6;
83076;20/02/1961;1200;23.4;21.7;86;961.9;0;0;8;
83076;20/02/1961;1800;29.8;25.1;68;958.8;0;0;8;
83076;21/02/1961;0000;25.4;23.1;82;964.7;0;0;10;
83076;21/02/1961;1200;24.6;22.3;81;961.8;0;0;10;
83076;21/02/1961;1800;31.6;22.7;45;959.5;0;0;8;
83076;22/02/1961;0000;25.4;23.3;83;959;0;0;6;
83076;22/02/1961;1200;24.2;22.3;84;963.1;0;0;8;
83076;22/02/1961;1800;32.6;22.7;41;960;0;0;6;
83076;23/02/1961;0000;25.8;22.7;76;960;0;0;3;
83076;23/02/1961;1200;23.4;21.5;84;963.2;0;0;8;
83076;23/02/1961;1800;33.4;21.9;34;960.8;0;0;8;
83076;24/02/1961;0000;26;22.3;72;959.1;0;0;8;
83076;24/02/1961;1200;22.6;20.5;82;963.1;0;0;6;
83076;24/02/1961;1800;33.8;24.7;46;959.2;14;1;6;
83076;25/02/1961;0000;25.4;23.9;88;964.3;0;0;3;
83076;25/02/1961;1200;24.4;21.7;78;961.9;0;0;6;
83076;25/02/1961;1800;33.6;23.5;41;959.4;0;0;3;
83076;26/02/1961;0000;25.8;22.7;76;960;0;0;6;
83076;26/02/1961;1200;23.4;21.7;86;961.9;0;0;6;
83076;26/02/1961;1800;29.8;25.1;68;958.8;0;0;6;
83076;27/02/1961;0000;25.4;23.1;82;964.7;0;0;6;
83076;27/02/1961;1200;22.8;20.5;81;964.6;0;0;8;
83076;27/02/1961;1800;33.8;24.3;44;962.3;0;0;10;
83076;28/02/1961;0000;24.6;21.3;73;961.4;0;0;8;
83076;28/02/1961;1200;24.2;22.1;83;963.4;0;0;10;
83076;28/02/1961;1800;30;24.1;61;961;9;2;10;
83076;01/03/1961;0000;25.2;22.7;80;959.5;0;0;10;
83076;01/03/1961;1200;24.2;22.3;84;963.1;0;0;10;
83076;01/03/1961;1800;30.4;24.1;59;961.8;0;0;10;
83076;02/03/1961;0000;24.4;22.1;81;958.8;0;0;10;
83076;02/03/1961;1200;22.6;21.5;90;962.2;0;0;10;
83076;02/03/1961;1800;32.4;24.9;53;958.4;0;0;8;
83076;03/03/1961;0000;24.4;22.3;82;959.4;0;0;10;
83076;03/03/1961;1200;23.6;21.7;84;963.1;0;0;6;
83076;03/03/1961;1800;28.2;23.4;66;960.2;0;0;10;
83076;04/03/1961;0000;24.2;23.5;94;960.8;0;0;6;
83076;04/03/1961;1200;22.4;21.7;94;962.4;0;0;10;
83076;04/03/1961;1800;29.2;24.3;66;961.6;0;0;10;
83076;05/03/1961;0000;24;22.9;90;959.4;0;0;6;
83076;05/03/1961;1200;23.4;22.1;89;962.6;0;0;10;
83076;05/03/1961;1800;30.6;23.9;56;960.2;0;0;8;
83076;06/03/1961;0000;24.6;23.3;89;958.8;0;0;6;
83076;06/03/1961;1200;23.4;21.9;87;963;0;0;10;
83076;06/03/1961;1800;32.8;24.1;48;960;0;0;8;
83076;07/03/1961;0000;26.4;23.7;79;962.6;0;0;3;
83076;07/03/1961;1200;23.6;20.7;76;961.8;0;0;6;
83076;07/03/1961;1800;33.6;24.3;45;959.6;0;0;6;
83076;08/03/1961;0000;26.4;23.7;79;958;0;0;6;
83076;08/03/1961;1200;21.2;20.1;90;960.6;0;0;3;
83076;08/03/1961;1800;34.8;23.5;37;963.9;14;1;6;
83076;09/03/1961;0000;25.6;22.5;76;963.9;0;0;3;
83076;09/03/1961;1200;23.8;21.3;79;961.4;0;0;6;
83076;09/03/1961;1800;35;23.7;37;959.8;0;0;6;
83076;10/03/1961;0000;25.6;23.5;83;958.7;0;0;6;
83076;10/03/1961;1200;23.8;21.7;83;963.8;0;0;10;
83076;10/03/1961;1800;34;24.9;46;961.2;9;1;10;
83076;11/03/1961;0000;24.4;22.7;86;959.8;0;0;3;
83076;11/03/1961;1200;25.4;22.7;79;963;0;0;8;
83076;11/03/1961;1800;34.8;24.7;43;959.6;0;0;8;
83076;12/03/1961;0000;25.2;23.5;84;959.5;0;0;8;
83076;12/03/1961;1200;23;22.3;94;962.3;0;0;10;
83076;12/03/1961;1800;28.4;23.5;65;959.5;32;2;6;
83076;13/03/1961;0000;24.4;23.3;91;958.7;0;0;8;
83076;13/03/1961;1200;23;22.1;92;961.5;0;0;10;
83076;13/03/1961;1800;28.2;23.7;68;959.1;0;0;8;
83076;14/03/1961;0000;25;23.3;86;959;0;0;6;
83076;14/03/1961;1200;22.2;21.3;91;963.8;0;0;10;
83076;14/03/1961;1800;27;22.7;68;961.9;0;0;10;
83076;15/03/1961;0000;21.4;20.9;95;960.6;0;0;10;
83076;15/03/1961;1200;21.6;20.3;88;963.5;0;0;10;
83076;15/03/1961;1800;26.4;22.7;73;962;0;0;10;
83076;16/03/1961;0000;23.2;22.1;90;960.6;0;0;6;
83076;16/03/1961;1200;22;21.3;93;963.4;0;0;8;
83076;16/03/1961;1800;26.4;22.3;70;961.8;0;0;10;
83076;17/03/1961;0000;22.2;20.7;87;960.6;0;0;10;
83076;17/03/1961;1200;22.2;21.5;93;964.8;0;0;10;
83076;17/03/1961;1800;28.4;25.1;76;962.4;32;2;10;
83076;18/03/1961;0000;23.4;22.7;94;960.6;0;0;10;
83076;18/03/1961;1200;23.8;22.3;87;964.6;0;0;4;
83076;18/03/1961;1800;32.4;24.7;52;961.4;0;0;6;
83076;19/03/1961;0000;25.4;24.5;93;960.3;0;0;0;
83076;19/03/1961;1200;22.6;21.7;92;962.8;0;0;10;
83076;19/03/1961;1800;27;24.3;79;960.3;0;0;10;
83076;20/03/1961;0000;23.4;22.7;94;960.4;0;0;6;
83076;20/03/1961;1200;21.2;20.7;95;963.4;0;0;10;
83076;20/03/1961;1800;29.4;24.5;66;960.4;0;0;8;
83076;21/03/1961;0000;24.4;23.9;96;960.4;0;0;6;
83076;21/03/1961;1200;23.6;22.1;87;963.5;0;0;8;
