<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83083</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SERRA AZUL - MG (OMM: 83083)
Latitude  (graus) : -20.01
Longitude (graus) : -44.35
Altitude  (metros): 765.00
Esta��o Desativada
Inicio de opera��o: 27/11/1984
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83083;01/05/1985;1200;21;20.6;96;;5;1;;
83083;01/05/1985;1800;27;25;85;;18;2;;
83083;02/05/1985;0000;20.2;19.8;96;;27;1;;
83083;02/05/1985;1200;21.2;20.6;95;;36;1;;
83083;02/05/1985;1800;25.6;24.4;90;;36;1;;
83083;03/05/1985;0000;19.8;19.4;96;;9;1;;
83083;03/05/1985;1200;20.8;20.4;96;;9;1;;
83083;03/05/1985;1800;23.4;22.6;93;;5;1;;
83083;04/05/1985;0000;19;19;100;;14;1;;
83083;04/05/1985;1200;21.6;20.6;91;;5;1;;
83083;04/05/1985;1800;26;25;92;;18;1;;
83083;05/05/1985;0000;18.2;18;98;;27;2;;
83083;05/05/1985;1200;18.8;18;92;;5;1;;
83083;05/05/1985;1800;25.4;21.2;68;;9;1;;
83083;06/05/1985;0000;17;16.8;98;;14;1;;
83083;06/05/1985;1200;18.6;17.6;90;;9;3;;
83083;06/05/1985;1800;23;21.2;85;;9;5;;
83083;07/05/1985;0000;15.4;15.4;100;;18;1;;
83083;07/05/1985;1200;16.6;15.8;92;;0;0;;
83083;07/05/1985;1800;23;20.2;77;;0;0;;
83083;08/05/1985;0000;15;14.8;98;;0;0;;
83083;08/05/1985;1200;16.4;15.4;90;;0;0;;
83083;08/05/1985;1800;25.4;22.8;80;;23;1;;
83083;09/05/1985;0000;14.8;14.6;98;;32;1;;
83083;09/05/1985;1200;16.6;15.8;92;;36;1;;
83083;09/05/1985;1800;23.4;22;88;;5;2;;
83083;10/05/1985;0000;16.2;16.2;100;;14;1;;
83083;10/05/1985;1200;16.4;16.2;98;;0;0;;
83083;10/05/1985;1800;25;22.4;80;;23;3;;
83083;11/05/1985;0000;16.8;16.4;96;;0;0;;
83083;11/05/1985;1200;19.6;18.4;89;;5;1;;
83083;11/05/1985;1800;25.8;23.4;83;;36;1;;
83083;12/05/1985;0000;19.2;18.8;97;;36;1;;
83083;12/05/1985;1200;18.2;17.6;94;;23;1;;
