<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83087</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : GRA  JURITI  PETROPOL  - RJ (OMM: 83087)
Latitude  (graus) : -22.28
Longitude (graus) : -43.03
Altitude  (metros): 980.00
Esta��o Fechada
Inicio de opera��o: 15/01/1985
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83087;01/01/1992;1200;22.6;21.6;91;;0;0;7;
83087;01/01/1992;1800;28;23.8;70;;0;0;7;
83087;02/01/1992;0000;20;19;91;;0;0;10;
83087;02/01/1992;1200;22.1;20.6;87;;;;6;
83087;02/01/1992;1800;27.2;23.4;71;;;;6;
83087;03/01/1992;0000;19.2;18.6;94;;;;0;
83087;03/01/1992;1200;23.8;22;85;;;;5;
83087;03/01/1992;1800;28;24.4;74;;;;6;
83087;04/01/1992;0000;19.4;19;96;;;;6;
83087;04/01/1992;1200;23.2;22;89;;;;7;
83087;04/01/1992;1800;22.8;21.6;90;;;;10;
83087;05/01/1992;0000;20.8;20;93;;;;10;
83087;05/01/1992;1200;20.2;19.8;96;;;;10;
83087;05/01/1992;1800;23.6;21.4;81;;;;8;
83087;06/01/1992;0000;18.4;17.6;92;;;;0;
83087;06/01/1992;1200;21.8;18.2;70;;;;0;
83087;06/01/1992;1800;26.2;21.4;64;;;;0;
83087;07/01/1992;0000;17;16;90;;;;0;
83087;07/01/1992;1200;21.8;18.2;80;;;;1;
83087;07/01/1992;1800;25.4;20;81;;;;7;
83087;08/01/1992;0000;18.4;15.6;90;;;;10;
83087;08/01/1992;1200;20.8;19;84;;;;8;
83087;08/01/1992;1800;25.6;22.4;75;;;;3;
83087;09/01/1992;0000;19.2;18.4;92;;;;10;
83087;09/01/1992;1200;20.2;19;89;;;;10;
83087;09/01/1992;1800;20.2;19.4;92;;;;10;
83087;10/01/1992;0000;18.6;17.8;92;;;;10;
83087;10/01/1992;1200;21.8;20;84;;;;6;
83087;10/01/1992;1800;25.4;22.8;79;;;;7;
83087;11/01/1992;0000;18.4;17.4;90;;;;6;
83087;11/01/1992;1200;20.8;18.8;82;;;;8;
83087;11/01/1992;1800;27;22.8;68;;;;2;
83087;12/01/1992;0000;18.8;17.6;88;;;;6;
83087;12/01/1992;1200;23.4;21.2;82;;;;6;
83087;12/01/1992;1800;28.2;23.4;66;;;;4;
83087;13/01/1992;0000;21.2;20.2;91;;;;10;
83087;13/01/1992;1200;22.8;21;85;;;;6;
83087;13/01/1992;1800;25.4;22.6;78;;;;3;
83087;14/01/1992;0000;18.6;17.4;88;;;;10;
83087;14/01/1992;1200;22.8;21.2;87;;;;10;
83087;14/01/1992;1800;26.4;23.1;75;;;;6;
83087;15/01/1992;0000;19.8;19.4;96;;;;6;
83087;15/01/1992;1200;21.6;20.4;89;;;;10;
83087;15/01/1992;1800;26.6;23.2;74;;;;5;
83087;16/01/1992;0000;21.6;20.8;93;;;;10;
83087;16/01/1992;1200;20.2;20;98;;;;10;
83087;16/01/1992;1800;21.2;20.6;94;;;;10;
83087;17/01/1992;0000;20;19.8;98;;;;10;
83087;17/01/1992;1200;19.2;19.2;100;;;;10;
83087;17/01/1992;1800;19.4;19.2;98;;;;10;
83087;18/01/1992;0000;18.8;18.8;100;;;;10;
83087;18/01/1992;1200;20.6;20;95;;;;10;
83087;18/01/1992;1800;20.6;19.4;89;;;;10;
83087;19/01/1992;0000;18;17.4;94;;;;10;
83087;19/01/1992;1200;20.2;19.4;92;;;;10;
83087;19/01/1992;1800;22;21;91;;;;10;
83087;20/01/1992;0000;18.6;17.8;92;;;;10;
83087;20/01/1992;1200;22.2;20.2;83;;;;9;
83087;20/01/1992;1800;22;20.8;89;;;;10;
83087;21/01/1992;0000;18.6;18.1;95;;;;10;
83087;21/01/1992;1200;18.4;18.1;97;;;;10;
83087;21/01/1992;1800;19.2;18.8;96;;;;10;
83087;22/01/1992;0000;19.2;18.8;96;;;;10;
83087;22/01/1992;1200;18.2;18.2;100;;;;10;
83087;22/01/1992;1800;18.6;18.4;98;;;;10;
83087;23/01/1992;0000;17.2;17.2;100;;;;10;
83087;23/01/1992;1200;17.6;17.6;100;;;;10;
83087;23/01/1992;1800;18;18;100;;;;10;
83087;24/01/1992;0000;16.2;16.1;99;;;;10;
83087;24/01/1992;1200;17.1;17;99;;;;10;
83087;24/01/1992;1800;18;17.8;98;;;;10;
83087;25/01/1992;0000;17.8;17.8;100;;;;10;
83087;25/01/1992;1200;17.8;17.2;94;;;;10;
83087;25/01/1992;1800;23.4;20.8;78;;;;5;
83087;26/01/1992;0000;18.4;17.8;94;;;;10;
83087;26/01/1992;1200;19.8;19.2;95;;;;10;
83087;26/01/1992;1800;23.1;20.8;80;;;;8;
83087;27/01/1992;0000;20;19.2;93;;;;0;
83087;27/01/1992;1200;21;20;91;;;;6;
83087;27/01/1992;1800;27.4;23.8;73;;;;6;
83087;28/01/1992;0000;20;19.2;93;;;;10;
83087;28/01/1992;1200;22.2;21;89;;;;8;
83087;28/01/1992;1800;26.4;23.4;76;;;;6;
83087;29/01/1992;0000;20;19.4;94;;;;10;
83087;29/01/1992;1200;21.8;20.8;91;;;;9;
83087;29/01/1992;1800;25.4;22.6;78;;;;9;
83087;30/01/1992;0000;22;20.8;89;;;;10;
83087;30/01/1992;1200;23;20.8;81;;;;8;
83087;30/01/1992;1800;23.6;21.8;84;;;;10;
83087;31/01/1992;0000;20.2;19.6;94;;;;10;
83087;31/01/1992;1200;20;19.1;92;;;;8;
83087;31/01/1992;1800;22.6;20.6;83;;;;10;
83087;01/02/1992;0000;20.4;19;87;;;;10;
83087;01/02/1992;1200;21.2;19.2;82;;0;0;6;
83087;01/02/1992;1800;22.8;20.2;78;;0;0;10;
83087;02/02/1992;0000;19.7;18.2;85;;0;0;10;
83087;02/02/1992;1200;20.8;19.4;87;;;;10;
83087;02/02/1992;1800;22.6;20.4;81;;;;8;
83087;03/02/1992;0000;18.8;18.2;94;;;;10;
83087;03/02/1992;1200;18.2;17;88;;;;10;
83087;03/02/1992;1800;17.4;16.4;90;;;;10;
83087;04/02/1992;0000;17;16.2;92;;;;10;
83087;04/02/1992;1200;17.2;16.6;94;;;;10;
83087;04/02/1992;1800;18.2;17.6;94;;;;10;
83087;05/02/1992;0000;18;17.4;94;;;;10;
83087;05/02/1992;1200;22;20.2;84;;;;7;
83087;05/02/1992;1800;23.2;21.2;83;;;;10;
83087;06/02/1992;0000;19.6;18.6;91;;;;10;
83087;06/02/1992;1200;19.4;19;96;;;;10;
83087;06/02/1992;1800;20.6;19.4;89;;;;10;
83087;07/02/1992;0000;19;18;90;;;;10;
83087;07/02/1992;1200;19.8;18;83;;;;9;
83087;07/02/1992;1800;23.8;21.8;83;;;;9;
83087;08/02/1992;0000;19.4;18;86;;;;10;
83087;08/02/1992;1200;21;18.8;80;;;;7;
83087;08/02/1992;1800;24.4;20.2;68;;;;6;
83087;09/02/1992;0000;19.6;18;85;;;;6;
83087;09/02/1992;1200;20.4;19;87;;;;10;
83087;09/02/1992;1800;22;20.4;86;;;;10;
83087;10/02/1992;0000;19;17.8;88;;;;10;
83087;10/02/1992;1200;22.2;19.8;79;;;;4;
83087;10/02/1992;1800;25.2;20.4;64;;;;2;
83087;11/02/1992;0000;19;17.8;88;;;;6;
83087;11/02/1992;1200;22.8;21;85;;;;7;
83087;11/02/1992;1800;20.2;19.8;96;;;;8;
83087;12/02/1992;0000;19;18.3;93;;;;10;
83087;12/02/1992;1200;19.8;18.6;89;;;;10;
83087;12/02/1992;1800;25;20.8;68;;;;4;
83087;13/02/1992;0000;19.4;17.6;83;;;;0;
83087;13/02/1992;1200;23.4;21;81;;;;3;
83087;13/02/1992;1800;23.4;19.8;71;;;;10;
83087;14/02/1992;0000;18.1;17.6;95;;;;0;
83087;14/02/1992;1200;21;19.6;87;;;;0;
83087;14/02/1992;1800;26;21.4;65;;;;2;
83087;15/02/1992;0000;19;17.4;85;;;;0;
83087;15/02/1992;1200;20.6;19.4;89;;;;10;
83087;15/02/1992;1800;27;21.4;59;;;;2;
83087;16/02/1992;0000;20;18;82;;;;0;
83087;16/02/1992;1200;20.2;19.1;90;;;;10;
83087;16/02/1992;1800;27.4;22.6;66;;;;3;
83087;17/02/1992;0000;19.4;17.8;85;;;;0;
83087;17/02/1992;1200;22;20.2;85;;;;7;
83087;17/02/1992;1800;28;22.6;62;;;;2;
83087;18/02/1992;0000;20.6;19;87;;;;0;
83087;18/02/1992;1200;23;21;84;;;;5;
83087;18/02/1992;1800;28.8;23.8;65;;;;3;
83087;19/02/1992;0000;20.8;19.2;87;;;;0;
83087;19/02/1992;1200;23.4;20.3;75;;;;6;
83087;19/02/1992;1800;27.8;23.6;70;;;;8;
83087;20/02/1992;0000;20.4;19.2;89;;;;0;
83087;20/02/1992;1200;22.6;18.8;69;;;;0;
83087;20/02/1992;1800;27.4;22.8;67;;;;5;
83087;21/02/1992;0000;19;17.8;88;;;;0;
83087;21/02/1992;1200;22.2;20.1;83;;;;8;
83087;21/02/1992;1800;29.8;24.4;63;;;;2;
83087;22/02/1992;0000;20.4;18.6;85;;;;0;
83087;22/02/1992;1200;23.8;20.8;76;;;;0;
83087;22/02/1992;1800;30;23.6;58;;;;0;
83087;23/02/1992;0000;20.8;18.8;83;;;;0;
83087;23/02/1992;1200;23.6;20.2;73;;;;0;
83087;23/02/1992;1800;29.6;23.4;58;;;;3;
83087;24/02/1992;0000;20.2;18;80;;;;0;
83087;24/02/1992;1200;24.8;21.4;73;;;;6;
83087;24/02/1992;1800;28.2;23;64;;;;0;
83087;25/02/1992;0000;20.1;18.8;86;;;;0;
83087;25/02/1992;1200;24.2;21.6;80;;;;5;
83087;25/02/1992;1800;29.6;24.2;63;;;;5;
83087;26/02/1992;0000;18.2;17.8;96;;;;10;
83087;26/02/1992;1200;20.4;18.8;85;;;;10;
83087;26/02/1992;1800;26.2;23.4;79;;;;8;
83087;27/02/1992;0000;20.2;19.6;94;;;;10;
83087;27/02/1992;1200;23.8;21.8;84;;;;2;
83087;27/02/1992;1800;29;25.2;73;;;;5;
83087;28/02/1992;0000;21.2;20.2;91;;;;10;
83087;28/02/1992;1200;22.2;21;89;;;;10;
83087;28/02/1992;1800;25;22.6;82;;;;10;
83087;29/02/1992;0000;19.2;18.8;96;;;;10;
83087;29/02/1992;1200;20.8;19.2;87;;;;10;
83087;29/02/1992;1800;22.6;19.6;76;;;;3;
83087;01/03/1992;0000;16.6;14.8;83;;;;10;
83087;01/03/1992;1200;21;18.8;81;;0;0;5;
83087;01/03/1992;1800;23;19.8;74;;0;0;5;
83087;02/03/1992;0000;18;17;90;;0;0;10;
83087;02/03/1992;1200;20.2;18.6;86;;;;10;
83087;02/03/1992;1800;21;19.8;89;;;;10;
83087;03/03/1992;0000;18.2;17.8;96;;;;10;
