<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83089</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MARICA - RJ (OMM: 83089)
Latitude  (graus) : -22.92
Longitude (graus) : -42.82
Altitude  (metros): 4.67
Esta��o Operante
Inicio de opera��o: 01/11/1986
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83089;31/12/1992;1200;32;25.5;57;;27;1;1;
83089;31/12/1992;1800;32.9;25.4;53;;14;1;2;
83089;01/01/1993;0000;25.3;24;89;;0;0;1;
83089;01/01/1993;1200;33;25.4;52;;36;1;3;
83089;01/01/1993;1800;32.1;25.6;58;;14;1;1;
83089;02/01/1993;0000;23.3;22;89;;0;0;0;
83089;02/01/1993;1200;28.1;24.9;76;;23;1;0;
83089;02/01/1993;1800;28.1;24.7;75;;23;1;1;
83089;03/01/1993;0000;24.7;23.5;90;;0;0;9;
83089;03/01/1993;1200;29.1;25.2;72;;23;1;4;
83089;03/01/1993;1800;28;25.9;84;;23;1;8;
83089;04/01/1993;0000;26.3;24.8;88;;23;1;10;
83089;04/01/1993;1200;25.9;23.8;83;;23;1;4;
83089;04/01/1993;1800;28.3;24;68;;14;1;3;
83089;05/01/1993;0000;23.9;22.1;85;;0;0;1;
83089;05/01/1993;1200;26.9;24.1;78;;23;1;2;
83089;05/01/1993;1800;30.7;25.9;67;;14;1;2;
83089;06/01/1993;0000;25.7;24.2;88;;0;0;2;
83089;06/01/1993;1200;30.7;25.2;62;;36;1;5;
83089;06/01/1993;1800;28.9;25;72;;18;1;2;
83089;07/01/1993;0000;24.7;23.2;87;;0;0;2;
83089;07/01/1993;1200;29.1;25.2;72;;18;1;1;
83089;07/01/1993;1800;28.7;25.7;78;;18;1;6;
83089;08/01/1993;0000;23.2;21.5;85;;0;0;0;
83089;08/01/1993;1200;32.6;25.2;53;;36;1;2;
83089;08/01/1993;1800;33.7;26;52;;14;1;3;
83089;09/01/1993;0000;25.5;24;88;;0;0;7;
83089;09/01/1993;1200;30.1;23.8;57;;36;1;10;
83089;09/01/1993;1800;33.7;25.8;51;;14;1;3;
83089;10/01/1993;0000;22.8;20.8;83;;0;0;10;
83089;10/01/1993;1200;29.3;25.2;70;;0;0;8;
83089;10/01/1993;1800;27.3;23.4;71;;14;1;8;
83089;11/01/1993;0000;23.8;22.5;89;;0;0;10;
83089;11/01/1993;1200;28.2;24.3;71;;27;1;3;
83089;11/01/1993;1800;27;25.2;86;;23;1;9;
83089;12/01/1993;0000;22.7;22.3;96;;36;1;4;
83089;12/01/1993;1200;26.1;23.9;82;;5;1;10;
83089;12/01/1993;1800;28.8;25.2;74;;14;1;7;
83089;13/01/1993;0000;24.8;22.9;84;;0;0;5;
83089;13/01/1993;1200;27.5;24.6;78;;18;1;3;
83089;13/01/1993;1800;32.3;26.9;64;;14;1;3;
83089;14/01/1993;0000;26.9;23.5;74;;0;0;1;
83089;14/01/1993;1200;28.3;22.8;60;;18;1;3;
83089;14/01/1993;1800;30.9;26;66;;14;1;3;
83089;15/01/1993;0000;23.3;22.3;91;;0;0;0;
83089;15/01/1993;1200;27.3;24.1;76;;18;1;0;
83089;15/01/1993;1800;32.5;26.4;60;;14;3;2;
83089;16/01/1993;0000;26.5;24.2;82;;0;0;0;
83089;16/01/1993;1200;32.1;25;54;;36;1;1;
83089;16/01/1993;1800;32.9;27;62;;14;1;2;
83089;17/01/1993;0000;27.7;23.9;71;;5;1;1;
83089;17/01/1993;1200;30.9;25.8;65;;5;1;1;
83089;17/01/1993;1800;34.7;30.3;72;;14;1;2;
83089;18/01/1993;0000;26.5;23.6;77;;36;1;4;
83089;18/01/1993;1200;26.9;24.3;80;;23;1;10;
83089;18/01/1993;1800;22.9;22.7;98;;23;1;10;
83089;19/01/1993;0000;23.3;22.5;93;;0;0;10;
83089;19/01/1993;1200;24.7;22.1;79;;0;0;10;
83089;19/01/1993;1800;25.9;23.2;78;;18;1;9;
83089;20/01/1993;0000;23.1;22.1;91;;0;0;10;
83089;20/01/1993;1200;25.1;23;83;;0;0;9;
83089;20/01/1993;1800;24.6;23.3;89;;14;3;10;
83089;21/01/1993;0000;23.7;22.7;91;;0;0;10;
83089;21/01/1993;1200;25.1;23.8;89;;0;0;9;
83089;21/01/1993;1800;25.9;24.2;86;;18;1;9;
83089;22/01/1993;0000;23.3;22.7;95;;36;1;10;
83089;22/01/1993;1200;24.3;23;89;;36;1;10;
83089;22/01/1993;1800;26.7;25;86;;23;1;9;
83089;23/01/1993;0000;22.7;22.4;97;;0;0;10;
83089;23/01/1993;1200;26.3;24.1;82;;5;1;8;
83089;23/01/1993;1800;28;24.7;75;;14;3;7;
83089;24/01/1993;0000;24.9;24;92;;0;0;9;
83089;24/01/1993;1200;26.5;24.4;83;;5;1;9;
83089;24/01/1993;1800;32.5;26.8;63;;23;1;2;
83089;25/01/1993;0000;25.8;24.4;89;;0;0;10;
83089;25/01/1993;1200;31.5;25.8;62;;0;0;3;
83089;25/01/1993;1800;33.9;27.2;58;;14;1;2;
83089;26/01/1993;0000;27.7;25.4;82;;0;0;3;
83089;26/01/1993;1200;29.5;25.2;69;;18;1;1;
83089;26/01/1993;1800;28.9;26.1;79;;23;3;1;
83089;27/01/1993;0000;24.5;23.4;91;;0;0;1;
83089;27/01/1993;1200;29.8;26.6;77;;0;0;1;
83089;27/01/1993;1800;31.7;26.2;63;;18;1;2;
83089;28/01/1993;0000;26.7;25.2;88;;27;1;1;
