<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83097</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PROPRIA - SE (OMM: 83097)
Latitude  (graus) : -10.21
Longitude (graus) : -36.84
Altitude  (metros): 19.92
Esta��o Operante
Inicio de opera��o: 10/05/1925
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83097;28/10/1963;1200;29.3;23.4;58;;14;5;8;
83097;28/10/1963;1800;31.2;24.1;54;;14;7;4;
83097;29/10/1963;0000;24.2;22.4;85;;14;2;0;
83097;29/10/1963;1200;30.4;22.3;47;;14;5;4;
83097;29/10/1963;1800;31.8;24.9;55;;14;9;2;
83097;30/10/1963;0000;25.2;22.9;81;;14;7;1;
83097;30/10/1963;1200;29.8;23.4;56;;14;3;8;
83097;30/10/1963;1800;33;24.2;46;;14;5;3;
83097;31/10/1963;0000;25.2;23.2;84;;14;1;2;
83097;31/10/1963;1200;29.3;23;56;;9;5;8;
83097;31/10/1963;1800;31;23;48;;14;7;7;
83097;01/11/1963;0000;24.8;22.6;82;;14;1;3;
83097;01/11/1963;1200;28.8;23.2;60;;14;5;8;
83097;01/11/1963;1800;31;24;54;;14;9;5;
83097;02/11/1963;0000;24.8;23;85;;9;3;4;
83097;02/11/1963;1200;29.9;23.3;55;;9;1;7;
83097;02/11/1963;1800;31;26.8;71;;5;7;7;
83097;03/11/1963;0000;24.8;22.8;83;;9;3;0;
83097;03/11/1963;1200;29.4;22.4;52;;9;9;6;
83097;03/11/1963;1800;30.4;23;51;;36;12;4;
83097;04/11/1963;0000;24.8;22.4;80;;9;3;0;
83097;04/11/1963;1200;29.8;23.3;56;;14;9;7;
83097;04/11/1963;1800;30.6;23;50;;5;7;6;
83097;05/11/1963;0000;24.4;22.4;83;;9;1;4;
83097;05/11/1963;1200;29.3;23.4;58;;14;3;5;
83097;05/11/1963;1800;30.2;23.6;56;;5;9;4;
83097;06/11/1963;0000;24.4;22.6;85;;9;3;0;
83097;06/11/1963;1200;31;23.7;52;;14;5;6;
83097;06/11/1963;1800;31.8;24;50;;5;12;4;
83097;07/11/1963;0000;24.6;22.5;83;;36;3;0;
83097;07/11/1963;1200;29.4;23.3;58;;9;5;8;
83097;07/11/1963;1800;31.2;23.6;51;;5;9;3;
83097;08/11/1963;0000;24.2;22.6;87;;5;5;0;
83097;08/11/1963;1200;29.2;28.5;95;;14;5;7;
83097;08/11/1963;1800;31;23.2;49;;5;12;5;
83097;09/11/1963;0000;24.6;22.4;82;;5;3;0;
83097;09/11/1963;1200;30.8;23;49;;9;3;5;
83097;09/11/1963;1800;31.6;24;51;;36;9;3;
83097;10/11/1963;0000;25;22.6;81;;9;5;0;
83097;10/11/1963;1200;31.2;22.8;46;;32;1;0;
83097;10/11/1963;1800;34.4;25.4;46;;5;9;4;
83097;11/11/1963;0000;25.8;23.6;83;;5;3;0;
83097;11/11/1963;1200;30.5;30.3;98;;14;1;3;
83097;11/11/1963;1800;35.9;26.2;44;;5;12;5;
83097;12/11/1963;0000;27.2;24.2;78;;0;0;9;
83097;12/11/1963;1200;33;24;45;;0;0;8;
83097;12/11/1963;1800;33.8;25.2;48;;5;7;8;
83097;13/11/1963;0000;23.6;23.2;97;;9;1;9;
83097;13/11/1963;1200;24.2;23.2;92;;9;1;9;
83097;13/11/1963;1800;32.9;26;56;;14;1;8;
83097;14/11/1963;0000;25.4;24;89;;9;3;4;
83097;14/11/1963;1200;33;24.6;48;;5;3;3;
83097;14/11/1963;1800;32.8;25.6;55;;36;9;3;
83097;15/11/1963;0000;25.6;23;79;;36;5;0;
83097;15/11/1963;1200;28.8;22.3;55;;5;7;7;
83097;15/11/1963;1800;31.8;24.4;52;;5;9;3;
83097;16/11/1963;0000;25;22.4;79;;36;5;0;
83097;16/11/1963;1200;33;22.6;38;;9;7;2;
83097;16/11/1963;1800;32.6;24.5;50;;36;9;3;
83097;17/11/1963;0000;24.6;22.2;81;;36;3;0;
83097;17/11/1963;1200;29;22.8;57;;5;5;2;
83097;17/11/1963;1800;32.6;24;47;;5;9;2;
83097;18/11/1963;0000;24;22.8;89;;36;3;0;
83097;18/11/1963;1200;29;22.8;57;;9;5;6;
83097;18/11/1963;1800;31.4;23.4;48;;5;7;3;
83097;19/11/1963;0000;24.9;21.6;74;;36;3;0;
83097;19/11/1963;1200;28.6;23.8;65;;5;1;8;
83097;19/11/1963;1800;31;23;48;;5;9;6;
83097;20/11/1963;0000;24.4;22.8;86;;36;1;0;
83097;20/11/1963;1200;29.3;23.6;60;;14;3;6;
83097;20/11/1963;1800;30;23.4;55;;14;12;7;
83097;21/11/1963;0000;24.9;23;85;;9;1;0;
83097;21/11/1963;1200;29.2;23;57;;9;9;6;
83097;21/11/1963;1800;30.1;22.8;51;;14;7;4;
83097;22/11/1963;0000;24;22.2;85;;36;1;0;
83097;22/11/1963;1200;27.4;22.6;65;;14;3;8;
83097;22/11/1963;1800;30.2;21.8;45;;14;7;4;
83097;23/11/1963;0000;24.2;22;82;;9;1;0;
83097;23/11/1963;1200;28.5;22.6;58;;14;1;8;
83097;23/11/1963;1800;30.2;23.2;53;;9;3;7;
83097;24/11/1963;0000;24.8;22.6;82;;14;1;4;
83097;24/11/1963;1200;28.2;23;63;;14;9;7;
83097;24/11/1963;1800;29.6;22.9;54;;14;9;7;
83097;25/11/1963;0000;23.6;21.4;81;;14;1;0;
83097;25/11/1963;1200;27.5;23.4;69;;9;7;7;
83097;25/11/1963;1800;30.4;22.6;49;;14;9;5;
83097;26/11/1963;0000;24.4;22.6;85;;0;0;4;
83097;26/11/1963;1200;27.9;23.4;67;;9;7;5;
83097;26/11/1963;1800;30.4;23.2;52;;14;7;4;
83097;27/11/1963;0000;24.4;22.6;85;;14;1;0;
83097;27/11/1963;1200;29.2;23.4;59;;14;1;6;
83097;27/11/1963;1800;30.2;23.1;53;;14;9;4;
83097;28/11/1963;0000;24.1;22.2;84;;14;1;0;
83097;28/11/1963;1200;28.7;23.7;64;;14;5;7;
83097;28/11/1963;1800;30.4;22.9;50;;14;9;4;
83097;29/11/1963;0000;24.8;22.8;83;;14;1;3;
83097;29/11/1963;1200;30;23.6;57;;14;1;5;
83097;29/11/1963;1800;30.9;23.1;49;;5;9;4;
83097;30/11/1963;0000;24.9;22.4;80;;14;3;0;
83097;30/11/1963;1200;26.2;23.2;77;;14;5;8;
83097;30/11/1963;1800;30.1;22.8;51;;14;9;6;
83097;01/12/1963;0000;24.2;22.3;84;;5;1;0;
83097;01/12/1963;1200;29.4;23.2;57;;14;7;7;
83097;01/12/1963;1800;31.6;22.4;43;;14;5;4;
83097;02/12/1963;0000;24.1;21.6;79;;0;0;2;
83097;02/12/1963;1200;29.4;23.8;61;;14;3;7;
83097;02/12/1963;1800;29.8;22.4;50;;14;7;5;
83097;03/12/1963;0000;23;20.6;80;;0;0;2;
83097;03/12/1963;1200;29.2;23;57;;14;7;7;
83097;03/12/1963;1800;30.6;22;45;;14;9;4;
83097;04/12/1963;0000;23.9;21.4;79;;0;0;2;
83097;04/12/1963;1200;29.4;23.2;57;;14;3;6;
83097;04/12/1963;1800;30.2;23.1;53;;14;7;8;
83097;05/12/1963;0000;24.6;22.1;80;;0;0;0;
83097;05/12/1963;1200;27.1;23.4;71;;14;1;9;
83097;05/12/1963;1800;30.8;23.4;51;;14;12;4;
83097;06/12/1963;0000;24;22.2;85;;14;1;0;
83097;06/12/1963;1200;29.8;23.9;59;;14;5;8;
83097;06/12/1963;1800;30.9;23.4;50;;5;7;3;
83097;07/12/1963;0000;25;22.9;83;;14;1;2;
83097;07/12/1963;1200;30.2;23.2;53;;14;9;7;
83097;07/12/1963;1800;30.1;22.5;49;;14;9;5;
83097;08/12/1963;0000;24.2;21.2;76;;5;1;0;
83097;08/12/1963;1200;28.4;23.1;63;;14;5;7;
83097;08/12/1963;1800;30.2;22.6;50;;5;7;5;
83097;09/12/1963;0000;23.6;20.2;72;;0;0;0;
83097;09/12/1963;1200;26.5;22;66;;0;0;2;
83097;09/12/1963;1800;32.6;22.4;39;;14;7;4;
83097;10/12/1963;0000;25;22.1;77;;14;1;0;
83097;10/12/1963;1200;28.1;23.8;68;;14;1;6;
83097;10/12/1963;1800;31.5;23.3;47;;14;9;7;
83097;11/12/1963;0000;24.5;21.5;75;;14;1;0;
83097;11/12/1963;1200;27.2;23.5;72;;14;1;7;
83097;11/12/1963;1800;33.1;23.4;42;;5;7;5;
83097;12/12/1963;0000;25.4;23.1;82;;14;5;0;
83097;12/12/1963;1200;27.4;22.3;63;;14;1;0;
83097;12/12/1963;1800;35.2;24.3;38;;14;9;6;
83097;13/12/1963;0000;26.3;23.3;76;;14;9;0;
83097;13/12/1963;1200;28.6;23.2;61;;14;1;2;
83097;13/12/1963;1800;37.1;24.3;32;;14;5;6;
83097;14/12/1963;0000;26.4;23.2;75;;14;7;0;
83097;14/12/1963;1200;28.5;22.2;55;;5;7;7;
83097;14/12/1963;1800;35;24.1;38;;14;5;8;
83097;15/12/1963;0000;26.3;23.2;76;;14;5;4;
83097;15/12/1963;1200;26.7;23.4;74;;0;0;8;
83097;15/12/1963;1800;31.2;23.4;49;;14;3;9;
83097;16/12/1963;0000;25.1;23.1;84;;14;3;0;
83097;16/12/1963;1200;27.9;23.4;67;;5;5;5;
83097;16/12/1963;1800;35.1;24.4;39;;0;0;9;
83097;17/12/1963;0000;26.1;23.3;77;;14;5;0;
83097;17/12/1963;1200;28;23.5;67;;14;1;8;
83097;17/12/1963;1800;26;23.3;78;;5;9;9;
83097;18/12/1963;0000;23.2;22.4;93;;14;3;2;
83097;18/12/1963;1200;25.8;23.4;81;;14;1;8;
83097;18/12/1963;1800;27.4;25.1;82;;5;9;7;
83097;19/12/1963;0000;25;23.4;87;;14;1;3;
83097;19/12/1963;1200;26.4;24.4;84;;14;1;8;
83097;19/12/1963;1800;32.6;25.4;54;;14;1;8;
83097;20/12/1963;0000;26.2;22.3;70;;14;1;2;
83097;20/12/1963;1200;27.1;24;76;;14;1;8;
83097;20/12/1963;1800;34.1;25.2;47;;14;3;8;
83097;21/12/1963;0000;27;24.3;79;;14;1;3;
83097;21/12/1963;1200;28.4;24.4;71;;14;1;6;
83097;21/12/1963;1800;33.4;25.2;49;;5;5;9;
83097;22/12/1963;0000;27.1;24.2;78;;14;7;2;
83097;22/12/1963;1200;25.7;24.2;88;;18;1;10;
83097;22/12/1963;1800;30.2;24.4;60;;18;1;8;
83097;23/12/1963;0000;24.5;23.1;88;;14;1;10;
