<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83103</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CAMPOS DOS GOITACAZES - RJ (OMM: 83103)
Latitude  (graus) : -21.7
Longitude (graus) : -41.3
Altitude  (metros): 17.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83103;01/01/2015;0000;27;;76;1010.1;6;9.25992;0;
83103;01/01/2015;1200;33.5;;47;1010.6;34;5.1444;0;
83103;01/01/2015;1800;33.9;;48;1007.3;7;8.23104;0;
83103;02/01/2015;0000;27.3;;73;1010.2;6;5.1444;0;
83103;02/01/2015;1200;34.6;;49;1009.1;36;2.5722;1.25;
83103;02/01/2015;1800;34.8;;48;1007.8;9;7.20216;1.25;
83103;03/01/2015;0000;27;;78;1009.7;8;4.11552;0;
83103;03/01/2015;1200;32.8;;57;1011.8;20;3.60108;3.75;
83103;03/01/2015;1800;34;;53;1010.5;16;5.1444;0;
83103;04/01/2015;0000;27;;84;1013.5;18;4.11552;0;
83103;04/01/2015;1200;31.1;;60;1014.2;13;4.11552;8.75;
83103;04/01/2015;1800;33.4;;51;1010.5;8;6.17328;3.75;
83103;05/01/2015;0000;26.4;;80;1013.7;8;2.05776;0;
83103;05/01/2015;1200;30.5;;60;1014.1;6;2.5722;3.75;
83103;05/01/2015;1800;32.2;;50;1012.7;9;6.17328;2.5;
83103;06/01/2015;0000;27;;82;1016.4;11;4.11552;8.75;
83103;06/01/2015;1200;29.1;;67;1016.6;7;6.17328;8.75;
83103;06/01/2015;1800;31.8;;51;1015;11;6.68772;5;
83103;07/01/2015;0000;27;;82;1016.5;6;6.17328;0;
83103;07/01/2015;1200;30;;50;1015.4;1;6.68772;7.5;
83103;07/01/2015;1800;32;;48;1013.5;6;10.2888;0;
83103;08/01/2015;0000;27;;75;1014.5;4;9.25992;0;
83103;08/01/2015;1200;31;;46;1015.9;4;6.17328;0;
83103;08/01/2015;1800;32;;48;1012.6;7;10.2888;0;
