<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83114</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : IGUABA GRANDE - RJ (OMM: 83114)
Latitude  (graus) : -22.83
Longitude (graus) : -42.18
Altitude  (metros): 5.57
Esta��o Operante
Inicio de opera��o: 01/01/1970
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83114;01/02/1992;1200;26.6;23.9;79;;5;7.5;10;
83114;01/02/1992;1800;28.9;24.2;67;;5;7;9;
83114;02/02/1992;0000;24.3;23;89;;5;7.5;3;
83114;02/02/1992;1200;26.7;24.2;81;;5;6.6;5;
83114;02/02/1992;1800;29.3;23.9;61;;5;8.5;0;
83114;03/02/1992;0000;23.7;22.1;86;;5;4.5;0;
83114;03/02/1992;1200;27.8;23.4;67;;5;5.5;8;
83114;03/02/1992;1800;26.8;21.3;59;;5;7.8;10;
83114;04/02/1992;0000;23.1;21.1;83;;9;6.6;10;
83114;04/02/1992;1200;22.8;21.1;86;;5;5.5;10;
83114;04/02/1992;1800;24.5;22.1;80;;5;6.3;10;
83114;05/02/1992;0000;22.4;20.8;86;;5;5;2;
83114;05/02/1992;1200;26.1;22.5;72;;5;6;5;
83114;05/02/1992;1800;28.6;24;66;;9;7.5;2;
83114;06/02/1992;0000;24;21.9;82;;5;7.8;2;
83114;06/02/1992;1200;27.4;22.7;66;;5;6;6;
83114;06/02/1992;1800;30.1;23.5;55;;5;7.5;0;
83114;07/02/1992;0000;24;22.1;84;;5;8;4;
83114;07/02/1992;1200;28.1;22.4;58;;5;6;0;
83114;07/02/1992;1800;29.7;23.3;56;;5;8;5;
83114;08/02/1992;0000;24;21.6;80;;5;4.8;0;
83114;08/02/1992;1200;27.8;23.7;69;;5;7;1;
83114;08/02/1992;1800;29.2;22.8;56;;9;6.6;6;
83114;09/02/1992;0000;24.3;22.1;82;;5;4.3;0;
83114;09/02/1992;1200;27.2;22.7;67;;5;5.5;1;
83114;09/02/1992;1800;29.6;22.7;53;;9;7.8;2;
