<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83115</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SANTA CRUZ - RJ (OMM: 83115)
Latitude  (graus) : -22.93
Longitude (graus) : -43.71
Altitude  (metros): 3.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83115;01/01/2015;0000;24.2;;84;;0;0;5;
83115;01/01/2015;0600;24.2;;84;;1;1.02888;5;
83115;01/01/2015;1200;33.2;;47;;2;6.17328;0;
83115;01/01/2015;1800;35.3;;37;;20;4.62996;0;
83115;02/01/2015;0000;24.8;;81;;21;1.02888;3.75;
83115;02/01/2015;0600;24.9;;94;;4;2.5722;0;
83115;02/01/2015;1200;33.4;;45;;36;6.17328;0;
83115;02/01/2015;1800;36;;40;;21;3.08664;5;
83115;03/01/2015;0000;28.4;;71;;1;1.02888;1.25;
83115;03/01/2015;0600;25.1;;88;;4;1.54332;3.75;
83115;03/01/2015;1200;27.5;;74;;19;4.11552;7.5;
83115;04/01/2015;1800;28.2;;72;;16;2.5722;7.5;
83115;05/01/2015;0000;23.9;;89;;25;5.1444;8.75;
83115;05/01/2015;0600;23.4;;88;;3;1.54332;8.75;
83115;05/01/2015;1200;27;;75;;5;2.05776;8.75;
83115;05/01/2015;1800;28.7;;75;;18;6.17328;6.25;
83115;06/01/2015;0000;23.4;;96;;3;2.05776;8.75;
83115;06/01/2015;0600;23.2;;94;;0;0;8.75;
83115;06/01/2015;1200;25;;85;;6;3.08664;8.75;
83115;06/01/2015;1800;30.8;;60;;17;5.1444;1.25;
83115;07/01/2015;0000;26.2;;82;;25;2.05776;3.75;
83115;07/01/2015;0600;24.4;;89;;5;1.54332;0;
83115;07/01/2015;1200;29.5;;53;;1;7.20216;0;
83115;07/01/2015;1800;35.8;;33;;3;3.60108;0;
83115;08/01/2015;0000;27.2;;83;;23;1.02888;0;
83115;08/01/2015;1200;31.4;;49;;1;4.11552;0;
83115;08/01/2015;1800;36.5;;32;;4;4.11552;1.25;
83115;09/01/2015;1200;32;;38;;1;7.7166;0;
83115;09/01/2015;1800;36.8;;;;5;3.08664;0;
83115;10/01/2015;0000;27;;70;;27;1.54332;0;
83115;10/01/2015;0600;26.4;;51;;1;3.08664;0;
83115;10/01/2015;1200;33;;32;;36;8.23104;0;
83115;10/01/2015;1800;32;;46;;20;5.1444;2.5;
83115;11/01/2015;1200;31.6;;53;;34;1.02888;0;
83115;11/01/2015;1800;31.1;;62;;19;6.68772;0;
83115;12/01/2015;0000;26.9;;83;;23;2.5722;0;
83115;12/01/2015;0600;24.6;;87;;24;0.51444;0;
83115;12/01/2015;1200;32.7;;42;;1;6.68772;0;
83115;12/01/2015;1800;33.9;;52;;22;5.1444;0;
83115;13/01/2015;0000;27.4;;72;;22;2.05776;0;
83115;13/01/2015;1200;31.7;;64;;20;3.08664;0;
83115;13/01/2015;1800;31.7;;66;;21;7.20216;1.25;
83115;14/01/2015;0000;27;;75;;23;2.5722;0;
83115;14/01/2015;0600;25.3;;79;;3;2.5722;0;
83115;14/01/2015;1200;30;;68;;22;4.62996;3.75;
83115;14/01/2015;1800;30.8;;60;;20;4.62996;3.75;
83115;15/01/2015;0000;27;;79;;0;0;0;
83115;15/01/2015;0600;25.1;;83;;35;2.5722;0;
83115;15/01/2015;1200;31.5;;57;;24;2.5722;0;
83115;15/01/2015;1800;32.2;;67;;20;5.1444;1.25;
83115;16/01/2015;0000;28.4;;78;;21;4.11552;1.25;
83115;16/01/2015;0600;25.2;;84;;20;2.5722;1.25;
83115;16/01/2015;1200;30.2;;71;;20;2.05776;5;
83115;16/01/2015;1800;30;;64;;18;5.65884;7.5;
83115;17/01/2015;0000;26.4;;67;;20;2.05776;0;
83115;17/01/2015;0600;24.4;;84;;1;1.54332;0;
83115;17/01/2015;1200;31.2;;46;;2;5.1444;0;
83115;17/01/2015;1800;32.4;;52;;17;6.17328;0;
