<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83117</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ILHA RASA - RJ (OMM: 83117)
Latitude  (graus) : -23.06
Longitude (graus) : -43.15
Altitude  (metros): 75.00
Esta��o Operante
Inicio de opera��o: 01/12/1956
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83117;01/01/2015;0000;26;24;85;;23;1.54332;8.75;
83117;01/01/2015;1200;32;27;68;;26;0.51444;5;
83117;01/01/2015;1800;33;28;68;;28;0.51444;2.5;
83117;02/01/2015;0000;27;25;85;;36;1.02888;3.75;
83117;02/01/2015;1200;32;27;68;;32;0.51444;6.25;
83117;02/01/2015;1800;33;28;68;;27;0.51444;5;
83117;03/01/2015;1200;30;26;73;;9;0.51444;6.25;
83117;03/01/2015;1800;34;28;64;;31;0.51444;7.5;
83117;04/01/2015;0000;26;25;92;;32;0.51444;7.5;
83117;04/01/2015;1200;29;26;79;;27;0.51444;7.5;
83117;04/01/2015;1800;32;27;74;;35;0.51444;5;
83117;05/01/2015;0000;26;24;85;;20;0.51444;7.5;
83117;05/01/2015;1800;31;27;73;;32;0.51444;7.5;
83117;06/01/2015;0000;23;;44;;24;1.02888;7.5;
83117;06/01/2015;1200;26;24;85;;23;0.51444;10;
83117;06/01/2015;1800;35;27;54;;27;1.02888;2.5;
83117;07/01/2015;0000;25;24;92;;27;1.54332;5;
83117;07/01/2015;1200;30;25;67;;21;0.51444;1.25;
83117;07/01/2015;1800;34;28;64;;27;0.51444;3.75;
83117;08/01/2015;1200;28;25;79;;23;0.51444;1.25;
83117;08/01/2015;1800;34;28;64;;27;1.02888;1.25;
83117;09/01/2015;0000;25;22;77;;30;0.51444;1.25;
83117;09/01/2015;1200;31;26;67;;26;1.02888;2.5;
83117;09/01/2015;1800;34;26;52;;27;1.02888;1.25;
83117;10/01/2015;0000;25;23;84;;27;0.51444;2.5;
83117;10/01/2015;1200;30;25;67;;26;0.51444;1.25;
