<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83179</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : BARRA - BA (OMM: 83179)
Latitude  (graus) : -11.08
Longitude (graus) : -43.16
Altitude  (metros): 401.58
Esta��o Operante
Inicio de opera��o: 03/03/1925
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83179;01/01/1977;1200;26.9;19.4;52;;5;4.6;8;
83179;01/01/1977;1800;32.4;21.3;37;;14;4.8;9;
83179;02/01/1977;0000;28;19.8;48;;5;3.1;0;
83179;02/01/1977;1200;28.8;21.6;54;;5;3;4;
83179;02/01/1977;1800;34.1;22.2;36;;18;1.3;8;
83179;03/01/1977;0000;23.5;21.8;86;;36;2.1;9;
83179;03/01/1977;1200;27.2;21.7;63;;14;1.1;9;
83179;03/01/1977;1800;32.9;23;44;;36;2;8;
83179;04/01/1977;0000;22.9;21.8;91;;5;2.1;0;
83179;04/01/1977;1200;27;22.4;68;;5;2.1;7;
83179;04/01/1977;1800;30.2;23.4;57;;14;2;10;
83179;05/01/1977;0000;23.9;22.4;88;;36;1.3;0;
83179;05/01/1977;1200;28.2;22.4;62;;5;3;7;
83179;05/01/1977;1800;27.7;23.2;69;;23;2.6;9;
83179;06/01/1977;0000;25.6;18.7;54;;9;4;9;
83179;06/01/1977;1200;26.1;22.8;76;;5;1.8;5;
83179;06/01/1977;1800;34.1;23.6;42;;5;2;8;
83179;07/01/1977;0000;23;22;92;;36;1.1;0;
83179;07/01/1977;1200;28;22;60;;9;1.1;8;
83179;07/01/1977;1800;32.9;22.9;43;;5;3.1;7;
83179;08/01/1977;0000;26.2;21.3;66;;9;4.6;0;
83179;08/01/1977;1200;27.8;19.8;49;;5;4;4;
83179;08/01/1977;1800;34.6;21.7;32;;9;2.8;3;
83179;09/01/1977;0000;26;19.2;54;;9;1.6;0;
83179;09/01/1977;1200;28.5;20;47;;9;6.6;2;
83179;09/01/1977;1800;34;21.8;35;;5;4.5;6;
83179;10/01/1977;0000;26.8;20;55;;14;3.3;0;
83179;10/01/1977;1200;28.1;19.9;48;;5;1.6;2;
83179;10/01/1977;1800;34.4;22.4;36;;14;2.6;6;
83179;11/01/1977;0000;25;20.6;68;;18;2.5;0;
83179;11/01/1977;1200;28.2;20.9;53;;14;3.6;8;
83179;11/01/1977;1800;32.9;21.6;37;;5;2.8;8;
83179;12/01/1977;0000;26.6;20.6;59;;14;3.3;0;
83179;12/01/1977;1200;28.2;20.6;51;;5;3.6;4;
83179;12/01/1977;1800;34.4;21.8;33;;18;1.6;8;
83179;13/01/1977;0000;27.9;20.5;52;;9;3.5;0;
83179;13/01/1977;1200;28.3;20.4;49;;9;5.6;7;
83179;13/01/1977;1800;35.2;20;24;;9;6;7;
83179;14/01/1977;0000;27.4;19.4;48;;14;2.1;0;
83179;14/01/1977;1200;28;21.4;57;;9;5.8;4;
83179;14/01/1977;1800;30.4;21.6;46;;5;5.8;3;
83179;15/01/1977;0000;24.4;20.6;72;;18;3.8;0;
83179;15/01/1977;1200;27.2;20.5;55;;18;2.8;4;
83179;15/01/1977;1800;32.1;21.8;41;;18;4.6;4;
83179;16/01/1977;0000;23.4;21.6;85;;5;1.3;0;
83179;16/01/1977;1200;28.2;20.4;50;;5;4;2;
83179;16/01/1977;1800;34.8;20.8;29;;9;2.1;3;
83179;17/01/1977;0000;29.8;21.5;49;;9;6.6;0;
83179;17/01/1977;1200;30.4;22.6;52;;5;3.6;3;
83179;17/01/1977;1800;32.8;24;49;;23;4.3;9;
83179;18/01/1977;0000;26.4;23.2;76;;5;1.5;9;
83179;18/01/1977;1200;23;22.4;95;;5;3.3;10;
83179;18/01/1977;1800;26.2;22.5;74;;5;0.3;10;
83179;19/01/1977;0000;24.4;23;89;;32;1.5;9;
83179;19/01/1977;1200;25;22.3;79;;18;0.3;10;
83179;19/01/1977;1800;23.2;22.8;97;;36;3.3;10;
83179;20/01/1977;0000;21.6;20.5;91;;5;1.5;9;
83179;20/01/1977;1200;24;21.2;78;;36;2.6;10;
83179;20/01/1977;1800;26.6;23.6;78;;5;3.8;10;
83179;21/01/1977;0000;22.6;21.9;94;;5;1.3;9;
83179;21/01/1977;1200;25.2;22.3;78;;32;3;10;
83179;21/01/1977;1800;23.7;22.6;91;;18;3.1;10;
83179;22/01/1977;0000;21.4;21.2;98;;32;1.1;9;
83179;22/01/1977;1200;24.6;22.1;80;;32;1;9;
