<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83182</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : IRECE - BA (OMM: 83182)
Latitude  (graus) : -11.3
Longitude (graus) : -41.86
Altitude  (metros): 747.16
Esta��o Operante
Inicio de opera��o: 01/12/1970
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83182;01/01/1973;1200;24.4;20.5;70;931.3;9;5;10;
83182;01/01/1973;1800;28.5;21.2;52;928;14;5;6;
83182;02/01/1973;0000;23.8;18.5;61;929.4;14;5;0;
83182;02/01/1973;1200;24.2;18.9;61;933.2;14;8;5;
83182;02/01/1973;1800;30.4;19.8;37;929.7;9;7;4;
83182;03/01/1973;0000;24.2;19;61;931;14;3;0;
83182;03/01/1973;1200;25.2;20;62;932.6;14;5;5;
83182;03/01/1973;1800;30.8;19.8;36;928.9;9;7;4;
83182;04/01/1973;0000;24.5;19.4;62;929.8;14;7;0;
83182;04/01/1973;1200;25;19.7;62;930.5;14;5;4;
83182;04/01/1973;1800;29.7;20.3;43;926.8;0;0;5;
83182;05/01/1973;0000;24.1;19.5;66;928.3;14;5;0;
83182;05/01/1973;1200;25.4;20.5;64;929.1;14;5;4;
83182;05/01/1973;1800;31.2;20.4;37;926.6;14;5;6;
83182;06/01/1973;0000;24.2;19.1;62;928.1;9;3;0;
83182;06/01/1973;1200;26.3;21.1;63;930.5;14;1;6;
83182;06/01/1973;1800;32;19.6;31;927.4;0;0;4;
83182;07/01/1973;0000;25.9;19.4;55;929.1;9;3;0;
83182;07/01/1973;1200;25.1;20.6;67;931.5;9;1;3;
83182;07/01/1973;1800;32.4;19.5;29;928.3;0;0;5;
83182;08/01/1973;0000;26;19.1;54;929.9;14;3;0;
83182;08/01/1973;1200;26.3;21.5;66;931.7;14;3;4;
83182;08/01/1973;1800;31.7;21.3;40;928.1;18;5;3;
83182;09/01/1973;0000;25.4;20.3;63;929.6;0;0;0;
83182;09/01/1973;1200;26.3;20.9;62;931.3;9;5;5;
83182;09/01/1973;1800;32;20.5;35;927.1;9;3;5;
83182;10/01/1973;0000;24.6;18.4;56;929.3;14;3;0;
83182;10/01/1973;1200;25.1;20.1;64;931.5;14;5;8;
83182;10/01/1973;1800;30.3;19.3;35;927.2;14;7;4;
83182;11/01/1973;0000;25;18;51;929.1;14;5;0;
83182;11/01/1973;1200;25.4;20;61;931.7;14;7;8;
83182;11/01/1973;1800;30.1;18.7;33;928.3;14;1;6;
83182;12/01/1973;0000;24.6;19.5;63;930;14;5;0;
83182;12/01/1973;1200;24.8;20.4;68;932.3;0;0;9;
83182;12/01/1973;1800;30.5;20.3;39;928.3;23;1;6;
83182;13/01/1973;0000;25.4;19.6;58;930.2;9;1;2;
83182;13/01/1973;1200;24.7;20.2;67;932.3;23;1;7;
