<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83184</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MORRO DO CHAPEU - BA (OMM: 83184)
Latitude  (graus) : -11.21
Longitude (graus) : -41.21
Altitude  (metros): 1003.27
Esta��o Operante
Inicio de opera��o: 13/01/1913
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83184;01/02/1961;1200;18.9;17;83;895.8;9;6;10;
83184;01/02/1961;1800;25.5;18.8;52;892.6;14;4;5;
83184;02/02/1961;0000;19.1;17.8;87;893.2;0;0;0;
83184;02/02/1961;1200;19.7;15.8;66;896;9;4;4;
83184;02/02/1961;1800;26.7;21;59;893.2;14;4;1;
83184;03/02/1961;0000;18.3;15.2;72;893;0;0;1;
83184;03/02/1961;1200;20.1;16.8;71;896.2;14;6;7;
83184;03/02/1961;1800;26.1;18.8;49;893;14;4;5;
83184;04/02/1961;0000;19.7;17;76;894.4;0;0;1;
83184;04/02/1961;1200;19.7;16.8;74;896.6;18;4;8;
83184;04/02/1961;1800;27.7;19.2;43;893.1;23;2;5;
83184;05/02/1961;0000;20.1;18.4;85;895;0;0;2;
83184;05/02/1961;1200;20.1;18.6;87;895.6;18;3;10;
83184;05/02/1961;1800;27.7;20.4;50;892.7;18;4;6;
83184;06/02/1961;0000;21.9;19.6;81;894.3;9;2;1;
83184;06/02/1961;1200;20.3;18.2;82;896.6;9;4;10;
83184;06/02/1961;1800;26.7;20;53;893.6;9;6;7;
83184;07/02/1961;0000;20.5;19.6;91;894;14;2;5;
83184;07/02/1961;1200;20.1;19;90;897.4;9;2;9;
83184;07/02/1961;1800;23.3;20.4;77;894;9;4;8;
83184;08/02/1961;0000;19.9;18.4;87;895.6;14;2;1;
83184;08/02/1961;1200;19.1;17.6;86;897.4;18;4;10;
83184;08/02/1961;1800;26.7;18.8;46;893.9;14;4;4;
83184;09/02/1961;0000;17.3;15.6;84;894.3;0;0;0;
83184;09/02/1961;1200;17.5;16.6;91;896.8;9;4;10;
