<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83192</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CIPO - BA (OMM: 83192)
Latitude  (graus) : -11.08
Longitude (graus) : -38.51
Altitude  (metros): 145.31
Esta��o Operante
Inicio de opera��o: 01/01/1935
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83192;01/01/1961;1200;28.2;23.2;64;;14;4;6;
83192;01/01/1961;1800;32.4;25;53;;14;2;5;
83192;02/01/1961;0000;23.6;22.2;88;;14;2;4;
83192;02/01/1961;1200;27.8;22.8;63;;18;4;4;
83192;02/01/1961;1800;32.4;24.4;49;;9;4;5;
83192;03/01/1961;0000;23;22;91;;9;4;3;
83192;03/01/1961;1200;29;23;58;;14;2;6;
83192;03/01/1961;1800;32.6;24.6;50;;14;2;4;
83192;04/01/1961;0000;26.4;22.8;72;;9;4;2;
83192;04/01/1961;1200;28.6;22.6;58;;14;3;7;
83192;04/01/1961;1800;32.6;23.6;45;;9;4;4;
83192;05/01/1961;0000;22.8;21.6;90;;14;2;6;
83192;05/01/1961;1200;30.2;24;58;;14;4;8;
83192;05/01/1961;1800;34;25;46;;9;4;4;
83192;06/01/1961;0000;25;22;76;;9;4;3;
83192;06/01/1961;1200;28;22;57;;14;3;4;
83192;06/01/1961;1800;33.6;23;38;;14;3;6;
83192;07/01/1961;0000;23.6;21;78;;14;2;5;
83192;07/01/1961;1200;29.8;23.8;59;;18;4;6;
83192;07/01/1961;1800;33;24;45;;14;2;5;
83192;08/01/1961;0000;25.8;22.6;75;;9;4;3;
83192;08/01/1961;1200;28.4;22;55;;9;2;4;
83192;08/01/1961;1800;33.4;23.4;40;;9;4;5;
83192;09/01/1961;0000;23.6;21.2;80;;14;4;6;
83192;09/01/1961;1200;29;23;58;;18;4;4;
83192;09/01/1961;1800;33.8;24.8;46;;18;4;5;
83192;10/01/1961;0000;24.6;21.8;77;;14;4;4;
83192;10/01/1961;1200;28;21.6;55;;9;2;5;
83192;10/01/1961;1800;33;23;40;;9;4;6;
83192;11/01/1961;0000;22.6;20.4;81;;14;2;4;
83192;11/01/1961;1200;28.4;23.4;64;;18;4;5;
83192;11/01/1961;1800;32.4;24.4;49;;18;4;6;
83192;12/01/1961;0000;25;22.4;79;;14;4;4;
83192;12/01/1961;1200;28.4;21.6;53;;14;2;5;
83192;12/01/1961;1800;33.4;23.4;40;;14;3;7;
83192;13/01/1961;0000;23.6;20.4;73;;14;2;3;
83192;13/01/1961;1200;28.6;22.2;55;;9;3;4;
83192;13/01/1961;1800;33.8;23.6;40;;14;4;6;
83192;14/01/1961;0000;24;21;75;;18;4;4;
83192;14/01/1961;1200;28;23;64;;14;2;6;
83192;14/01/1961;1800;32.8;24.8;50;;14;2;5;
83192;15/01/1961;0000;23.2;22.2;91;;14;2;4;
83192;15/01/1961;1200;27.4;22;61;;14;2;6;
