<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83195</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ITABAIANINHA - SE (OMM: 83195)
Latitude  (graus) : -11.11
Longitude (graus) : -37.81
Altitude  (metros): 208.00
Esta��o Operante
Inicio de opera��o: 06/08/1923
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83195;01/06/1963;1200;23.7;21.5;81;994.3;18;1;4;
83195;01/06/1963;1800;26.6;21.2;59;989.9;14;1;5;
83195;02/06/1963;0000;21.2;20.6;94;992;0;0;8;
83195;02/06/1963;1200;24.1;21.5;78;992;18;1;4;
83195;02/06/1963;1800;25.6;20.7;62;990.3;14;2;7;
83195;03/06/1963;0000;20.4;19.6;92;992.3;0;0;0;
83195;03/06/1963;1200;22.2;21.2;91;995.9;18;1;10;
83195;03/06/1963;1800;21.9;21.1;93;993.2;14;3;10;
83195;04/06/1963;0000;19.7;19.4;97;995;0;0;10;
83195;04/06/1963;1200;22;20.8;89;995;18;1;8;
83195;04/06/1963;1800;24.2;21.2;76;993.2;14;1;8;
83195;05/06/1963;0000;20.9;19.9;91;994.7;0;0;3;
83195;05/06/1963;1200;23.2;21.7;87;994.5;14;2;8;
83195;05/06/1963;1800;21.9;21.2;94;993.1;14;1;10;
83195;06/06/1963;0000;20.5;20.2;97;994.7;18;1;10;
83195;06/06/1963;1200;23.5;21.5;83;993.5;0;0;8;
83195;06/06/1963;1800;26.3;21.9;66;991.6;14;2;4;
83195;07/06/1963;0000;21;19.9;90;993.4;14;2;0;
83195;07/06/1963;1200;24;21.9;82;994.6;14;1;5;
83195;07/06/1963;1800;25.5;21.7;70;992.3;14;3;8;
83195;08/06/1963;0000;21.2;20.4;92;994.6;0;0;7;
83195;08/06/1963;1200;23.5;21.9;86;995.6;14;2;6;
83195;08/06/1963;1800;24.1;22.1;83;994.2;9;2;8;
83195;09/06/1963;0000;21.3;20.2;90;995.9;14;1;4;
83195;09/06/1963;1200;22.7;21.5;89;995.9;18;2;9;
83195;09/06/1963;1800;25.2;21.5;71;993;14;3;6;
83195;10/06/1963;0000;21.1;20.2;92;994.6;0;0;3;
83195;10/06/1963;1200;24.6;22.2;81;994.6;18;2;7;
83195;10/06/1963;1800;25.9;22.3;72;990.6;14;3;8;
83195;11/06/1963;0000;22.6;21.4;89;993.1;14;1;8;
83195;11/06/1963;1200;22.2;21.5;93;991.1;23;2;10;
83195;11/06/1963;1800;23.3;22.3;91;988.8;9;1;10;
83195;12/06/1963;0000;21.5;21.2;97;991.9;0;0;10;
83195;12/06/1963;1200;24.8;22.8;83;991.8;9;1;7;
83195;12/06/1963;1800;25.1;22.3;77;989.1;9;1;10;
83195;13/06/1963;0000;20.9;20.4;95;991;0;0;0;
83195;13/06/1963;1200;24.1;21.6;79;994;5;2;6;
83195;13/06/1963;1800;25.9;21.8;68;990.7;14;3;4;
83195;14/06/1963;0000;20.5;19.5;90;994.4;0;0;0;
83195;14/06/1963;1200;24.4;21.2;74;993.9;14;3;6;
83195;14/06/1963;1800;24.7;20.8;69;992.4;14;1;5;
83195;15/06/1963;0000;20.4;18.9;86;994.6;14;1;0;
83195;15/06/1963;1200;24.5;20;64;994.3;14;2;3;
83195;15/06/1963;1800;25.6;19.8;56;990.3;14;1;3;
83195;16/06/1963;0000;21;19.9;90;992.2;18;1;8;
83195;16/06/1963;1200;24.6;21.8;77;994.4;14;3;7;
83195;16/06/1963;1800;25.9;21.4;65;990.3;9;3;5;
83195;17/06/1963;0000;21;20.5;95;994.4;0;0;7;
83195;17/06/1963;1200;23.6;21.7;84;993.6;14;2;7;
83195;17/06/1963;1800;25.9;21.5;66;992.7;14;3;4;
83195;18/06/1963;0000;20.8;19.2;86;993.5;14;1;0;
83195;18/06/1963;1200;23.2;21.1;82;995.8;0;0;3;
83195;18/06/1963;1800;26.2;22.1;69;990.7;14;1;5;
83195;19/06/1963;0000;20.2;19.1;90;994.3;14;1;0;
83195;19/06/1963;1200;22.4;20.6;85;995.1;18;1;10;
83195;19/06/1963;1800;23.2;21.2;83;992.4;0;0;10;
83195;20/06/1963;0000;21.4;20.4;91;992.4;0;0;10;
83195;20/06/1963;1200;24;21.8;81;992.6;0;0;7;
83195;20/06/1963;1800;27.4;22.1;62;988.4;14;1;4;
83195;21/06/1963;0000;20.5;19.8;93;989.8;0;0;0;
83195;21/06/1963;1200;24;22.1;84;989.6;0;0;7;
83195;21/06/1963;1800;27.1;23.1;70;986.8;14;3;5;
83195;22/06/1963;0000;20.9;20.5;96;989;9;1;0;
83195;22/06/1963;1200;23.8;21.6;82;993;5;2;6;
83195;22/06/1963;1800;28.7;22.9;59;988.6;0;0;2;
83195;23/06/1963;0000;20.9;20.3;94;993.4;18;1;0;
83195;23/06/1963;1200;21;19.9;90;995.2;0;0;10;
83195;23/06/1963;1800;20.4;19.6;92;993.6;14;2;10;
83195;24/06/1963;0000;20.9;19.8;90;995.6;18;1;10;
83195;24/06/1963;1200;23;20;75;995.4;18;1;8;
83195;24/06/1963;1800;24.4;20.3;67;993.4;14;2;7;
83195;25/06/1963;0000;19.7;18.2;86;994.3;18;1;0;
83195;25/06/1963;1200;21.6;20.4;89;995.9;23;1;8;
83195;25/06/1963;1800;25.2;21;67;993;14;4;8;
83195;26/06/1963;0000;20;19.3;93;992.6;18;1;0;
83195;26/06/1963;1200;21.1;20.6;95;992.7;18;1;10;
83195;26/06/1963;1800;22;20.6;88;992.8;14;3;10;
83195;27/06/1963;0000;20.2;19.4;92;993.5;18;1;0;
83195;27/06/1963;1200;21;20.1;92;992.7;14;2;8;
83195;27/06/1963;1800;22.6;21.5;90;990.8;14;3;10;
83195;28/06/1963;0000;20.7;20.4;97;992.3;18;1;8;
83195;28/06/1963;1200;23.6;21.6;83;994.6;14;3;6;
83195;28/06/1963;1800;25;21.9;75;990.8;14;4;5;
83195;29/06/1963;0000;20.9;20.4;95;993.1;0;0;4;
83195;29/06/1963;1200;20.5;20;95;992.6;0;0;10;
83195;29/06/1963;1800;22.6;20.7;84;991;9;1;8;
83195;30/06/1963;0000;20.2;19.5;93;992.6;0;0;5;
83195;30/06/1963;1200;22.8;20.9;84;994.2;18;1;5;
83195;30/06/1963;1800;25.2;20.7;65;991;14;2;5;
83195;01/07/1963;0000;20.2;19.6;94;991.1;18;1;4;
83195;01/07/1963;1200;22.4;20.6;85;992.7;0;0;8;
83195;01/07/1963;1800;24.5;20.8;70;990.7;14;2;7;
83195;02/07/1963;0000;20;18.1;82;992.7;14;1;;
83195;02/07/1963;1200;20.1;19.4;93;994.8;18;1;8;
83195;02/07/1963;1800;21.6;20.3;88;991.2;14;4;8;
83195;03/07/1963;0000;20.3;19.4;91;994.6;0;0;8;
83195;03/07/1963;1200;23;21.4;86;993.9;18;1;8;
83195;03/07/1963;1800;24.4;20.9;71;993;14;4;4;
83195;04/07/1963;0000;20.2;19.1;90;994.8;0;0;;
83195;04/07/1963;1200;21.6;20.3;88;995.9;18;1;8;
83195;04/07/1963;1800;24.2;22.1;83;990.8;14;1;8;
83195;05/07/1963;0000;21;20.7;97;993.8;0;0;10;
83195;05/07/1963;1200;23.2;21.3;83;995.6;18;1;8;
83195;05/07/1963;1800;23.3;21;81;991.2;14;1;8;
83195;06/07/1963;0000;20.2;19.6;94;992.6;0;0;7;
83195;06/07/1963;1200;23;20.6;80;993.5;18;1;3;
83195;06/07/1963;1800;24.4;21;72;989.8;14;1;6;
83195;07/07/1963;0000;19.5;18.6;91;991.2;14;1;;
83195;07/07/1963;1200;22.4;20.3;82;994.4;18;1;4;
83195;07/07/1963;1800;24.9;19.6;60;991.6;14;2;4;
83195;08/07/1963;0000;18.6;17.6;90;992.8;18;1;;
83195;08/07/1963;1200;21.6;20.7;92;994.4;14;1;9;
83195;08/07/1963;1800;22.2;20.6;86;992;14;2;8;
83195;09/07/1963;0000;19.4;18.8;94;994.6;0;0;7;
83195;09/07/1963;1200;20.8;19.8;91;994.7;18;1;7;
83195;09/07/1963;1800;22.3;19.1;73;991.1;18;2;7;
83195;10/07/1963;0000;17.9;16.6;87;993.8;0;0;;
83195;10/07/1963;1200;19.2;18.6;94;994.7;0;0;8;
83195;10/07/1963;1800;23.3;19.4;68;991.9;14;3;6;
83195;11/07/1963;0000;19;17.6;86;992.8;0;0;4;
83195;11/07/1963;1200;20.7;19.4;88;993;14;1;7;
83195;11/07/1963;1800;24.4;20.1;66;992.7;14;1;8;
83195;12/07/1963;0000;19.1;18.4;93;994.7;0;0;;
83195;12/07/1963;1200;22.3;20.7;87;994.7;14;3;10;
83195;12/07/1963;1800;21.4;19.8;85;991.4;9;1;10;
83195;13/07/1963;0000;19.9;18.8;90;992.6;0;0;;
83195;13/07/1963;1200;22;20.4;86;994.6;9;1;5;
83195;13/07/1963;1800;24.2;21;74;991.6;9;1;6;
83195;14/07/1963;0000;20.2;19.2;91;992.4;0;0;;
83195;14/07/1963;1200;23.4;19.6;69;993.2;14;2;5;
83195;14/07/1963;1800;25;19.1;55;990.2;18;2;4;
83195;15/07/1963;0000;19.6;17.5;80;992.2;0;0;;
83195;15/07/1963;1200;22.4;19.6;76;993.4;23;1;7;
83195;15/07/1963;1800;25;20.8;67;990;18;1;5;
83195;16/07/1963;0000;19.7;18.7;91;993;14;1;;
83195;16/07/1963;1200;21;19.9;90;993.5;23;1;7;
83195;16/07/1963;1800;26.2;21;61;990.2;9;2;5;
83195;17/07/1963;0000;19.2;18.7;95;991.9;0;0;;
83195;17/07/1963;1200;23.2;20.9;80;992.8;5;1;5;
83195;17/07/1963;1800;27;21.6;60;989.8;14;1;4;
83195;18/07/1963;0000;19.4;18.9;95;991.1;9;1;;
83195;18/07/1963;1200;23.7;21;77;992.8;9;2;6;
83195;18/07/1963;1800;26;21.4;64;987.8;9;3;4;
83195;19/07/1963;0000;19.4;18.6;92;989.8;9;1;;
83195;19/07/1963;1200;23.8;20;69;991.4;9;1;6;
83195;19/07/1963;1800;25.4;20.6;64;988;9;2;6;
83195;20/07/1963;0000;19.8;17.9;82;991.8;9;1;;
83195;20/07/1963;1200;23.4;21.2;82;994.4;14;1;8;
83195;20/07/1963;1800;25.8;21;63;990.4;9;2;7;
83195;21/07/1963;0000;20.8;19.8;91;992.3;14;1;;
83195;21/07/1963;1200;24.6;21.5;75;994.2;14;2;7;
83195;21/07/1963;1800;25.6;21.8;70;991.9;14;1;7;
83195;22/07/1963;0000;19.8;19.3;95;994.3;14;1;;
83195;22/07/1963;1200;24.6;21.6;76;994.4;14;1;7;
83195;22/07/1963;1800;26.3;21.3;62;992.3;14;2;5;
83195;23/07/1963;0000;20.8;20.1;94;994;0;0;;
83195;23/07/1963;1200;23;21.4;86;993.6;9;1;8;
83195;23/07/1963;1800;25.4;20.3;61;992.7;9;3;5;
83195;24/07/1963;0000;19.2;18;88;994.2;0;0;;
83195;24/07/1963;1200;20.4;19.4;90;994.2;18;2;8;
83195;24/07/1963;1800;24.4;20.7;70;993.8;14;2;8;
83195;25/07/1963;0000;20.2;19.4;92;995;18;1;;
83195;25/07/1963;1200;22.4;20.6;85;996;14;3;10;
83195;25/07/1963;1800;23.1;21.3;84;994.8;14;1;6;
83195;26/07/1963;0000;20;19.2;93;996.8;18;1;5;
83195;26/07/1963;1200;22.2;20.5;85;997;18;2;7;
83195;26/07/1963;1800;24.9;20.5;66;994.3;14;4;7;
83195;27/07/1963;0000;19.2;18.5;93;995.1;18;1;4;
83195;27/07/1963;1200;23.2;20.4;76;995.8;14;4;7;
83195;27/07/1963;1800;23.8;20.6;74;995.5;14;2;8;
83195;28/07/1963;0000;19.8;19.1;94;995;14;1;4;
83195;28/07/1963;1200;21.2;20.1;90;995;14;4;10;
