<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83218</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : RIO FERRO - MT (OMM: 83218)
Latitude  (graus) : -12.58
Longitude (graus) : -54.75
Altitude  (metros): 480.00
Esta��o Fechada
Inicio de opera��o: 01/01/1962
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83218;01/01/1962;1200;23.2;22;89;;0;0;10;
83218;01/01/1962;1800;31;24.5;58;;32;6;7;
83218;02/01/1962;0000;23.1;22;90;;0;0;4;
83218;02/01/1962;1200;24.7;22.7;84;;27;1;10;
83218;02/01/1962;1800;28.3;23.7;67;;32;6;9;
83218;03/01/1962;0000;23.2;22.4;93;;0;0;4;
83218;03/01/1962;1200;23.2;22.3;92;;32;2;10;
83218;03/01/1962;1800;25.1;22.9;82;;32;1;10;
83218;04/01/1962;0000;22.7;22.2;96;;0;0;10;
83218;04/01/1962;1200;23.1;22.3;93;;32;1;10;
83218;04/01/1962;1800;28.6;24.7;71;;27;1;9;
83218;05/01/1962;0000;23.5;22.8;93;;0;0;10;
83218;05/01/1962;1200;24.5;23.3;90;;0;0;10;
83218;05/01/1962;1800;29.8;24;61;;32;2;7;
83218;06/01/1962;0000;23.8;22.8;91;;0;0;6;
83218;06/01/1962;1200;26.6;24;80;;32;2;10;
83218;06/01/1962;1800;22.2;21.7;95;;0;0;10;
83218;07/01/1962;0000;21.1;20.8;97;;0;0;10;
83218;07/01/1962;1200;23.5;22.2;89;;0;0;10;
83218;07/01/1962;1800;25.7;23.7;84;;0;0;10;
83218;08/01/1962;0000;22.3;21.8;95;;0;0;10;
83218;08/01/1962;1200;24.5;23;87;;0;0;10;
83218;08/01/1962;1800;30.5;25;63;;32;1;10;
83218;09/01/1962;0000;22.7;22.2;96;;0;0;10;
83218;09/01/1962;1200;24.5;23.3;90;;36;1;10;
83218;09/01/1962;1800;31.7;25.8;62;;5;2;10;
83218;10/01/1962;0000;23.8;23.2;95;;0;0;10;
83218;10/01/1962;1200;23.8;22.6;90;;32;2;10;
83218;10/01/1962;1800;31;25.3;63;;36;1;8;
83218;11/01/1962;0000;24.2;23.3;92;;0;0;7;
83218;11/01/1962;1200;25.2;23.2;84;;32;3;10;
83218;11/01/1962;1800;28;25;77;;32;1;9;
83218;12/01/1962;0000;24;22.7;89;;36;1;6;
83218;12/01/1962;1200;24.7;23.4;89;;36;1;10;
83218;12/01/1962;1800;22.3;21.6;94;;0;0;10;
83218;13/01/1962;0000;21.2;21;98;;0;0;10;
83218;13/01/1962;1200;24.3;23.1;90;;0;0;10;
83218;13/01/1962;1800;28.8;25.3;74;;27;4;10;
83218;14/01/1962;0000;23.3;22.7;95;;0;0;9;
83218;14/01/1962;1200;23.8;22.6;90;;36;1;10;
83218;14/01/1962;1800;30.4;24.8;63;;36;2;9;
83218;15/01/1962;0000;21.5;21.1;96;;0;0;10;
83218;15/01/1962;1200;23;22.6;97;;0;0;10;
83218;15/01/1962;1800;25.2;22.5;79;;27;2;10;
83218;16/01/1962;0000;22.4;22;96;;0;0;10;
83218;16/01/1962;1200;22.5;21.7;93;;0;0;10;
83218;16/01/1962;1800;27.5;24.5;77;;0;0;10;
83218;17/01/1962;0000;22.4;21.6;93;;0;0;10;
83218;17/01/1962;1200;23.3;22.6;94;;0;0;10;
83218;17/01/1962;1800;23.6;22.6;92;;36;3;10;
83218;18/01/1962;0000;21.5;21.2;97;;0;0;10;
83218;18/01/1962;1200;25;23.2;86;;32;1;9;
83218;18/01/1962;1800;29.4;24.6;68;;32;4;9;
83218;19/01/1962;0000;22.1;21.5;94;;0;0;10;
83218;19/01/1962;1200;24.4;22.8;86;;36;1;9;
83218;19/01/1962;1800;32.3;25;54;;32;4;6;
83218;20/01/1962;0000;24.5;23.7;94;;0;0;5;
83218;20/01/1962;1200;27.2;24.4;79;;0;0;8;
83218;20/01/1962;1800;32.5;25.2;54;;5;2;7;
83218;21/01/1962;0000;24.5;23.7;94;;0;0;10;
83218;21/01/1962;1200;21.2;20.5;93;;0;0;10;
83218;21/01/1962;1800;29.1;24.8;69;;27;1;8;
83218;22/01/1962;0000;23.7;23;94;;0;0;10;
83218;22/01/1962;1200;27.8;24.5;75;;0;0;1;
83218;22/01/1962;1800;34;25;47;;0;0;6;
83218;23/01/1962;0000;23.9;23;92;;0;0;3;
83218;23/01/1962;1200;27.9;24.3;73;;36;1;2;
83218;23/01/1962;1800;34.6;25.7;48;;36;2;8;
83218;24/01/1962;0000;23.4;23;96;;0;0;10;
83218;24/01/1962;1200;23.8;23.2;95;;0;0;10;
83218;24/01/1962;1800;28.3;25;75;;5;1;10;
83218;25/01/1962;0000;24;22.9;90;;27;1;10;
83218;25/01/1962;1200;22.2;21.8;96;;0;0;10;
83218;25/01/1962;1800;26.9;23.7;76;;9;4;10;
83218;26/01/1962;0000;22.8;22.5;98;;0;0;10;
83218;26/01/1962;1200;23.5;22.6;92;;0;0;10;
83218;26/01/1962;1800;31.9;25.2;57;;32;4;9;
83218;27/01/1962;0000;22.5;22;95;;0;0;10;
83218;27/01/1962;1200;24.5;23;87;;0;0;10;
83218;27/01/1962;1800;29.8;24.8;66;;32;1;10;
83218;28/01/1962;0000;24;22.8;89;;0;0;10;
83218;28/01/1962;1200;24.2;22.2;84;;0;0;10;
83218;28/01/1962;1800;28.9;24.5;69;;0;0;10;
83218;29/01/1962;0000;22.5;22;95;;0;0;10;
83218;29/01/1962;1200;26.8;24.2;80;;27;4;10;
83218;29/01/1962;1800;24.7;23.9;93;;0;0;10;
