<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83225</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MATA DE SAO JOAO - BA (OMM: 83225)
Latitude  (graus) : -12.53
Longitude (graus) : -38.29
Altitude  (metros): 28.00
Esta��o Desativada
Inicio de opera��o: 01/07/1940
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83225;01/01/1961;1200;28.3;23.7;66;;14;1;3;
83225;01/01/1961;1800;31.2;24;53;;0;0;2;
83225;02/01/1961;0000;24.2;22;82;;0;0;4;
83225;02/01/1961;1200;28.5;24;67;;0;0;0;
83225;02/01/1961;1800;31.3;24.1;53;;0;0;0;
83225;03/01/1961;0000;24.3;22.1;82;;0;0;0;
83225;03/01/1961;1200;28.3;23.9;67;;0;0;0;
83225;03/01/1961;1800;31.2;24;53;;0;0;0;
83225;04/01/1961;0000;24.1;21.8;80;;0;0;0;
83225;04/01/1961;1200;28.5;24;67;;0;0;0;
83225;04/01/1961;1800;31.4;24.1;53;;0;0;0;
83225;05/01/1961;0000;24.3;22;81;;0;0;;
83225;05/01/1961;1200;28.3;24.1;69;;14;2;10;
83225;05/01/1961;1800;31;24.2;55;;14;2;9;
83225;06/01/1961;0000;24.1;22.1;83;;14;1;6;
83225;06/01/1961;1200;28.4;24.2;70;;14;3;10;
83225;06/01/1961;1800;31.3;24.3;54;;14;1;2;
83225;07/01/1961;0000;24.3;22.1;82;;0;0;5;
83225;07/01/1961;1200;28.6;24.3;68;;0;0;0;
83225;07/01/1961;1800;31.4;24.4;54;;0;0;0;
83225;08/01/1961;0000;24.4;22.2;82;;0;0;0;
83225;08/01/1961;1200;28.7;24.3;68;;0;0;0;
83225;08/01/1961;1800;31.5;24.4;53;;0;0;0;
83225;09/01/1961;0000;24.4;22.2;82;;0;0;0;
83225;09/01/1961;1200;28.2;23.9;68;;14;2;9;
83225;09/01/1961;1800;31;24;54;;14;1;5;
83225;10/01/1961;0000;24.1;22;82;;0;0;2;
83225;10/01/1961;1200;28.4;24.2;70;;0;0;0;
83225;10/01/1961;1800;31;24.3;56;;0;0;0;
83225;11/01/1961;0000;24.1;22;82;;0;0;0;
83225;11/01/1961;1200;28.2;24;69;;0;0;0;
83225;11/01/1961;1800;31.3;24.1;53;;0;0;0;
83225;12/01/1961;0000;24.3;22.2;83;;0;0;0;
83225;12/01/1961;1200;28.5;24.2;69;;0;0;0;
83225;12/01/1961;1800;31.5;24.4;53;;0;0;0;
83225;13/01/1961;0000;24.2;22.2;84;;0;0;0;
83225;13/01/1961;1200;28.3;24.3;70;;14;1;3;
83225;13/01/1961;1800;31.4;24.5;55;;14;3;5;
83225;14/01/1961;0000;24;22.1;84;;14;2;9;
83225;14/01/1961;1200;28.1;24;69;;14;3;10;
83225;14/01/1961;1800;31.3;24.2;53;;14;1;2;
83225;15/01/1961;0000;24.2;22.2;84;;0;0;4;
83225;15/01/1961;1200;28.4;24.2;70;;0;0;0;
83225;15/01/1961;1800;31.5;24.2;52;;0;0;0;
83225;16/01/1961;0000;24.5;22.2;81;;0;0;0;
83225;16/01/1961;1200;28.3;24.1;69;;14;2;3;
83225;16/01/1961;1800;24.3;22.3;83;;5;3;10;
83225;17/01/1961;0000;24.3;22.3;83;;5;3;10;
83225;17/01/1961;1200;28.6;24.3;68;;5;3;10;
83225;17/01/1961;1800;31.6;24.4;53;;5;2;9;
83225;18/01/1961;0000;24.2;22;82;;14;2;3;
83225;18/01/1961;1200;28.4;24;68;;0;0;0;
83225;18/01/1961;1800;31.5;24.2;52;;0;0;0;
83225;19/01/1961;0000;24.2;22.2;84;;0;0;0;
83225;19/01/1961;1200;28.7;24.2;68;;0;0;0;
83225;19/01/1961;1800;31.6;24.3;53;;0;0;0;
83225;20/01/1961;0000;24.4;22.1;81;;0;0;0;
83225;20/01/1961;1200;28.9;24.3;67;;0;0;0;
83225;20/01/1961;1800;31.6;24.5;54;;0;0;0;
83225;21/01/1961;0000;24.5;22.2;81;;0;0;0;
83225;21/01/1961;1200;29.1;24.4;66;;14;2;6;
83225;21/01/1961;1800;31.5;24.6;55;;14;1;2;
83225;22/01/1961;0000;24.3;22.3;83;;5;2;5;
83225;22/01/1961;1200;28.5;24.1;68;;5;2;3;
83225;22/01/1961;1800;31.6;24.4;53;;14;3;10;
83225;23/01/1961;0000;24.1;22.2;84;;14;2;9;
83225;23/01/1961;1200;28.3;24.1;69;;14;4;10;
83225;23/01/1961;1800;31.4;24.2;53;;5;3;10;
83225;24/01/1961;0000;24;22.1;84;;14;2;10;
83225;24/01/1961;1200;28.5;24.2;69;;14;3;9;
83225;24/01/1961;1800;31.3;24.4;54;;14;1;2;
83225;25/01/1961;0000;24.2;22.1;83;;0;0;5;
83225;25/01/1961;1200;28.8;24.1;66;;0;0;0;
83225;25/01/1961;1800;31.5;24.6;55;;0;0;0;
83225;26/01/1961;0000;24.4;22.2;82;;0;0;0;
83225;26/01/1961;1200;28.6;24.4;69;;0;0;0;
83225;26/01/1961;1800;31.6;24.6;55;;0;0;0;
83225;27/01/1961;0000;24.3;22.1;82;;0;0;0;
83225;27/01/1961;1200;28.8;24.3;67;;0;0;0;
83225;27/01/1961;1800;31.8;24.4;52;;0;0;0;
83225;28/01/1961;0000;24.5;22.2;81;;0;0;0;
83225;28/01/1961;1200;28.9;24.3;67;;0;0;0;
83225;28/01/1961;1800;31.6;24.4;53;;0;0;0;
83225;29/01/1961;0000;24.4;22.1;81;;0;0;0;
83225;29/01/1961;1200;29.2;24.4;66;;0;0;0;
83225;29/01/1961;1800;31.8;24.5;53;;0;0;0;
83225;30/01/1961;0000;24.6;22.3;81;;0;0;0;
83225;30/01/1961;1200;29.5;24.6;66;;0;0;0;
83225;30/01/1961;1800;32;24.8;54;;0;0;0;
83225;31/01/1961;0000;24.8;22.4;80;;0;0;0;
83225;31/01/1961;1200;29.3;24.4;65;;0;0;0;
83225;31/01/1961;1800;31.8;24.5;53;;0;0;0;
83225;01/02/1961;0000;24.6;22.3;81;;0;0;0;
83225;01/02/1961;1200;28.4;24.1;69;;14;1;2;
83225;01/02/1961;1800;31.3;24.3;54;;0;0;4;
83225;02/02/1961;0000;24.4;22.3;82;;14;2;9;
83225;02/02/1961;1200;28;24;70;;14;4;10;
83225;02/02/1961;1800;31;24.2;55;;14;2;2;
83225;03/02/1961;0000;24.1;22.2;84;;14;1;6;
83225;03/02/1961;1200;28.3;24.2;70;;0;0;0;
83225;03/02/1961;1800;31.3;24.3;54;;0;0;0;
83225;04/02/1961;0000;24;22.1;84;;0;0;0;
83225;04/02/1961;1200;28.5;24.3;69;;14;1;4;
83225;04/02/1961;1800;31.5;24.4;53;;14;2;6;
83225;05/02/1961;0000;24.2;22;82;;14;4;10;
83225;05/02/1961;1200;28.2;24.1;70;;14;3;10;
83225;05/02/1961;1800;31.3;24.4;54;;14;0.2;9;
83225;06/02/1961;0000;24;22.1;84;;14;1;2;
