<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83227</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ITAPARICA - BA (OMM: 83227)
Latitude  (graus) : -12.88
Longitude (graus) : -38.68
Altitude  (metros): 31.00
Esta��o Desativada
Inicio de opera��o: 01/01/1933
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83227;01/01/1961;1200;27.5;25;80;;5;6;7;
83227;01/01/1961;1800;29.5;25;68;;9;8;4;
83227;02/01/1961;0000;25;23.5;88;;5;6;5;
83227;02/01/1961;1200;27;24.5;81;;5;3;5;
83227;02/01/1961;1800;30;25;65;;5;6;4;
83227;03/01/1961;0000;26;23;76;;9;6;5;
83227;03/01/1961;1200;26;23.5;80;;5;3;7;
83227;03/01/1961;1800;29.5;25;68;;9;6;7;
83227;04/01/1961;0000;26;24;84;;5;8;0;
83227;04/01/1961;1200;27;24.5;81;;5;5;7;
83227;04/01/1961;1800;30;25;65;;5;8;8;
83227;05/01/1961;0000;25;24;92;;5;7;0;
83227;05/01/1961;1200;27.5;24.5;77;;5;5;8;
83227;05/01/1961;1800;30;25;65;;5;6;6;
83227;06/01/1961;0000;25;23.5;88;;9;7;0;
83227;06/01/1961;1200;27.5;24.5;77;;36;4;7;
83227;06/01/1961;1800;30.5;24.5;59;;5;8;6;
83227;07/01/1961;0000;25;23.5;88;;5;8;0;
83227;07/01/1961;1200;28;24.5;74;;36;5;7;
83227;07/01/1961;1800;30;25;65;;9;8;6;
83227;08/01/1961;0000;26;24;84;;9;7;0;
83227;08/01/1961;1200;27.5;25;80;;36;4;6;
83227;08/01/1961;1800;30.5;25;62;;36;8;7;
83227;09/01/1961;0000;25;23.5;88;;9;7;0;
83227;09/01/1961;1200;28;24.5;74;;5;5;6;
83227;09/01/1961;1800;30;24.5;62;;36;8;7;
83227;10/01/1961;0000;26;24;84;;9;7;0;
83227;10/01/1961;1200;27;24.5;81;;9;5;5;
83227;10/01/1961;1800;29.5;24;61;;9;6;6;
83227;11/01/1961;0000;26.5;23.5;76;;5;8;0;
83227;11/01/1961;1200;26.5;24.5;84;;5;4;7;
83227;11/01/1961;1800;30;24.5;62;;5;7;7;
83227;12/01/1961;0000;26;24;84;;5;7;0;
83227;12/01/1961;1200;27.5;24.5;77;;5;5;8;
83227;12/01/1961;1800;30;25;65;;5;6;8;
83227;13/01/1961;0000;27;24.5;81;;14;5;10;
83227;13/01/1961;1200;27.5;25;80;;9;4;6;
83227;13/01/1961;1800;30.5;24.5;59;;9;6;6;
83227;14/01/1961;0000;26;24;84;;9;5;0;
83227;14/01/1961;1200;28;24;70;;5;7;6;
83227;14/01/1961;1800;30;24;59;;9;6;6;
83227;15/01/1961;0000;26;23.5;80;;14;4;0;
83227;15/01/1961;1200;27.5;24.5;77;;14;3;7;
83227;15/01/1961;1800;29.5;24;61;;14;4;8;
83227;16/01/1961;0000;25;24;92;;0;0;0;
83227;16/01/1961;1200;25;24;92;;18;5;8;
83227;16/01/1961;1800;30;25;65;;18;5;8;
83227;17/01/1961;0000;25;24;92;;0;0;10;
83227;17/01/1961;1200;26.5;24.5;84;;14;4;10;
83227;17/01/1961;1800;29.5;24;61;;14;6;10;
83227;18/01/1961;0000;25.5;24;88;;14;4;6;
83227;18/01/1961;1200;27.5;24.5;77;;9;7;6;
83227;18/01/1961;1800;29;24;64;;14;4;5;
83227;19/01/1961;0000;25;23.5;88;;9;3;0;
83227;19/01/1961;1200;27;24;77;;14;4;7;
83227;19/01/1961;1800;29.5;24;61;;14;5;6;
83227;20/01/1961;0000;25.5;23;80;;9;3;0;
83227;20/01/1961;1200;28.5;25;74;;9;3;7;
83227;20/01/1961;1800;30.5;25;62;;14;5;7;
83227;21/01/1961;0000;26;24;84;;9;5;5;
83227;21/01/1961;1200;27.5;24.5;77;;9;4;5;
83227;21/01/1961;1800;30;24.5;62;;9;5;7;
83227;22/01/1961;0000;26.5;24;80;;9;3;0;
83227;22/01/1961;1200;27;25;84;;36;2;8;
83227;22/01/1961;1800;28;24;70;;23;6;10;
83227;23/01/1961;0000;24.5;23.5;92;;18;2;10;
83227;23/01/1961;1200;26.5;25;88;;0;0;8;
83227;23/01/1961;1800;28;24.5;74;;14;4;10;
83227;24/01/1961;0000;25.5;24;88;;5;3;10;
83227;24/01/1961;1200;26;23.5;80;;0;0;7;
83227;24/01/1961;1800;28.5;24;67;;14;6;7;
83227;25/01/1961;0000;25;23.5;88;;23;6;8;
83227;25/01/1961;1200;28;24.5;74;;0;0;8;
83227;25/01/1961;1800;29.5;24;61;;18;5;6;
83227;26/01/1961;0000;25;23.5;88;;5;4;0;
83227;26/01/1961;1200;27;24.5;81;;36;5;5;
83227;26/01/1961;1800;29;24.5;68;;9;6;7;
83227;27/01/1961;0000;26.5;24;80;;5;5;5;
83227;27/01/1961;1200;26.5;24.5;84;;0;0;10;
83227;27/01/1961;1800;30;25;65;;9;6;8;
83227;28/01/1961;0000;26;24;84;;5;5;6;
83227;28/01/1961;1200;27.5;25;80;;9;7;6;
83227;28/01/1961;1800;29.5;25;68;;14;6;8;
83227;29/01/1961;0000;26;24.5;88;;9;3;0;
83227;29/01/1961;1200;28;25;77;;9;5;6;
83227;29/01/1961;1800;30;25;65;;14;6;5;
83227;30/01/1961;0000;26.5;24;80;;9;5;5;
83227;30/01/1961;1200;28.5;25;74;;14;2;5;
83227;30/01/1961;1800;29.5;24.5;65;;9;5;5;
83227;31/01/1961;0000;26;24;84;;9;2;0;
83227;31/01/1961;1200;28;25.5;81;;0;0;7;
83227;31/01/1961;1800;29;25;71;;9;6;8;
83227;01/02/1961;0000;26;24;84;;9;7;0;
83227;01/02/1961;1200;27.5;24;73;;14;3;7;
83227;01/02/1961;1800;28.5;24;67;;14;4;6;
83227;02/02/1961;0000;25.5;23.5;84;;14;3;5;
83227;02/02/1961;1200;24;23;91;;23;4;10;
83227;02/02/1961;1800;25.5;24;88;;14;4;7;
83227;03/02/1961;0000;25;23.5;88;;9;6;0;
83227;03/02/1961;1200;26.5;24;80;;23;2;6;
83227;03/02/1961;1800;28.5;24.5;71;;14;4;7;
83227;04/02/1961;0000;26;23.5;80;;9;2;0;
83227;04/02/1961;1200;27.5;25;80;;0;0;7;
83227;04/02/1961;1800;29.5;25;68;;23;6;8;
83227;05/02/1961;0000;25.5;24;88;;14;4;10;
83227;05/02/1961;1200;27;24.5;81;;9;2;7;
83227;05/02/1961;1800;29;25;71;;18;4;8;
83227;06/02/1961;0000;25.5;24;88;;18;4;10;
83227;06/02/1961;1200;25;24;92;;0;0;10;
83227;06/02/1961;1800;28;25;77;;14;4;8;
83227;07/02/1961;0000;25;24;92;;18;2;10;
83227;07/02/1961;1200;27.5;25;80;;14;3;6;
