<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83231</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PARANA - TO (OMM: 83231)
Latitude  (graus) : -12.55
Longitude (graus) : -47.83
Altitude  (metros): 275.00
Esta��o Desativada
Inicio de opera��o: 01/01/1916
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83231;01/01/1961;1200;;;;978.8;27;1;8;
83231;01/01/1961;1800;;;;977.9;36;2;6;
83231;02/01/1961;0000;;;;979;27;2;10;
83231;02/01/1961;1200;;;;980.3;32;2;5;
83231;02/01/1961;1800;;;;978.3;27;4;6;
83231;03/01/1961;0000;;;;978.2;9;2;7;
83231;03/01/1961;1200;;;;980.3;27;2;8;
83231;03/01/1961;1800;;;;978.4;27;3;5;
83231;04/01/1961;0000;;;;977.4;27;2;8;
83231;04/01/1961;1200;;;;978.8;27;1;6;
83231;04/01/1961;1800;;;;977.8;27;4;7;
83231;05/01/1961;0000;;;;977.9;9;1;8;
83231;05/01/1961;1200;;;;979.1;27;1;8;
83231;05/01/1961;1800;;;;978.6;27;3;6;
83231;06/01/1961;0000;;;;977.5;9;2;8;
83231;06/01/1961;1200;;;;979.6;27;1;8;
83231;06/01/1961;1800;;;;976.8;27;4;6;
83231;07/01/1961;0000;;;;978.8;9;6;10;
83231;07/01/1961;1200;;;;980.2;0;0;8;
83231;07/01/1961;1800;;;;977.2;9;2;7;
83231;08/01/1961;0000;;;;977.4;27;1;3;
83231;08/01/1961;1200;;;;980;27;2;10;
83231;08/01/1961;1800;;;;979.1;9;3;10;
83231;09/01/1961;0000;;;;979.1;9;2;10;
83231;09/01/1961;1200;;;;979.1;14;4;5;
83231;09/01/1961;1800;;;;977.2;27;2;6;
83231;10/01/1961;0000;;;;977.6;27;1;3;
83231;10/01/1961;1200;;;;979;5;2;3;
83231;10/01/1961;1800;;;;977;27;4;5;
83231;11/01/1961;0000;;;;977.5;27;6;10;
83231;11/01/1961;1200;;;;978.8;27;1;5;
83231;11/01/1961;1800;;;;976.8;0;0;6;
83231;12/01/1961;0000;;;;977.5;27;2;10;
83231;12/01/1961;1200;;;;979.5;0;0;10;
83231;12/01/1961;1800;;;;977.8;9;8;10;
83231;13/01/1961;0000;;;;981.3;27;2;10;
83231;13/01/1961;1200;;;;980.6;18;2;9;
83231;13/01/1961;1800;;;;971.4;27;2;10;
83231;14/01/1961;0000;;;;978.4;36;3;10;
83231;14/01/1961;1200;;;;980.6;9;2;10;
83231;14/01/1961;1800;;;;978.4;0;0;7;
83231;15/01/1961;0000;;;;979.1;9;8;10;
