<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83236</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : BARREIRAS - BA (OMM: 83236)
Latitude  (graus) : -12.15
Longitude (graus) : -45
Altitude  (metros): 439.29
Esta��o Operante
Inicio de opera��o: 01/01/1924
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83236;01/01/1961;1200;23.9;22.4;87;956.3;5;1;10;
83236;01/01/1961;1800;30.8;24.4;58;953.1;5;3;10;
83236;02/01/1961;0000;23;22;91;954.3;32;1;9;
83236;02/01/1961;1200;26;22.8;75;956.6;36;1;9;
83236;02/01/1961;1800;26.3;23.8;80;954.2;36;1;10;
83236;03/01/1961;0000;22;20.9;90;954.6;32;2;10;
83236;03/01/1961;1200;23.5;21.8;85;956.3;5;4;10;
83236;03/01/1961;1800;28.7;24.4;69;953.4;5;1;10;
83236;04/01/1961;0000;24.3;21.1;74;954.6;27;2;10;
83236;04/01/1961;1200;25.4;22.9;80;955.9;14;1;9;
83236;04/01/1961;1800;31.3;24.8;58;952.6;36;1;10;
83236;05/01/1961;0000;23.5;21.8;85;954;0;0;9;
83236;05/01/1961;1200;23.9;22;84;955.5;27;1;10;
83236;05/01/1961;1800;27.3;23.3;70;953.9;5;3;10;
83236;06/01/1961;0000;23.5;22.6;92;953.4;0;0;3;
83236;06/01/1961;1200;25.6;23;79;955.9;9;1;10;
83236;06/01/1961;1800;28;24;70;952.4;32;2;10;
83236;07/01/1961;0000;24.1;23.3;93;954.2;23;3;10;
83236;07/01/1961;1200;23.4;22.7;94;956.6;23;2;10;
83236;07/01/1961;1800;26;23.2;78;954.4;18;4;10;
83236;08/01/1961;0000;23.5;22.3;89;954;0;0;10;
83236;08/01/1961;1200;25.1;23.3;85;955.4;23;1;10;
83236;08/01/1961;1800;31.8;24.8;56;952.4;5;6;9;
83236;09/01/1961;0000;22.6;21.4;89;955.6;36;1;10;
83236;09/01/1961;1200;22;21.4;94;955.9;23;1;10;
83236;09/01/1961;1800;27.6;24.6;78;953.5;9;1;10;
83236;10/01/1961;0000;23.7;22.7;92;952.7;23;1;3;
83236;10/01/1961;1200;25.3;22.9;81;955.1;32;1;4;
83236;10/01/1961;1800;32.6;23.4;45;952.2;36;6;6;
83236;11/01/1961;0000;24.6;22;79;952.7;27;3;6;
83236;11/01/1961;1200;25.4;22.6;78;954.4;23;3;9;
