<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83242</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : LENCOIS - BA (OMM: 83242)
Latitude  (graus) : -12.56
Longitude (graus) : -41.38
Altitude  (metros): 438.74
Esta��o Operante
Inicio de opera��o: 01/09/1931
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83242;01/01/1961;1200;22.4;21.4;91;969.5;0;0;10;
83242;01/01/1961;1800;30.5;24;57;964;0;0;10;
83242;02/01/1961;0000;24.5;22.5;83;966;14;0.9;0;
83242;02/01/1961;1200;23.2;21.4;84;969.8;0;0;10;
83242;02/01/1961;1800;30.5;24.5;60;963.6;0;0;10;
83242;03/01/1961;0000;24;22;83;967.8;14;4.4;10;
83242;03/01/1961;1200;23.4;21.9;87;969.2;0;0;10;
83242;03/01/1961;1800;32;26.8;65;963.4;18;0.9;10;
83242;04/01/1961;0000;25;22.8;82;965.9;0;0;0;
83242;04/01/1961;1200;24.2;22.3;84;969.4;18;0.9;10;
83242;04/01/1961;1800;30.2;26.2;72;964.8;18;0.9;10;
83242;05/01/1961;0000;24.9;23.2;87;964.7;0;0;5;
83242;05/01/1961;1200;21.2;20.8;96;967.4;0;0;10;
83242;05/01/1961;1800;28.4;25;75;964.4;18;2.4;10;
83242;06/01/1961;0000;24;22;83;966;14;0.9;10;
83242;06/01/1961;1200;22.9;21.9;91;969.8;18;0.9;10;
83242;06/01/1961;1800;30;26;72;964.4;14;2.4;10;
83242;07/01/1961;0000;24.5;22.6;84;966.7;0;0;0;
83242;07/01/1961;1200;24;21.9;82;969.9;14;0.9;10;
83242;07/01/1961;1800;31.5;26.5;66;964.7;0;0;10;
83242;08/01/1961;0000;25.2;23;82;965.2;14;0.9;10;
83242;08/01/1961;1200;23.6;21.9;85;969.5;0;0;10;
83242;08/01/1961;1800;30.6;26;68;965;0;0;3;
83242;09/01/1961;0000;25;23;84;966.3;0;0;0;
83242;09/01/1961;1200;23.9;21.8;82;969.4;0;0;10;
83242;09/01/1961;1800;31;26.8;71;966;0;0;5;
83242;10/01/1961;0000;25.5;23.5;84;965.4;0;0;0;
83242;10/01/1961;1200;22.9;21.3;86;968;14;0.9;10;
83242;10/01/1961;1800;31;26.2;67;964.6;0;0;10;
83242;11/01/1961;0000;25;23.2;86;965.2;0;0;0;
83242;11/01/1961;1200;24.2;22.2;84;968;14;0.9;10;
83242;11/01/1961;1800;30.6;26;68;964.8;0;0;10;
83242;12/01/1961;0000;25;24.2;94;965.2;0;0;0;
83242;12/01/1961;1200;23.6;22.2;88;969.4;0;0;10;
83242;12/01/1961;1800;28.9;25.4;74;966;14;0.9;10;
83242;13/01/1961;0000;24.2;22.6;87;966.6;14;0.9;7;
83242;13/01/1961;1200;22.9;22;92;971.5;0;0;10;
83242;13/01/1961;1800;31.5;26.2;64;964.7;14;0.9;10;
83242;14/01/1961;0000;26.6;24.5;84;967.8;23;0.9;7;
83242;14/01/1961;1200;26.2;23.6;80;969.1;14;2.4;10;
83242;14/01/1961;1800;31.5;26.8;68;964.8;14;2.4;10;
83242;15/01/1961;0000;26.5;23.8;78;969.2;0;0;7;
83242;15/01/1961;1200;24.6;21.8;77;970.3;0;0;10;
83242;15/01/1961;1800;30.5;26;69;966;0;0;5;
83242;16/01/1961;0000;25;22.6;81;967.9;14;0.9;10;
83242;16/01/1961;1200;24;22.2;85;970.6;0;0;10;
83242;16/01/1961;1800;34.9;26.2;49;965.1;14;0.9;10;
83242;17/01/1961;0000;26.5;25;88;969.1;0;0;10;
83242;17/01/1961;1200;26;24.2;86;970.4;14;2.4;10;
83242;17/01/1961;1800;26.2;24.5;87;970.7;0;0;10;
83242;18/01/1961;0000;26.8;24.5;82;971;14;0.9;10;
83242;18/01/1961;1200;24;22.8;89;972.7;14;0.9;10;
83242;18/01/1961;1800;29.8;26.2;74;969.8;14;2.4;0;
83242;19/01/1961;0000;24.5;22.6;84;971.2;0;0;0;
83242;19/01/1961;1200;22.9;21.9;91;973.2;0;0;10;
83242;19/01/1961;1800;29.6;25.9;73;968.8;14;0.9;10;
83242;20/01/1961;0000;23.5;22.8;93;970.8;0;0;10;
83242;20/01/1961;1200;22.4;21.4;91;972;0;0;10;
83242;20/01/1961;1800;30;26;72;968.3;14;0.9;5;
83242;21/01/1961;0000;25.5;23;80;969.5;0;0;10;
83242;21/01/1961;1200;24.9;22.2;79;970.7;0;0;10;
83242;21/01/1961;1800;29;25;71;966.2;0;0;10;
83242;22/01/1961;0000;25;23;84;969.2;0;0;10;
83242;22/01/1961;1200;21;20.9;99;971.9;0;0;10;
83242;22/01/1961;1800;26;24.6;89;968.2;14;0.9;10;
83242;23/01/1961;0000;25.5;22.8;78;969.5;14;0.9;10;
83242;23/01/1961;1200;25;23.5;88;970.4;0;0;10;
83242;23/01/1961;1800;30.9;25.8;65;967.1;0;0;7;
83242;24/01/1961;0000;25.5;24.2;90;969.4;14;0.9;10;
83242;24/01/1961;1200;24.9;23.5;89;970;14;0.9;10;
83242;24/01/1961;1800;33.9;28.9;67;963.2;14;0.9;10;
83242;25/01/1961;0000;25.2;24;90;969.2;14;2.4;10;
83242;25/01/1961;1200;21.4;21.2;98;971;14;0.9;10;
83242;25/01/1961;1800;28.9;25.5;75;966.6;0;0;10;
83242;26/01/1961;0000;24.2;23.3;92;968;0;0;10;
83242;26/01/1961;1200;23.5;22.9;95;969.5;0;0;10;
83242;26/01/1961;1800;30.9;27;73;963.8;0;0;10;
83242;27/01/1961;0000;25;23.5;88;969.4;14;2.4;10;
83242;27/01/1961;1200;21.2;21.2;100;971.1;0;0;10;
83242;27/01/1961;1800;22.8;22.2;95;968.3;14;0.9;10;
83242;28/01/1961;0000;22.5;21.5;91;969.1;14;0.9;5;
83242;28/01/1961;1200;21.9;21.6;97;971.1;0;0;10;
83242;28/01/1961;1800;26.2;24.4;86;968.3;0;0;10;
83242;29/01/1961;0000;23.8;22.2;87;969.6;14;0.9;0;
83242;29/01/1961;1200;23.2;21.6;86;972.8;0;0;10;
83242;29/01/1961;1800;31;26;66;967.8;0;0;10;
83242;30/01/1961;0000;25;23.5;88;969.6;14;0.9;10;
83242;30/01/1961;1200;24.2;22.9;89;972.2;14;0.9;10;
83242;30/01/1961;1800;30.6;26;68;967;18;2.4;10;
83242;31/01/1961;0000;24.6;23.2;89;967.5;0;0;0;
83242;31/01/1961;1200;22.3;21.2;91;971.1;0;0;10;
83242;31/01/1961;1800;30.6;25.9;67;967.8;18;0.9;3;
83242;01/02/1961;0000;24;22.8;89;967.1;0;0;0;
83242;01/02/1961;1200;23.2;22;89;970.8;0;0;10;
83242;01/02/1961;1800;30.4;25.9;70;966.2;14;0.9;10;
83242;02/02/1961;0000;24.5;23;87;969.2;14;0.9;0;
83242;02/02/1961;1200;23;20.9;82;971.8;14;0.9;10;
83242;02/02/1961;1800;31.5;26.5;66;967.6;0;0;5;
83242;03/02/1961;0000;25.8;23.5;82;969.6;0;0;0;
83242;03/02/1961;1200;25.4;22.9;80;971.2;14;0.9;8;
83242;03/02/1961;1800;32.5;27;65;967.4;0;0;5;
83242;04/02/1961;0000;26;25;92;969.4;0;0;0;
83242;04/02/1961;1200;24.6;22.6;84;972.7;0;0;10;
83242;04/02/1961;1800;31.3;26.9;69;967.4;14;2.4;10;
83242;05/02/1961;0000;26.2;24.5;87;968.7;14;2.4;0;
83242;05/02/1961;1200;25.8;23.9;85;970.8;0;0;10;
83242;05/02/1961;1800;32;27.2;68;966.8;14;2.4;3;
83242;06/02/1961;0000;26;24.9;91;968.4;0;0;5;
83242;06/02/1961;1200;25.4;22.9;80;971.2;14;2.4;10;
83242;06/02/1961;1800;29.4;26.2;77;968.3;14;2.4;10;
83242;07/02/1961;0000;24.2;23;90;969.2;0;0;10;
83242;07/02/1961;1200;23.8;22.6;90;973.4;0;0;10;
83242;07/02/1961;1800;28.2;25.5;80;969.5;14;0.9;10;
83242;08/02/1961;0000;24;23;91;969.2;0;0;10;
83242;08/02/1961;1200;23.3;21.6;86;973.2;0;0;10;
83242;08/02/1961;1800;31.2;26.2;66;970.2;0;0;10;
83242;09/02/1961;0000;24;23.5;96;968.7;0;0;0;
83242;09/02/1961;1200;22.8;21.4;88;972;0;0;10;
83242;09/02/1961;1800;30;25.9;71;966.6;14;0.9;5;
83242;10/02/1961;0000;23.5;22;87;970;0;0;0;
83242;10/02/1961;1200;21.2;20.6;94;971.6;14;0.9;10;
83242;10/02/1961;1800;29.6;25.5;70;966.4;9;0.9;0;
83242;11/02/1961;0000;25;23;84;968.3;0;0;0;
83242;11/02/1961;1200;24.6;22.6;84;970.7;0;0;10;
83242;11/02/1961;1800;29.2;24.9;69;966.2;14;0.9;0;
83242;12/02/1961;0000;26.2;24.5;87;967.9;0;0;0;
83242;12/02/1961;1200;25.9;23.5;81;969.5;14;2.4;10;
83242;12/02/1961;1800;33.3;27;60;964.3;14;2.4;8;
83242;13/02/1961;0000;26.5;24.2;82;967.4;0;0;10;
83242;13/02/1961;1200;24.7;23.4;89;969.5;0;0;10;
83242;13/02/1961;1800;29.2;25.2;71;965.2;0;0;10;
83242;14/02/1961;0000;25;23.8;90;967;0;0;0;
83242;14/02/1961;1200;23.2;22.8;96;970.6;0;0;10;
83242;14/02/1961;1800;30.6;26.4;70;965.9;0;0;8;
83242;15/02/1961;0000;24;23.5;96;967.8;0;0;0;
83242;15/02/1961;1200;23;22.3;94;972.2;0;0;10;
83242;15/02/1961;1800;30.2;26;71;968;14;0.9;10;
83242;16/02/1961;0000;25;23.5;88;969.2;0;0;10;
83242;16/02/1961;1200;23.9;21.9;83;971.4;14;0.9;10;
83242;16/02/1961;1800;31;26.5;69;967.4;0;0;4;
83242;17/02/1961;0000;25;23.5;88;969.1;0;0;10;
83242;17/02/1961;1200;24;22.2;85;971.2;14;2.4;10;
83242;17/02/1961;1800;31.1;25.9;64;968;14;2.4;2;
83242;18/02/1961;0000;24.5;22.9;86;967.9;0;0;0;
83242;18/02/1961;1200;23.5;22;87;972.4;0;0;10;
83242;18/02/1961;1800;31;25;61;967.4;0;0;5;
83242;19/02/1961;0000;24.2;22.5;86;969;0;0;6;
83242;19/02/1961;1200;23.4;21.5;84;970.8;14;0.9;10;
83242;19/02/1961;1800;30;24.8;65;966.6;0;0;10;
83242;20/02/1961;0000;24;22;83;968;14;0.9;0;
83242;20/02/1961;1200;22.4;21.2;90;970.3;0;0;10;
83242;20/02/1961;1800;31.2;25.8;64;970;0;0;5;
83242;21/02/1961;0000;25;22.5;80;967.9;14;0.9;5;
83242;21/02/1961;1200;24.4;21.8;78;970.2;14;2.4;10;
83242;21/02/1961;1800;28.2;25;76;966.7;0;0;10;
83242;22/02/1961;0000;24.6;22;79;966.8;0;0;10;
83242;22/02/1961;1200;23.9;21.9;83;970.8;18;0.9;10;
