<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83248</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SALVADOR - AEROPORTO - BA (OMM: 83248)
Latitude  (graus) : -12.9
Longitude (graus) : -38.32
Altitude  (metros): 19.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83248;01/01/2015;0000;26.5;;75;1013.3;9;4.11552;3.75;
83248;01/01/2015;0600;25.3;;80;1011.8;8;4.62996;3.75;
83248;01/01/2015;1200;28.7;;66;1014.4;8;5.1444;2.5;
83248;01/01/2015;1800;28.7;;67;1010.7;9;7.20216;0;
83248;02/01/2015;0000;26.3;;74;1012.2;9;7.20216;2.5;
83248;02/01/2015;0600;25.4;;74;1011;7;4.11552;2.5;
83248;02/01/2015;1200;28.6;;63;1013.6;9;5.1444;3.75;
83248;02/01/2015;1800;28.4;;65;1010.8;10;6.17328;3.75;
83248;03/01/2015;0000;26;;74;1011.9;7;6.17328;2.5;
83248;03/01/2015;0600;25.3;;73;1010.1;9;4.62996;2.5;
83248;03/01/2015;1200;28.3;;62;1012.6;7;5.65884;3.75;
83248;03/01/2015;1800;28.6;;58;1010.6;9;6.68772;0;
83248;04/01/2015;0000;26.1;;67;1011.9;10;5.65884;0;
83248;04/01/2015;0600;24.3;;75;1011.2;7;2.5722;2.5;
83248;04/01/2015;1200;28;;66;1013.7;8;4.11552;8.75;
83248;04/01/2015;1800;29.1;;61;1012;10;6.17328;3.75;
83248;05/01/2015;0000;25.9;;75;1013.1;8;4.62996;3.75;
83248;05/01/2015;0600;25.1;;77;1012.5;6;2.05776;3.75;
83248;05/01/2015;1200;29.3;;63;1014.8;9;5.65884;2.5;
83248;05/01/2015;1800;28.5;;66;1012.5;8;6.68772;3.75;
83248;06/01/2015;0000;26.4;;76;1013.7;8;4.62996;3.75;
83248;06/01/2015;0600;25.9;;79;1013;6;3.08664;7.5;
83248;06/01/2015;1200;28.5;;71;1014.8;9;3.08664;0;
83248;06/01/2015;1800;29.1;;67;1013;10;5.1444;2.5;
83248;07/01/2015;0000;26.9;;72;1014.2;10;4.11552;2.5;
83248;07/01/2015;0600;25.7;;76;1012.4;8;3.60108;7.5;
83248;07/01/2015;1200;28.5;;63;1014.2;13;5.1444;3.75;
83248;07/01/2015;1800;28.1;;68;1012.4;9;6.68772;5;
83248;08/01/2015;0000;25.1;;80;1013.9;5;3.08664;3.75;
83248;08/01/2015;0600;25.3;;74;1012;11;3.60108;3.75;
83248;08/01/2015;1200;25.9;;83;1014.9;19;2.5722;8.75;
83248;08/01/2015;1800;25.7;;77;1013.1;13;5.65884;8.75;
83248;09/01/2015;0600;22.4;;90;1012;33;1.54332;8.75;
83248;09/01/2015;1200;28.3;;69;1015;9;5.65884;6.25;
83248;09/01/2015;1800;28.5;;61;1013;11;5.1444;7.5;
83248;10/01/2015;0000;26;;74;1014.5;9;4.11552;3.75;
83248;10/01/2015;0600;25.2;;74;1012.5;9;2.5722;3.75;
83248;10/01/2015;1200;28.4;;63;1015.3;9;3.08664;5;
83248;10/01/2015;1800;29.4;;62;1013.2;11;5.65884;3.75;
83248;11/01/2015;0000;26.4;;74;1014.3;9;4.11552;3.75;
83248;11/01/2015;0600;25.6;;78;1012.2;6;2.05776;6.25;
83248;11/01/2015;1200;28.7;;69;1015.4;7;6.17328;7.5;
83248;11/01/2015;1800;28.8;;65;1013.3;10;6.17328;2.5;
83248;12/01/2015;0000;26.5;;74;1014.4;10;4.62996;3.75;
83248;12/01/2015;0600;25.5;;78;1013.2;5;3.60108;3.75;
83248;12/01/2015;1200;29.1;;65;1016.3;10;5.65884;5;
83248;12/01/2015;1800;29.4;;65;1012.9;11;3.60108;0;
83248;13/01/2015;0000;26.3;;73;1014;10;4.62996;2.5;
83248;13/01/2015;0600;25.8;;75;1012.2;9;4.62996;5;
83248;13/01/2015;1200;28.5;;63;1015.2;10;4.11552;2.5;
83248;13/01/2015;1800;29.2;;60;1012.2;12;5.65884;0;
83248;14/01/2015;0000;26.4;;70;1013.3;9;4.11552;3.75;
83248;14/01/2015;0600;25.4;;75;1011.3;9;2.5722;3.75;
83248;14/01/2015;1200;28.6;;64;1014.1;8;5.65884;3.75;
83248;14/01/2015;1800;29.2;;60;1011.7;10;7.20216;2.5;
83248;15/01/2015;0000;26.4;;70;1013.5;11;5.65884;3.75;
83248;15/01/2015;0600;25;;77;1011.3;8;3.08664;5;
83248;15/01/2015;1200;28.6;;67;1014.1;6;4.11552;3.75;
83248;15/01/2015;1800;29.6;;62;1012.3;10;4.11552;0;
83248;16/01/2015;0000;26.8;;67;1013.8;11;5.1444;2.5;
83248;16/01/2015;0600;25.7;;72;1012.1;9;2.05776;5;
83248;16/01/2015;1200;29;;61;1012.7;11;4.11552;3.75;
83248;16/01/2015;1800;28.9;;63;1011.9;12;5.1444;6.25;
83248;17/01/2015;0000;26.7;;68;1013.5;12;4.11552;3.75;
83248;17/01/2015;0600;25.6;;73;1012.2;13;2.05776;5;
83248;17/01/2015;1200;28.7;;63;1014.3;8;5.1444;6.25;
83248;17/01/2015;1800;29.1;;64;1011.7;9;6.17328;3.75;
83248;18/01/2015;0000;26.5;;76;1013;8;6.17328;3.75;
83248;18/01/2015;0600;26;;73;1011.8;7;5.1444;5;
83248;18/01/2015;1200;29;;62;1014.8;9;5.65884;6.25;
83248;18/01/2015;1800;29.4;;60;1012.1;9;6.17328;0;
83248;19/01/2015;0000;26.3;;68;1013.5;9;5.1444;2.5;
83248;19/01/2015;0600;25.8;;71;1012;10;4.62996;3.75;
83248;19/01/2015;1200;28.8;;58;1014.7;11;4.62996;3.75;
83248;19/01/2015;1800;29.3;;59;1011.6;12;5.65884;3.75;
83248;20/01/2015;0000;26.2;;73;1012.8;9;3.08664;2.5;
83248;20/01/2015;0600;24.9;;77;1010.7;5;1.54332;2.5;
83248;20/01/2015;1200;28.6;;66;1012.2;11;4.62996;5;
83248;20/01/2015;1800;29.3;;63;1009.5;10;5.65884;3.75;
83248;21/01/2015;0000;26.4;;71;1011.3;9;3.60108;3.75;
83248;21/01/2015;0600;26.1;;74;1009.8;10;3.08664;5;
83248;21/01/2015;1200;28.8;;64;1012.3;8;3.60108;6.25;
83248;21/01/2015;1800;28.9;;66;1010;11;6.68772;5;
83248;22/01/2015;0000;26.5;;73;1011.1;10;6.17328;6.25;
83248;22/01/2015;0600;25.5;;79;1010.4;5;2.05776;2.5;
83248;22/01/2015;1200;26.8;;77;1012.5;3;3.08664;7.5;
83248;22/01/2015;1800;28.8;;68;1010.2;8;8.23104;7.5;
83248;23/01/2015;0000;26.4;;73;1012;7;6.17328;6.25;
83248;23/01/2015;0600;25.8;;76;1011.3;8;4.11552;5;
83248;23/01/2015;1200;29.3;;64;1014.3;9;5.1444;2.5;
83248;23/01/2015;1800;29.9;;59;1011.9;10;6.17328;2.5;
83248;24/01/2015;0000;26.7;;74;1013;9;4.62996;5;
83248;24/01/2015;0600;25.8;;74;1011.4;10;3.60108;3.75;
83248;24/01/2015;1200;29.3;;63;1013.2;12;5.1444;5;
83248;24/01/2015;1800;25.1;;81;1011.6;11;3.08664;7.5;
83248;25/01/2015;0000;25.3;;78;1012.3;8;4.62996;5;
83248;25/01/2015;0600;24.2;;83;1011.4;1;1.54332;5;
83248;25/01/2015;1200;29.1;;68;1012.8;9;5.1444;6.25;
83248;25/01/2015;1800;28.8;;67;1011.1;8;6.68772;6.25;
83248;26/01/2015;0000;26.7;;73;1012.5;9;4.62996;5;
83248;26/01/2015;0600;25.6;;80;1011.3;10;3.08664;3.75;
83248;26/01/2015;1200;29.2;;66;1013.7;9;4.62996;3.75;
83248;26/01/2015;1800;29.2;;61;1011.3;10;6.68772;2.5;
83248;27/01/2015;0000;26.3;;75;1012;10;4.11552;2.5;
83248;27/01/2015;0600;25.7;;75;1011.5;7;5.1444;5;
83248;27/01/2015;1200;28.8;;63;1013.9;10;4.62996;3.75;
83248;27/01/2015;1800;29.5;;62;1011.6;11;5.1444;2.5;
83248;28/01/2015;0000;26.4;;69;1012.5;12;5.1444;1.25;
83248;28/01/2015;0600;24.5;;75;1011.9;10;3.60108;5;
83248;28/01/2015;1200;28.6;;61;1013.7;10;4.11552;2.5;
83248;28/01/2015;1800;29.8;;54;1011.2;13;5.1444;0;
83248;29/01/2015;0000;27.2;;66;1012.4;12;4.62996;2.5;
83248;29/01/2015;0600;26.6;;69;1010.4;13;3.08664;3.75;
83248;29/01/2015;1200;29.1;;59;1013;12;3.08664;3.75;
83248;29/01/2015;1800;28.8;;65;1010.4;12;5.1444;3.75;
83248;30/01/2015;0000;26.7;;72;1012.2;9;4.62996;6.25;
83248;30/01/2015;0600;26;;77;1010.3;9;3.08664;5;
83248;30/01/2015;1200;28.9;;69;1012.5;9;4.11552;7.5;
83248;30/01/2015;1800;30.1;;61;1010.5;9;5.65884;3.75;
83248;31/01/2015;0000;26.6;;74;1012;9;6.17328;2.5;
83248;31/01/2015;0600;25.9;;77;1010.9;9;3.60108;1.25;
83248;31/01/2015;1200;28.5;;67;1013.4;8;4.11552;8.75;
83248;31/01/2015;1800;29.7;;61;1010.9;10;5.1444;2.5;
83248;01/02/2015;0000;27.1;;72;1012;9;5.65884;2.5;
83248;01/02/2015;0600;26.3;;70;1011.1;9;3.60108;3.75;
83248;01/02/2015;1200;29.3;;62;1013.7;9;4.62996;3.75;
83248;01/02/2015;1800;30.1;;61;1011.3;11;5.1444;2.5;
83248;02/02/2015;0000;27.3;;68;1012.5;10;4.62996;2.5;
83248;02/02/2015;0600;26.5;;72;1010.9;9;4.62996;6.25;
83248;02/02/2015;1200;29.4;;60;1013.4;10;5.1444;3.75;
83248;02/02/2015;1800;29.7;;60;1010.8;13;5.65884;2.5;
83248;03/02/2015;0000;27;;66;1012;10;5.65884;2.5;
83248;03/02/2015;0600;26.1;;73;1010.8;7;3.08664;2.5;
83248;03/02/2015;1200;29;;63;1013.3;11;4.11552;3.75;
83248;03/02/2015;1800;29.7;;61;1010;12;6.68772;1.25;
83248;04/02/2015;0000;26.7;;71;1011.1;10;4.62996;2.5;
83248;04/02/2015;0600;26;;73;1009.9;7;3.60108;2.5;
83248;04/02/2015;1200;29;;65;1011.8;10;5.1444;6.25;
83248;04/02/2015;1800;29.9;;64;1008.9;12;4.62996;8.75;
83248;05/02/2015;0000;26.9;;71;1010;9;5.65884;2.5;
83248;05/02/2015;0600;24.2;;84;1010;35;1.02888;3.75;
83248;05/02/2015;1200;29.4;;62;1011.3;7;4.62996;5;
83248;05/02/2015;1800;29.9;;66;1008;9;8.74548;3.75;
83248;06/02/2015;0000;27.1;;74;1009.5;8;4.11552;5;
83248;06/02/2015;0600;25.2;;83;1009.1;3;1.54332;5;
83248;06/02/2015;1200;28.4;;65;1010.5;5;5.65884;6.25;
83248;06/02/2015;1800;30;;66;1007.4;9;7.7166;2.5;
83248;07/02/2015;0000;26.9;;77;1009.2;6;6.68772;2.5;
83248;07/02/2015;0600;26.2;;79;1008.8;2;1.54332;3.75;
83248;07/02/2015;1200;29.2;;65;1011.2;10;5.1444;7.5;
83248;07/02/2015;1800;29.4;;68;1008.7;10;9.25992;3.75;
83248;08/02/2015;0000;26.4;;77;1011;8;5.1444;1.25;
83248;08/02/2015;0600;25.5;;80;1010.9;5;2.5722;2.5;
83248;08/02/2015;1200;29.7;;64;1013.3;8;5.1444;3.75;
83248;08/02/2015;1800;29.2;;67;1011.3;10;5.1444;2.5;
83248;09/02/2015;0000;26;;81;1013.1;10;3.08664;1.25;
83248;09/02/2015;0600;25.7;;83;1011.1;12;1.54332;3.75;
83248;09/02/2015;1200;29;;66;1013.3;11;5.1444;3.75;
