<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83249</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ALAGOINHAS - BA (OMM: 83249)
Latitude  (graus) : -12.14
Longitude (graus) : -38.42
Altitude  (metros): 130.92
Esta��o Operante
Inicio de opera��o: 01/01/1931
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83249;01/01/1961;1200;27.3;24.2;77;;9;2;4;
83249;01/01/1961;1800;28.5;25.3;76;;14;2;5;
83249;02/01/1961;0000;26.2;23.8;81;;18;2;2;
83249;02/01/1961;1200;27.4;23.6;72;;9;2;3;
83249;02/01/1961;1800;28.5;25.2;75;;36;1;2;
83249;03/01/1961;0000;26.8;23.5;74;;9;2;4;
83249;03/01/1961;1200;27.8;23.5;68;;9;2;4;
83249;03/01/1961;1800;28.6;25.1;74;;14;2;3;
83249;04/01/1961;0000;27.2;24.1;77;;18;2;5;
83249;04/01/1961;1200;26.8;23;71;;14;2;4;
83249;04/01/1961;1800;27.5;24.1;74;;9;2;5;
83249;05/01/1961;0000;26.2;23.8;81;;18;1;2;
83249;05/01/1961;1200;27.5;24.5;77;;9;2;2;
83249;05/01/1961;1800;28.6;25.4;76;;14;2;4;
83249;06/01/1961;0000;26.2;24.2;85;;18;1;3;
83249;06/01/1961;1200;28.4;25.6;79;;18;1;2;
83249;06/01/1961;1800;29.4;26.3;78;;9;2;4;
83249;07/01/1961;0000;27.2;25.3;85;;18;2;3;
83249;07/01/1961;1200;28;24.1;71;;14;1;4;
83249;07/01/1961;1800;29.6;25.3;69;;14;2;4;
83249;08/01/1961;0000;27;23.8;75;;9;2;4;
83249;08/01/1961;1200;28.5;23.5;64;;9;2;3;
83249;08/01/1961;1800;29.8;25.2;67;;9;2;2;
83249;09/01/1961;0000;27.4;22.8;66;;14;2;4;
83249;09/01/1961;1200;28.4;24.5;72;;18;2;3;
83249;09/01/1961;1800;29;25.8;76;;9;1;5;
83249;10/01/1961;0000;27.1;24.2;78;;14;2;4;
83249;10/01/1961;1200;28.6;24.2;68;;9;2;3;
83249;10/01/1961;1800;29.6;26.2;75;;14;2;3;
83249;11/01/1961;0000;27.3;24;75;;18;2;3;
83249;11/01/1961;1200;28.5;25.2;75;;9;2;3;
83249;11/01/1961;1800;30.6;26.4;70;;14;2;4;
83249;12/01/1961;0000;27;24.1;78;;9;2;5;
83249;12/01/1961;1200;27.5;24.5;77;;9;2;2;
83249;12/01/1961;1800;29.3;24.8;68;;14;1;4;
83249;13/01/1961;0000;27.2;23.6;73;;14;1;3;
83249;13/01/1961;1200;27.7;24.5;76;;14;2;2;
83249;13/01/1961;1800;29.4;25.2;70;;9;2;2;
83249;14/01/1961;0000;26.3;23;74;;9;1;5;
83249;14/01/1961;1200;27.5;23;67;;14;4;4;
83249;14/01/1961;1800;29.6;25.2;68;;9;2;4;
83249;15/01/1961;0000;28.4;24.1;69;;14;2;4;
83249;15/01/1961;1200;28.4;24.1;69;;9;2;2;
83249;15/01/1961;1800;29.6;25.3;69;;14;2;4;
83249;16/01/1961;0000;27.3;23.1;69;;9;2;3;
83249;16/01/1961;1200;24.6;24;95;;14;1;8;
83249;16/01/1961;1800;26.2;23.1;76;;0;0;8;
83249;17/01/1961;0000;25.3;22.6;79;;0;0;8;
83249;17/01/1961;1200;23;22.8;98;;0;0;9;
83249;17/01/1961;1800;24.1;23.1;91;;18;1;8;
83249;18/01/1961;0000;22.6;21.6;91;;0;0;7;
83249;18/01/1961;1200;23.7;22.2;87;;9;2;5;
83249;18/01/1961;1800;29.6;25.8;72;;18;1;4;
83249;19/01/1961;0000;28.2;24.1;70;;9;1;2;
83249;19/01/1961;1200;27.2;23.7;74;;14;2;3;
83249;19/01/1961;1800;29.6;26;74;;18;2;4;
83249;20/01/1961;0000;27.1;23.2;70;;14;2;2;
83249;20/01/1961;1200;27.4;23.6;72;;9;2;4;
83249;20/01/1961;1800;28.3;24.2;70;;14;2;3;
83249;21/01/1961;0000;26.3;22.8;73;;9;2;2;
83249;21/01/1961;1200;27.2;24;76;;14;2;3;
83249;21/01/1961;1800;28.6;25.3;75;;9;2;4;
83249;22/01/1961;0000;26.8;23.4;73;;14;1;5;
83249;22/01/1961;1200;29.6;25.4;69;;9;2;4;
83249;22/01/1961;1800;30.6;26.2;69;;14;2;4;
