<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83262</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : UTIARITI - MT (OMM: 83262)
Latitude  (graus) : -13.03
Longitude (graus) : -58.28
Altitude  (metros): 385.80
Esta��o Desativada
Inicio de opera��o: 01/01/1927
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83262;01/01/1961;1200;22.3;21.9;96;964.7;0;0;10;
83262;01/01/1961;1800;28.8;24.9;71;963.6;36;1;10;
83262;02/01/1961;0000;24.4;23.5;93;963.5;0;0;10;
83262;02/01/1961;1200;24;22.7;89;964.7;0;0;10;
83262;02/01/1961;1800;28.8;24.1;67;962.7;32;5;9;
83262;03/01/1961;0000;24;22.9;90;963.4;0;0;10;
83262;03/01/1961;1200;22;21.4;94;967.2;36;3;10;
83262;03/01/1961;1800;28.4;24;68;962.8;32;3;10;
83262;04/01/1961;0000;24.6;22.9;86;963;18;4;10;
83262;04/01/1961;1200;22.2;21.9;97;965.1;36;1;10;
83262;04/01/1961;1800;27.8;24.1;72;963.6;32;3;10;
83262;05/01/1961;0000;24.4;22.8;86;961.5;36;1;10;
83262;05/01/1961;1200;22.2;21.9;97;964.6;36;1;10;
83262;05/01/1961;1800;27.8;24.7;76;959.9;36;3;10;
83262;06/01/1961;0000;25.6;23.7;85;960.4;36;1;4;
83262;06/01/1961;1200;22.2;22;98;965.4;32;3;10;
83262;06/01/1961;1800;27.2;24.2;78;961.5;32;3;10;
83262;07/01/1961;0000;24.2;22.5;86;963.1;18;3;10;
83262;07/01/1961;1200;22.8;22.5;98;965.1;36;3;10;
83262;07/01/1961;1800;31.5;25.1;59;961.2;36;2;9;
83262;08/01/1961;0000;24.8;23.5;90;962.4;0;0;5;
83262;08/01/1961;1200;23.8;22.9;92;964.6;36;1;10;
83262;08/01/1961;1800;27.9;25.1;79;961.4;0;0;10;
83262;09/01/1961;0000;24.8;23.3;88;960.3;5;1;4;
