<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83264</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : GLEBA CELESTE - MT (OMM: 83264)
Latitude  (graus) : -12.28
Longitude (graus) : -55.29
Altitude  (metros): 415.00
Esta��o Operante
Inicio de opera��o: 06/07/1972
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83264;06/07/1972;1200;21.4;19;82;968.6;0;0;4;
83264;06/07/1972;1800;31;24;57;966.6;9;3;7;
83264;07/07/1972;0000;23;22;92;966.8;0;0;0;
83264;09/07/1972;1200;23;20.5;80;;0;0;;
83264;10/07/1972;1200;14;13;90;972.2;0;0;6;
83264;10/07/1972;1800;26.2;21.2;65;970.4;9;3;3;
83264;11/07/1972;0000;21;21;92;970.8;0;0;0;
83264;11/07/1972;1200;18;17;91;971.5;0;0;0;
83264;11/07/1972;1800;30;25;68;968.3;9;1;7;
83264;12/07/1972;0000;24;22.9;91;969.8;0;0;9;
83264;12/07/1972;1200;21.5;20;87;968.6;0;0;2;
83264;12/07/1972;1800;30.5;25;65;966.8;18;3;7;
83264;13/07/1972;0000;23.5;23;96;967.5;0;0;0;
83264;13/07/1972;1200;22.9;21.5;89;971.1;0;0;7;
83264;13/07/1972;1800;26;23;78;970.7;36;3;10;
83264;14/07/1972;0000;21.5;21;96;969.8;0;0;0;
83264;14/07/1972;1200;20;20;100;971.2;0;0;10;
83264;14/07/1972;1800;29;25;72;968.8;0;0;5;
83264;15/07/1972;0000;23;22;92;968.8;0;0;0;
83264;15/07/1972;1200;23.5;21;80;971.5;0;0;0;
83264;15/07/1972;1800;31;27;73;969.9;23;2;5;
83264;16/07/1972;0000;24;23;92;970.2;0;0;0;
83264;16/07/1972;1200;23.5;21;80;972;0;0;0;
83264;16/07/1972;1800;32;28.5;77;969.6;9;1;7;
83264;17/07/1972;0000;23;22.5;96;971;0;0;0;
83264;17/07/1972;1200;24;20.5;74;970.7;9;1;0;
83264;17/07/1972;1800;31.5;23.5;52;969.4;36;3;6;
83264;18/07/1972;0000;23.5;22;88;969.2;0;0;0;
83264;18/07/1972;1200;23.5;20.5;77;970.7;0;0;3;
83264;18/07/1972;1800;31;23;52;969.1;9;6;5;
83264;19/07/1972;0000;22;21;92;969.2;0;0;0;
83264;19/07/1972;1200;22;19;76;971.8;0;0;0;
83264;19/07/1972;1800;31.5;21.5;42;967.9;9;3;3;
83264;20/07/1972;0000;22;21.2;93;967.9;0;0;0;
83264;20/07/1972;1200;22.5;19.2;73;969.8;0;0;0;
83264;20/07/1972;1800;31.5;22.5;47;967;9;3;5;
83264;21/07/1972;0000;22.5;21.5;92;968;0;0;0;
83264;21/07/1972;1200;23;20;76;969.6;0;0;0;
83264;21/07/1972;1800;31;23.5;54;967.8;9;1;7;
83264;22/07/1972;0000;22;21.5;96;969.1;0;0;0;
83264;22/07/1972;1200;20;17.8;81;971.6;0;0;3;
83264;22/07/1972;1800;31;24.5;60;969.4;0;0;4;
83264;23/07/1972;0000;22;21;92;969.2;0;0;0;
83264;23/07/1972;1200;17.5;16;86;970.4;0;0;0;
83264;23/07/1972;1800;30.5;23.5;56;968.8;9;1;6;
83264;24/07/1972;0000;22;21.5;96;967.4;0;0;0;
83264;24/07/1972;1200;19.5;17.8;85;969.8;0;0;0;
83264;24/07/1972;1800;31;18.5;30;967.1;9;1;3;
83264;25/07/1972;0000;22;21;92;967.5;0;0;0;
83264;25/07/1972;1200;21;18;76;968.6;0;0;0;
83264;25/07/1972;1800;32;22;42;967;18;3;3;
83264;26/07/1972;0000;22.5;21.5;92;967.5;0;0;0;
83264;26/07/1972;1200;21.5;19;80;968.8;0;0;0;
83264;26/07/1972;1800;33;20;30;967;0;0;2;
83264;27/07/1972;0000;23;22.5;96;968.6;0;0;0;
83264;27/07/1972;1200;23.5;19;67;969.5;0;0;5;
83264;27/07/1972;1800;32.7;22;40;967.4;0;0;6;
83264;28/07/1972;0000;21.5;21;96;967.4;0;0;0;
83264;28/07/1972;1200;21;18;76;967.8;0;0;0;
83264;28/07/1972;1800;33.5;22;38;967;9;1;2;
83264;29/07/1972;0000;22;21.5;96;968.6;0;0;0;
83264;29/07/1972;1200;21;18.5;79;968.8;0;0;0;
83264;29/07/1972;1800;33;21;34;968.2;9;1;2;
83264;30/07/1972;0000;22;21;92;967.6;0;0;0;
83264;30/07/1972;1200;19.5;18;87;971.1;0;0;4;
83264;30/07/1972;1800;30.5;23;53;969.5;9;1;5;
83264;31/07/1972;0000;23;22.5;96;970;0;0;0;
83264;31/07/1972;1200;22.2;20;82;972.4;0;0;7;
83264;31/07/1972;1800;30.2;25;67;969.5;9;1;8;
83264;01/08/1972;0000;22;21;92;972.6;9;1;10;
83264;01/08/1972;1200;20;19;91;973.1;9;1;7;
83264;01/08/1972;1800;29.5;25.5;73;968.8;9;1;8;
83264;02/08/1972;0000;24;23.5;96;968.4;0;0;10;
83264;02/08/1972;1200;24;21;77;969.6;0;0;5;
83264;02/08/1972;1800;31.9;17;21;966.8;9;1;6;
83264;03/08/1972;0000;24;23;92;967.4;0;0;0;
83264;03/08/1972;1200;23;21;84;969.6;0;0;5;
83264;03/08/1972;1800;31.8;25.5;62;966.6;0;0;7;
83264;04/08/1972;0000;24;23;92;968.7;0;0;0;
83264;04/08/1972;1200;24;21.5;80;970.4;0;0;6;
83264;04/08/1972;1800;30;26;73;967.5;0;0;7;
83264;05/08/1972;0000;20;15;60;971.9;0;0;10;
83264;05/08/1972;1200;15;15;100;975.1;36;1;10;
83264;05/08/1972;1800;24;22;84;970.8;0;0;2;
83264;06/08/1972;0000;20;19;91;972;0;0;0;
83264;06/08/1972;1200;18;16;82;971.2;0;0;4;
83264;06/08/1972;1800;30.5;16;20;969.8;27;1;4;
83264;07/08/1972;0000;23;22.5;96;970.2;0;0;0;
83264;07/08/1972;1200;21;20;91;970;0;0;4;
83264;07/08/1972;1800;31.5;26;66;968.8;9;1;2;
83264;08/08/1972;0000;24;23;92;967.8;0;0;0;
83264;08/08/1972;1200;22;20;83;969.5;0;0;0;
83264;08/08/1972;1800;32.9;26;59;967;36;3;6;
83264;09/08/1972;0000;24;23;92;969.4;0;0;0;
83264;09/08/1972;1200;20.5;19.8;94;970.3;0;0;10;
83264;09/08/1972;1800;31.5;28;77;966.7;0;0;10;
83264;10/08/1972;0000;24;23.5;96;967.8;0;0;0;
83264;10/08/1972;1200;23;22;92;969.2;0;0;5;
83264;10/08/1972;1800;30;27;79;968.6;0;0;8;
83264;11/08/1972;0000;25;24.5;96;968.2;0;0;0;
83264;11/08/1972;1200;23;22;92;969.5;0;0;7;
83264;11/08/1972;1800;30;27;79;968.6;0;0;8;
83264;12/08/1972;0000;25;24.5;96;968.2;0;0;0;
83264;12/08/1972;1200;22.5;21.5;92;969.6;0;0;8;
83264;12/08/1972;1800;32;26;63;967.8;18;5;7;
83264;13/08/1972;0000;24.5;23.5;92;967.8;0;0;0;
83264;13/08/1972;1200;18.5;18;95;971.5;9;1;10;
83264;13/08/1972;1800;29.5;26.5;79;968.6;0;0;0;
83264;14/08/1972;0000;23;22.5;96;967.4;0;0;0;
83264;14/08/1972;1200;23;21.5;88;969.8;0;0;0;
83264;14/08/1972;1800;30.5;25;65;967.2;0;0;8;
83264;15/08/1972;0000;23;22.5;96;967.9;0;0;0;
83264;15/08/1972;1200;21;20;91;968.3;0;0;0;
83264;15/08/1972;1800;32;25;58;966.4;9;1;5;
83264;16/08/1972;0000;23;22;92;965.8;0;0;0;
83264;16/08/1972;1200;22;19;76;968.3;0;0;0;
83264;16/08/1972;1800;32.7;25;55;967.2;0;0;3;
83264;17/08/1972;0000;24;23;92;966.2;0;0;0;
83264;17/08/1972;1200;22;18;69;969;0;0;2;
83264;17/08/1972;1800;34.5;24;42;966.8;9;3;3;
83264;18/08/1972;0000;22;21;92;964.7;0;0;0;
83264;18/08/1972;1200;20;18.5;87;968.3;0;0;7;
83264;18/08/1972;1800;32;26;63;967.4;9;3;5;
83264;19/08/1972;0000;24.5;20.1;68;968.2;0;0;0;
83264;19/08/1972;1200;23;20;76;969.5;0;0;0;
83264;19/08/1972;1800;31.5;24;55;967;9;3;3;
83264;20/08/1972;0000;22.2;22;98;968;0;0;0;
83264;20/08/1972;1200;22;18;69;969.4;0;0;3;
83264;20/08/1972;1800;32;24;52;967.8;9;1;3;
83264;21/08/1972;0000;23;22;92;967.2;0;0;0;
83264;21/08/1972;1200;24;20.5;74;968;0;0;0;
83264;21/08/1972;1800;33;28;68;966.2;0;0;2;
83264;22/08/1972;0000;24;23;92;967.9;0;0;0;
83264;22/08/1972;1200;23.5;21.5;84;968.4;0;0;0;
83264;22/08/1972;1800;33.5;26;57;966;0;0;4;
83264;23/08/1972;0000;24.2;24;98;966.2;0;0;0;
83264;23/08/1972;1200;24.5;22;80;968.7;0;0;0;
83264;23/08/1972;1800;32.5;27;66;964.8;9;1;7;
83264;24/08/1972;0000;25;23.9;91;965;0;0;7;
83264;24/08/1972;1200;24;21.5;80;966.7;0;0;5;
83264;24/08/1972;1800;26.8;24.7;84;965.9;9;3;10;
83264;25/08/1972;0000;22.8;22.5;97;965.9;0;0;10;
83264;25/08/1972;1200;21.8;21;93;967.9;0;0;7;
83264;25/08/1972;1800;32;27;68;965.9;0;0;8;
83264;26/08/1972;0000;24.1;23.5;95;965.9;14;1;10;
83264;26/08/1972;1200;22.4;21.5;92;967.8;0;0;5;
83264;26/08/1972;1800;31.8;25;59;965.9;9;3;7;
83264;27/08/1972;0000;23.9;22.4;88;965;0;0;4;
83264;27/08/1972;1200;21.5;19.4;83;968.6;0;0;5;
83264;27/08/1972;1800;31.4;24.2;56;964;0;0;6;
83264;28/08/1972;0000;24.4;22.6;86;964.4;0;0;0;
83264;28/08/1972;1200;23.6;21.8;86;966.6;0;0;4;
83264;28/08/1972;1800;31.1;23.4;53;964.3;14;1;7;
83264;29/08/1972;0000;24.7;22.5;83;964.6;0;0;3;
83264;29/08/1972;1200;22.9;20.6;81;966.3;14;1;4;
83264;29/08/1972;1800;32.6;22.1;41;964.7;14;3;5;
83264;30/08/1972;0000;24.5;22.5;84;965.1;0;0;0;
83264;30/08/1972;1200;22.6;20.4;82;968.8;23;3;3;
83264;30/08/1972;1800;28.5;21.5;54;966.2;18;5;4;
83264;31/08/1972;0000;23.5;19.7;72;965.9;23;3;5;
83264;31/08/1972;1200;14.8;13.1;84;964.5;23;3;5;
83264;31/08/1972;1800;24.8;18.3;55;967.4;23;5;6;
83264;01/09/1972;0000;19.5;16.4;75;968.4;18;4;10;
83264;01/10/1972;1200;25.7;23.5;83;965.2;9;2;6;
83264;01/10/1972;1800;33;25;53;962.7;32;5;7;
83264;02/10/1972;0000;26.1;24.3;86;963.4;0;0;0;
83264;02/10/1972;1200;25.9;23.2;80;965.8;36;2;4;
83264;02/10/1972;1800;32.6;26;61;963.2;27;5;8;
83264;03/10/1972;0000;27;23.8;77;964;23;1;0;
83264;03/10/1972;1200;25.9;23.2;80;966.2;5;4;4;
83264;03/10/1972;1800;32.1;24.7;56;962.3;32;3;8;
83264;04/10/1972;0000;26.7;24.1;81;963.2;0;0;0;
83264;04/10/1972;1200;25.4;23;82;965.9;14;2;9;
83264;04/10/1972;1800;30.1;25;67;963.6;32;4;10;
83264;05/10/1972;0000;24;22;84;966.7;18;3;10;
83264;05/10/1972;1200;21.6;20.6;92;970.3;18;3;10;
83264;05/10/1972;1800;26.7;22.9;73;967.6;18;3;10;
83264;06/10/1972;0000;24.4;23.6;94;966.7;18;1;0;
83264;06/10/1972;1200;24;22.1;85;968.8;18;3;10;
83264;06/10/1972;1800;29.2;25;71;965.9;27;4;9;
83264;07/10/1972;0000;23.3;23;97;967.4;9;3;10;
83264;07/10/1972;1200;22.7;22;94;969.6;9;2;10;
83264;07/10/1972;1800;29.3;24;65;967.6;9;1;10;
83264;08/10/1972;0000;24.3;23.3;92;967.2;0;0;0;
83264;08/10/1972;1200;25.6;23;80;968.7;18;2;3;
83264;08/10/1972;1800;33.3;25.6;55;966;18;2;7;
83264;09/10/1972;0000;25;23.8;91;965.8;18;2;0;
83264;09/10/1972;1200;23.3;22.6;94;968;18;3;10;
83264;09/10/1972;1800;24.1;23;91;966;27;3;10;
83264;10/10/1972;0000;22.8;22.4;97;965.6;23;3;10;
83264;10/10/1972;1200;24;23;92;967;5;1;9;
83264;10/10/1972;1800;24.9;23.1;86;964.2;36;5;10;
83264;11/10/1972;0000;24.7;24.1;95;964.6;14;2;10;
83264;11/10/1972;1200;24.4;23;89;967.8;32;4;10;
83264;11/10/1972;1800;25;23.8;91;963.9;5;4;10;
83264;12/10/1972;0000;21.5;21;96;967.5;0;0;10;
83264;12/10/1972;1200;20.6;20.1;96;967.4;14;2;10;
83264;12/10/1972;1800;29.4;23.7;63;964.8;36;1;8;
83264;13/10/1972;0000;25;24.5;96;964.6;0;0;10;
83264;13/10/1972;1200;23.7;23.2;96;966.8;9;3;9;
83264;13/10/1972;1800;32;25;58;964.4;5;4;7;
83264;14/10/1972;0000;25;24;92;965.6;14;2;0;
83264;14/10/1972;1200;25.3;23;82;967.5;14;4;5;
83264;14/10/1972;1800;33.9;25.2;51;966.7;32;3;7;
83264;15/10/1972;0000;27.7;24.2;75;967.9;14;4;5;
83264;15/10/1972;1200;23.8;23;94;969.5;23;2;9;
83264;15/10/1972;1800;31;25;62;966.4;36;3;5;
83264;16/10/1972;0000;21.9;21.6;97;970;0;0;0;
83264;16/10/1972;1200;21.7;21.3;97;971.1;14;2;10;
83264;16/10/1972;1800;28.8;23.8;67;969.2;32;3;9;
83264;17/10/1972;0000;23.9;23.6;98;969.4;0;0;8;
83264;17/10/1972;1200;25.4;22.4;77;969.6;14;3;4;
83264;17/10/1972;1800;32.6;24.7;54;968;14;1;5;
83264;18/10/1972;0000;24.3;23.2;91;969.2;14;2;6;
83264;18/10/1972;1200;24.9;22.2;79;970.3;18;4;8;
83264;18/10/1972;1800;32.6;23.8;49;968;32;4;5;
83264;19/10/1972;0000;25.2;23.1;84;967.6;18;1;3;
83264;19/10/1972;1200;24.8;22.2;80;969.6;36;4;4;
83264;19/10/1972;1800;31;23.8;56;965.9;5;5;5;
83264;20/10/1972;0000;21.9;21.8;99;967.8;0;0;10;
83264;20/10/1972;1200;24.1;22.8;90;968.7;18;2;4;
83264;20/10/1972;1800;33.2;24.8;51;965.8;18;3;7;
83264;21/10/1972;0000;22;21.5;96;966.8;9;3;8;
83264;21/10/1972;1200;24.8;22.7;84;968.7;14;2;4;
83264;21/10/1972;1800;33.8;24;45;966;14;3;5;
83264;22/10/1972;0000;25.6;23.7;86;965.1;0;0;3;
83264;22/10/1972;1200;26.8;23.4;75;968.3;14;2;5;
83264;22/10/1972;1800;35;23.3;38;967.4;9;4;8;
83264;23/10/1972;0000;25.9;23.4;81;965.8;0;0;3;
83264;23/10/1972;1200;27.5;22.7;68;969;14;3;3;
83264;23/10/1972;1800;34;24.2;45;966.3;9;4;7;
83264;24/10/1972;0000;25.9;24.5;89;966.6;0;0;6;
83264;24/10/1972;1200;24.3;22.5;86;971;23;2;9;
83264;24/10/1972;1800;33.3;24.7;50;966.2;14;3;7;
83264;25/10/1972;0000;25;23;84;966.2;14;2;0;
83264;25/10/1972;1200;25.3;23;82;967.2;18;3;9;
83264;25/10/1972;1800;34.5;25.6;50;963.2;27;4;9;
83264;26/10/1972;0000;23;22.8;98;965;0;0;0;
83264;26/10/1972;1200;23.6;22.7;93;967.2;32;3;9;
83264;26/10/1972;1800;33;24.5;51;963.2;32;4;7;
83264;27/10/1972;0000;25.6;24.3;90;964.4;14;3;4;
83264;27/10/1972;1200;23.4;23.2;98;968.3;36;5;10;
83264;27/10/1972;1800;28.8;25.5;77;965.8;9;3;7;
83264;28/10/1972;0000;25.5;25.2;98;965.2;14;1;0;
83264;28/10/1972;1200;23.9;23.2;94;967.4;18;2;6;
83264;28/10/1972;1800;31.9;24.3;55;963.5;27;2;8;
83264;29/10/1972;0000;23;22.9;99;965.1;0;0;0;
83264;29/10/1972;1200;21;20.9;99;967.8;18;1;10;
83264;29/10/1972;1800;26.1;23.2;78;963.8;14;2;8;
83264;30/10/1972;0000;24.3;24.2;99;963.6;14;1;0;
83264;30/10/1972;1200;25.5;23.9;88;965;14;1;2;
83264;30/10/1972;1800;32.7;24.9;54;962.4;27;3;8;
83264;31/10/1972;0000;22.8;22.7;99;963.9;5;5;0;
83264;31/10/1972;1200;21.8;21.5;97;968;9;3;10;
83264;31/10/1972;1800;25.8;23.9;86;963.6;14;3;9;
