<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83267</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO JOSE DO RIO CLARO - MT (OMM: 83267)
Latitude  (graus) : -13.43
Longitude (graus) : -56.71
Altitude  (metros): 350.00
Esta��o Operante
Inicio de opera��o: 14/03/1990
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83267;01/04/1995;1200;23.4;23.3;99;963.9;;;;
83267;02/04/1995;1200;23.7;23.5;98;965;;;;
83267;02/04/1995;1800;28.9;26.1;79;960.9;;;;
83267;03/04/1995;0000;28.3;25.7;80;962.6;;;;
83267;03/04/1995;1200;24.1;23.1;90;965.1;;;;
83267;03/04/1995;1800;28.3;25.9;82;961.7;;;;
83267;04/04/1995;0000;27.9;25.2;81;959.8;;;;
83267;04/04/1995;1200;24.7;23.7;91;963.9;;;;
83267;04/04/1995;1800;29.9;25.5;70;963.3;;;;
83267;05/04/1995;1200;23.7;23.5;98;964.1;;;;
83267;05/04/1995;1800;27.1;24.1;77;962.5;;;;
83267;06/04/1995;1200;24.9;23.7;90;964.9;;;;
83267;06/04/1995;1800;26.3;25.3;91;961.8;;;;
83267;07/04/1995;1200;24.5;23.5;93;964.7;;;;
83267;08/04/1995;1200;23.7;23.7;99;963.6;;;;
83267;08/04/1995;1800;29.3;27.1;85;959.5;;;;
83267;09/04/1995;0000;27.9;25.7;84;961.3;;;;
83267;09/04/1995;1200;24.1;23.7;95;963.3;;;;
83267;09/04/1995;1800;29.9;27.5;83;961.1;;;;
83267;10/04/1995;0000;27.9;26.5;90;963.4;;;;
83267;10/04/1995;1200;24.1;23.9;97;964.2;;;;
83267;10/04/1995;1800;31.1;26.1;65;960.4;;;;
83267;11/04/1995;1200;25.1;24.1;90;964.9;;;;
83267;11/04/1995;1800;27.3;25.7;88;962;;;;
83267;13/04/1995;1800;;24.5;64;961.1;;;;
83267;14/04/1995;0000;23.3;22.2;90;962.1;;;;
83267;14/04/1995;1200;24.5;21.8;79;964.8;;;;
83267;15/04/1995;0000;31.9;28.1;73;963.4;;;;
83267;15/04/1995;1200;23.9;23.5;97;965.1;;;;
83267;15/04/1995;1800;31.9;26.7;65;964;;;;
83267;16/04/1995;0000;26.3;24.9;88;962.9;;;;
83267;16/04/1995;1800;31.1;27.1;72;962.9;;;;
83267;17/04/1995;1200;25.5;24.5;93;965.1;;;;
83267;17/04/1995;1800;24.3;23.9;96;961.4;;;;
83267;18/04/1995;1200;22.7;22.2;95;962.4;;;;
83267;19/04/1995;1200;23.9;23.5;97;965.2;;;;
83267;19/04/1995;1800;23.9;23.1;94;963.7;;;;
83267;20/04/1995;0000;25.9;25.5;96;962.5;;;;
83267;20/04/1995;1200;21.9;21.8;98;965.4;;;;
83267;20/04/1995;1800;31.3;26.1;65;961.5;;;;
83267;21/04/1995;1200;19.3;19.2;99;966.6;;;;
83267;21/04/1995;1800;;;90;964.3;;;;
83267;22/04/1995;0000;18.9;18.2;93;966.1;;;;
83267;22/04/1995;1200;17.1;16.6;94;964.7;;;;
83267;22/04/1995;1800;23.9;21.2;78;962.7;;;;
83267;23/04/1995;0000;22.9;22.2;94;965.5;;;;
83267;23/04/1995;1200;18.7;18.8;100;966.8;;;;
83267;24/04/1995;1200;22.9;21.2;85;967;;;;
83267;26/04/1995;0000;26.5;25.9;95;961.4;;;;
83267;26/04/1995;1200;21.9;21.6;97;964.1;;;;
83267;26/04/1995;1800;24.3;23.9;96;962.5;;;;
83267;27/04/1995;0000;26.7;26.5;99;961.8;;;;
83267;27/04/1995;1200;21.9;22;100;962.1;;;;
83267;27/04/1995;1800;31.9;26.9;66;961.1;;;;
83267;28/04/1995;0000;26.7;25.5;91;963.2;;;;
83267;28/04/1995;1200;22.7;22.2;95;962;;;;
83267;28/04/1995;1800;32.3;27.1;66;964.3;;;;
83267;29/04/1995;0000;26.7;25.3;90;972.1;;;;
83267;29/04/1995;1200;24.9;23.7;90;961.8;;;;
83267;29/04/1995;1800;32.9;27.1;62;963.5;;;;
83267;30/04/1995;0000;25.3;24.3;91;961.4;;;;
83267;01/05/1995;1200;22.5;18.8;69;965.2;;;;
83267;01/05/1995;1800;29.7;25.5;70;963.4;;;;
83267;02/05/1995;1200;21.9;22;100;966.3;;;;
83267;02/05/1995;1800;;;71;962.3;;;;
83267;03/05/1995;0000;27.5;24.5;76;962.6;;;;
83267;03/05/1995;1200;22.5;22.2;98;965.5;;;;
83267;03/05/1995;1800;31.3;25.9;64;963.5;;;;
83267;04/05/1995;1200;22.5;22.3;98;965.2;;;;
83267;04/05/1995;1800;27.1;27.1;100;961.7;;;;
83267;05/05/1995;0000;28.3;25.5;79;964.8;;;;
83267;05/05/1995;1200;22.7;22.7;99;964.7;;;;
