<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83288</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : BOM JESUS DA LAPA - BA (OMM: 83288)
Latitude  (graus) : -13.26
Longitude (graus) : -43.41
Altitude  (metros): 439.96
Esta��o Operante
Inicio de opera��o: 01/11/1941
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83288;11/09/1969;1200;26.6;18.6;45;966.2;14;1;0;
83288;11/09/1969;1800;34.6;19;18;960.6;0;0;0;
83288;12/09/1969;0000;27.2;16.8;31;962.4;0;0;;
83288;12/09/1969;1200;26.7;17.6;38;965.9;18;1;6;
83288;12/09/1969;1800;34.8;18.6;16;960.8;0;0;6;
83288;13/09/1969;0000;24.3;15.6;36;962.4;0;0;0;
83288;13/09/1969;1200;24.8;17.8;48;963.8;0;0;9;
83288;13/09/1969;1800;35.8;19.1;15;964.7;27;2;1;
83288;14/09/1969;0000;27.3;16.2;27;962.6;9;1;0;
83288;14/09/1969;1200;26;18.7;48;965.2;9;1;1;
83288;14/09/1969;1800;34.5;19;18;959.5;0;0;0;
83288;15/09/1969;0000;25.5;16;33;961.5;0;0;0;
83288;15/09/1969;1200;26.3;19.2;49;963.5;9;5;4;
83288;15/09/1969;1800;34.7;19;18;958.4;0;0;0;
83288;16/09/1969;0000;24.6;14.8;30;958;0;0;0;
83288;16/09/1969;1200;26.7;17.5;37;963.6;18;1;0;
83288;16/09/1969;1800;35.2;19.4;19;944.3;23;2;4;
83288;17/09/1969;0000;26.2;16.3;32;959.4;0;0;0;
83288;17/09/1969;1200;25.8;18.5;47;962.8;9;2;8;
83288;17/09/1969;1800;34.5;19.2;19;943.9;23;2;7;
83288;18/09/1969;0000;26.3;17.6;40;961.1;0;0;;
83288;18/09/1969;1200;26.2;18.7;47;963;14;5;0;
83288;18/09/1969;1800;33.9;20.2;25;958.3;9;1;5;
83288;19/09/1969;0000;27.4;18.9;42;960.4;9;2;0;
83288;19/09/1969;1200;27;19.4;47;963.2;9;2;0;
83288;19/09/1969;1800;34.4;20.1;23;954.3;18;1;9;
83288;20/09/1969;0000;28.6;18.6;36;959.9;9;1;0;
83288;20/09/1969;1200;27.2;19.2;45;962.2;9;2;0;
83288;20/09/1969;1800;34.4;21.2;28;957.1;0;0;7;
83288;21/09/1969;0000;28.9;19.3;37;959;9;2;10;
83288;21/09/1969;1200;24.8;20.2;65;962.3;18;1;10;
83288;21/09/1969;1800;30.8;20.6;37;958.8;23;1;10;
83288;22/09/1969;0000;26.7;20;52;961.5;18;2;10;
83288;22/09/1969;1200;22.2;20.9;88;964;18;1;9;
83288;22/09/1969;1800;26.1;21.4;64;960.7;0;0;10;
83288;23/09/1969;0000;23;21;83;962.7;0;0;9;
83288;23/09/1969;1200;26;20.2;58;965;0;0;5;
83288;23/09/1969;1800;31;21;38;960.2;5;1;6;
83288;24/09/1969;0000;25;19;55;962.3;0;0;4;
83288;24/09/1969;1200;26.2;18.5;45;964.2;0;0;0;
83288;24/09/1969;1800;34.3;20;23;957.6;0;0;6;
83288;25/09/1969;0000;26;19.4;52;960.6;9;1;9;
83288;25/09/1969;1200;26.1;19.7;53;963.2;0;0;9;
83288;25/09/1969;1800;33.6;20;25;957.8;14;1;8;
83288;26/09/1969;0000;26.6;18.6;45;959.8;0;0;1;
83288;26/09/1969;1200;26.6;19.9;52;961.6;0;0;4;
83288;26/09/1969;1800;32.6;19.8;27;956.4;23;2;6;
83288;27/09/1969;0000;27.9;18.2;35;957.8;0;0;6;
83288;27/09/1969;1200;26.9;19.2;46;960.7;14;2;0;
83288;27/09/1969;1800;33.7;19.6;23;954.6;23;3;7;
83288;28/09/1969;0000;28.2;18.6;37;958;0;0;0;
83288;28/09/1969;1200;28.5;18.3;34;959.5;14;1;0;
83288;28/09/1969;1800;35.2;18.7;16;953.5;18;1;8;
83288;29/09/1969;0000;28.9;17.3;27;957.1;0;0;4;
83288;29/09/1969;1200;27.8;17.6;33;960.6;9;1;1;
83288;29/09/1969;1800;36;21.2;24;954.7;0;0;0;
83288;30/09/1969;0000;28.7;16;21;956.3;0;0;0;
83288;30/09/1969;1200;27.6;18.2;37;959.6;0;0;0;
83288;30/09/1969;1800;36.7;19.3;15;955.2;27;5;4;
83288;01/10/1969;0000;28.2;16.4;25;956.8;14;2;0;
83288;01/10/1969;1200;29.6;20.8;44;959.8;0;0;0;
83288;01/10/1969;1800;37.5;19.5;14;954.4;0;0;5;
83288;02/10/1969;0000;29.2;17.2;25;957;0;0;0;
83288;02/10/1969;1200;28.9;19.9;40;959.8;14;1;0;
83288;02/10/1969;1800;37.2;20.2;17;954;14;2;4;
83288;03/10/1969;0000;29.8;18.8;32;957.5;5;3;0;
83288;03/10/1969;1200;28.1;18;34;959.5;5;2;0;
83288;03/10/1969;1800;37.4;18.4;20;953.1;0;0;0;
83288;04/10/1969;0000;27.5;14.1;15;955.9;0;0;0;
83288;04/10/1969;1200;29.6;19.6;37;960.2;0;0;0;
83288;04/10/1969;1800;36.9;19.6;15;954.7;0;0;1;
83288;05/10/1969;0000;26.8;17.2;35;955.2;0;0;0;
83288;05/10/1969;1200;30.2;20.8;41;958.7;0;0;0;
83288;05/10/1969;1800;37.3;20.5;17;954.2;27;2;5;
83288;06/10/1969;0000;30.6;18.5;27;956.8;0;0;0;
83288;06/10/1969;1200;29.2;19;35;959.6;0;0;0;
83288;06/10/1969;1800;37.8;19.6;13;955.1;14;1;4;
83288;07/10/1969;0000;28.2;14.8;16;957;0;0;0;
83288;07/10/1969;1200;28.8;19;37;960.3;0;0;0;
83288;07/10/1969;1800;37.2;18.4;11;956.6;23;2;0;
83288;08/10/1969;0000;28.5;18;32;959.8;0;0;0;
83288;08/10/1969;1200;28.8;19.8;41;963.2;9;2;1;
83288;08/10/1969;1800;35;19.7;20;957.6;14;4;6;
83288;09/10/1969;0000;28.2;18.4;35;960.7;0;0;0;
83288;09/10/1969;1200;27.7;20.3;49;964.4;9;7;4;
83288;09/10/1969;1800;32;20.9;34;959.8;9;7;5;
83288;10/10/1969;0000;24.6;18.5;54;962.2;14;1;0;
83288;10/10/1969;1200;26.4;18.7;46;965.2;9;4;9;
83288;10/10/1969;1800;34.7;19;18;958.2;0;0;5;
83288;11/10/1969;0000;26.8;16.8;33;959.5;0;0;0;
83288;11/10/1969;1200;28.7;19.2;38;962.4;0;0;5;
83288;11/10/1969;1800;35.8;19.6;17;957;0;0;4;
83288;12/10/1969;0000;26;16;31;950;0;0;2;
83288;12/10/1969;1200;30.1;19.4;34;961.5;27;1;0;
83288;12/10/1969;1800;35.1;20.5;23;957;0;0;6;
83288;13/10/1969;0000;29.4;19.6;37;958.3;18;1;9;
83288;13/10/1969;1200;21.7;20;85;962.3;18;2;10;
83288;13/10/1969;1800;28.1;20.9;50;958.2;0;0;9;
83288;14/10/1969;0000;26.4;21.4;63;960.7;23;2;10;
83288;14/10/1969;1200;25.6;21;65;962.7;27;1;10;
83288;14/10/1969;1800;27.9;21.9;58;959.6;23;1;10;
83288;15/10/1969;0000;22.2;19.6;78;961.2;0;0;10;
83288;15/10/1969;1200;22.5;21.2;89;962.8;0;0;10;
83288;15/10/1969;1800;25.4;20.8;66;959.1;0;0;10;
83288;16/10/1969;0000;24.2;21.6;79;960.7;0;0;10;
83288;16/10/1969;1200;27.6;22.6;64;961;27;2;1;
83288;16/10/1969;1800;35.6;21.8;27;955.2;23;2;9;
83288;17/10/1969;0000;22.4;21.2;90;959.9;14;3;10;
83288;17/10/1969;1200;25.7;21;65;962.3;36;2;3;
83288;17/10/1969;1800;34.7;21;26;956.6;0;0;7;
83288;18/10/1969;0000;27.6;21.2;55;961.2;18;3;10;
83288;18/10/1969;1200;26.3;21.2;62;964.4;14;2;8;
83288;18/10/1969;1800;22;20.8;89;963.9;18;5;10;
83288;19/10/1969;0000;21.7;20.8;92;964.4;0;0;10;
83288;19/10/1969;1200;23.5;20.8;77;965.2;14;2;10;
83288;19/10/1969;1800;25.7;22.2;74;960.8;9;3;9;
83288;20/10/1969;0000;26.9;21.3;60;961.2;0;0;9;
83288;20/10/1969;1200;27.7;20.2;48;962;36;1;5;
83288;20/10/1969;1800;34.1;21.4;30;956.7;0;0;8;
83288;21/10/1969;0000;26.1;22;69;961.1;9;5;6;
83288;21/10/1969;1200;28.6;21.2;50;960;14;6;8;
83288;21/10/1969;1800;34.7;20.8;25;957.4;14;5;6;
83288;22/10/1969;0000;27.4;17.1;32;960.7;0;0;0;
83288;22/10/1969;1200;27.7;19.5;44;964.3;14;2;0;
83288;22/10/1969;1800;35.6;19.6;18;958.8;0;0;1;
83288;23/10/1969;0000;27;16.3;29;960.7;0;0;3;
83288;23/10/1969;1200;27.8;20.1;48;962.3;14;1;4;
83288;23/10/1969;1800;34.8;20.2;23;957.1;0;0;9;
83288;24/10/1969;0000;27.2;18.8;43;957;14;2;5;
83288;24/10/1969;1200;29.4;21;45;960.6;27;3;0;
83288;24/10/1969;1800;36.7;21;21;954.4;18;5;4;
83288;25/10/1969;0000;29.2;19.9;39;956.8;0;0;5;
83288;25/10/1969;1200;29.2;20.6;44;959.5;9;1;4;
83288;25/10/1969;1800;33.6;21.2;30;955;14;3;9;
83288;26/10/1969;0000;26.8;19.8;51;957.1;0;0;3;
83288;26/10/1969;1200;27.8;20.2;48;960.3;18;1;9;
83288;26/10/1969;1800;32.2;20.4;31;957;0;0;8;
83288;27/10/1969;0000;27.5;21.6;58;960.7;27;3;10;
