<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83295</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ITIRUCU  JAGUAQUARA  - BA (OMM: 83295)
Latitude  (graus) : -13.35
Longitude (graus) : -40.11
Altitude  (metros): 755.61
Esta��o Operante
Inicio de opera��o: 01/08/1941
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83295;01/01/1961;1200;23.6;23;95;939.5;14;4;8;
83295;01/01/1961;1800;29;26;78;936.2;14;2;6;
83295;02/01/1961;0000;24.6;23.4;90;937.9;0;0;4;
83295;02/01/1961;1200;25.2;23;82;939.5;14;2;8;
83295;02/01/1961;1800;27.2;26;91;935.1;14;6;8;
83295;03/01/1961;0000;24;23.6;97;936.6;0;0;4;
83295;03/01/1961;1200;24.6;23.4;90;939.4;14;4;4;
83295;03/01/1961;1800;28.6;26.6;85;935.1;14;2;6;
83295;04/01/1961;0000;23.4;22;88;937.9;14;2;4;
83295;04/01/1961;1200;23;22;91;939.5;14;4;10;
83295;04/01/1961;1800;28;27;92;933.6;0;0;6;
83295;05/01/1961;0000;24.4;23.2;90;935.1;14;2;7;
83295;05/01/1961;1200;24;23.6;97;936.7;14;4;10;
83295;05/01/1961;1800;29.6;28.6;93;935.1;5;4;8;
83295;06/01/1961;0000;25;24;92;936.6;0;0;8;
83295;06/01/1961;1200;24.6;23;87;936.8;14;2;4;
83295;06/01/1961;1800;29;28;92;935.1;0;0;7;
83295;07/01/1961;0000;23.6;22.4;90;936.7;14;2;6;
83295;07/01/1961;1200;25;23.6;89;938.2;14;4;7;
83295;07/01/1961;1800;29;28.6;97;935;14;4;8;
83295;08/01/1961;0000;24;23;91;936.6;0;0;7;
83295;08/01/1961;1200;24.4;23;88;938.2;14;2;4;
83295;08/01/1961;1800;28.4;27;89;933.6;14;2;7;
83295;09/01/1961;0000;24.6;24;95;936.6;14;4;6;
83295;09/01/1961;1200;25;24;92;938;14;2;6;
83295;09/01/1961;1800;29.6;28;88;935;14;2;8;
83295;10/01/1961;0000;22.4;21.6;93;936.6;14;2;5;
83295;10/01/1961;1200;23;22;91;938.2;14;4;8;
83295;10/01/1961;1800;28.6;27;88;935;14;2;8;
83295;11/01/1961;0000;21.4;20.6;93;936.7;0;0;10;
83295;11/01/1961;1200;21;20;91;938.3;14;2;10;
83295;11/01/1961;1800;28.6;27;88;936.4;0;0;8;
83295;12/01/1961;0000;23.4;22;88;938;0;0;10;
83295;12/01/1961;1200;23;22;91;939.5;14;4;10;
83295;12/01/1961;1800;27;26;92;935.1;14;4;8;
83295;13/01/1961;0000;23.6;22.4;90;936.7;14;2;10;
83295;13/01/1961;1200;24;23;91;937.8;14;4;6;
83295;13/01/1961;1800;28;27;92;935.2;0;0;7;
83295;14/01/1961;0000;24.4;23.6;94;936.6;14;2;8;
83295;14/01/1961;1200;24.6;22;79;938;14;2;8;
83295;14/01/1961;1800;26;25;92;935.1;14;6;6;
83295;15/01/1961;0000;25;23.6;89;936.6;14;2;9;
83295;15/01/1961;1200;25.4;24;89;939.4;14;2;8;
83295;15/01/1961;1800;29.6;27;81;936.3;0;0;7;
83295;16/01/1961;0000;24.2;23;90;938.2;14;2;6;
83295;16/01/1961;1200;24.6;23.8;93;939.4;0;0;8;
83295;16/01/1961;1800;26.8;25;86;937.8;14;4;7;
83295;17/01/1961;0000;23;22.4;95;939.2;0;0;10;
83295;17/01/1961;1200;23.6;22.6;92;939.5;14;2;10;
83295;17/01/1961;1800;23.4;22.8;94;938.2;14;4;10;
83295;18/01/1961;0000;23.2;22.6;95;939.5;0;0;8;
83295;18/01/1961;1200;24;22;83;942.2;14;4;8;
