<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83309</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : DIAMANTINO - MT (OMM: 83309)
Latitude  (graus) : -14.4
Longitude (graus) : -56.45
Altitude  (metros): 286.30
Esta��o Operante
Inicio de opera��o: 01/01/1932
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83309;01/01/1961;1200;24.5;22.6;84;978.6;23;1;1;
83309;01/01/1961;1800;27.6;23.6;70;976.2;32;2;1;
83309;02/01/1961;0000;24.4;23.7;95;975.6;36;1;5;
83309;02/01/1961;1200;25.8;23.8;84;978;0;0;1;
83309;02/01/1961;1800;32;25.6;59;974.6;36;1;9;
83309;03/01/1961;0000;25.8;24.1;87;975.5;18;1;1;
83309;03/01/1961;1200;24.6;23;87;978.3;0;0;1;
83309;03/01/1961;1800;27.8;23.3;67;975.1;36;6;1;
83309;04/01/1961;0000;23.6;23.2;97;975;0;0;8;
83309;04/01/1961;1200;25.4;23.2;83;977.4;36;1;1;
83309;04/01/1961;1800;24.1;22.9;89;975.6;0;0;1;
83309;05/01/1961;0000;22.8;22.1;94;974.3;0;1;8;
83309;05/01/1961;1200;22;21.4;94;976.4;36;3;1;
83309;05/01/1961;1800;29.7;25.2;68;974.6;5;1;1;
83309;06/01/1961;0000;24.2;22.9;89;972.8;36;0;3;
83309;06/01/1961;1200;24.4;23.2;90;978.2;32;1;9;
83309;06/01/1961;1800;28.6;23.9;65;975.4;32;3;1;
83309;07/01/1961;0000;24;23;91;976.3;0;3;4;
83309;07/01/1961;1200;27.2;24.1;77;977.2;36;1;1;
83309;07/01/1961;1800;31.5;25;57;974.2;27;1;1;
83309;08/01/1961;0000;25.5;24.2;90;975.2;36;1;1;
83309;08/01/1961;1200;24.6;23.4;90;976;0;0;1;
83309;08/01/1961;1800;26.7;24.7;84;974.7;0;0;1;
83309;09/01/1961;0000;23;22.7;98;975;9;0;1;
83309;09/01/1961;1200;24.2;23.2;92;977.6;0;0;1;
