<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83319</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : NOVA XAV  XAVANTINA  - MT (OMM: 83319)
Latitude  (graus) : -14.7
Longitude (graus) : -52.35
Altitude  (metros): 316.00
Esta��o Operante
Inicio de opera��o: 05/08/1987
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83319;01/02/1995;1200;24;23.8;98;969.6;0;0;10;
83319;01/02/1995;1800;30;27;79;966;36;1;7;
83319;02/02/1995;0000;23.8;23.6;98;969.2;0;0;0;
83319;02/02/1995;1200;24;23.6;97;969.3;0;0;10;
83319;02/02/1995;1800;30.4;27;76;965;36;1;6;
83319;03/02/1995;0000;23.8;23.6;98;968.4;0;0;10;
83319;03/02/1995;1200;24.6;23.8;93;968.3;0;0;10;
83319;03/02/1995;1800;29.2;26.2;78;965.5;23;2.5;9;
83319;04/02/1995;0000;24.6;24.4;98;966.3;0;0;10;
83319;06/02/1995;1200;24.6;23.8;93;969.4;36;1.5;10;
83319;06/02/1995;1800;25.8;24.8;92;968.3;36;2;8;
83319;07/02/1995;0000;23.4;23.2;98;969.3;0;0;10;
83319;08/02/1995;1200;21.8;21.6;98;972.5;0;0;10;
83319;08/02/1995;1800;28.2;25.2;78;970.3;36;1;9;
83319;09/02/1995;0000;24.6;24.2;97;970.6;0;0;10;
83319;11/02/1995;1200;24.8;24;93;970.6;36;1.5;10;
83319;11/02/1995;1800;24.2;23.8;97;969.3;0;0;9;
83319;12/02/1995;0000;23.4;23.2;98;969.8;0;0;5;
83319;13/02/1995;1200;25.2;23.4;85;970.5;32;2;9;
83319;13/02/1995;1800;24.6;23.8;93;967.5;0;0;9;
83319;14/02/1995;0000;24;23.8;98;968.3;0;0;3;
83319;14/02/1995;1200;23.4;23;97;971.5;0;0;10;
83319;14/02/1995;1800;28;25.4;80;967.2;0;0;7;
83319;15/02/1995;0000;26;25.2;93;968.7;0;0;10;
83319;15/02/1995;1200;25.2;24;90;970.3;27;2;8;
