<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83334</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : FORMOSO - MG (OMM: 83334)
Latitude  (graus) : -14.93
Longitude (graus) : -46.25
Altitude  (metros): 840.00
Esta��o Operante
Inicio de opera��o: 03/04/1976
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83334;01/05/1976;1200;24.5;23.4;91;;14;4;9;
83334;01/05/1976;1800;27.7;22.9;68;;14;5;7;
83334;02/05/1976;0000;20.6;19.3;89;;0;0;1;
83334;02/05/1976;1200;23.1;23;99;;14;5;7;
83334;02/05/1976;1800;26;22.5;75;;9;5;9;
83334;03/05/1976;0000;19.5;18.4;90;;14;1;2;
83334;03/05/1976;1200;19.3;17.4;84;;14;2;10;
83334;03/05/1976;1800;23.2;19.8;74;;9;5;10;
83334;04/05/1976;0000;19.4;17.9;88;;18;1;4;
83334;04/05/1976;1200;19.6;18;87;;9;5;10;
83334;04/05/1976;1800;21.5;18.6;77;;5;2;10;
83334;05/05/1976;0000;17;16.2;92;;9;1;10;
83334;05/05/1976;1200;16.6;16.4;98;;0;0;10;
83334;05/05/1976;1800;18.5;17.9;94;;14;1;10;
83334;06/05/1976;0000;17.2;17;98;;14;1;10;
83334;06/05/1976;1200;17.9;17.1;92;;14;1;10;
83334;06/05/1976;1800;23.4;20.4;77;;14;2;9;
83334;07/05/1976;0000;18.7;18.1;95;;14;2;7;
83334;07/05/1976;1200;22.2;19.8;81;;14;3;5;
83334;07/05/1976;1800;27.6;24.3;78;;14;1;6;
83334;08/05/1976;0000;20.8;19;86;;18;1;0;
83334;08/05/1976;1200;24.2;21.2;78;;14;3;1;
83334;08/05/1976;1800;29.6;26.8;82;;14;2;3;
83334;09/05/1976;0000;21.1;18.9;82;;18;2;0;
83334;09/05/1976;1200;25.3;23;83;;18;2;1;
83334;09/05/1976;1800;29.7;25.6;73;;18;2;2;
83334;10/05/1976;0000;20.5;18.1;80;;0;0;1;
