<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83348</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ILHEUS - BA (OMM: 83348)
Latitude  (graus) : -14.8
Longitude (graus) : -39.06
Altitude  (metros): 60.21
Esta��o Fechada
Inicio de opera��o: 01/01/1909
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83348;01/01/1961;1200;28.4;25.1;76;1005;23;1.5;8;
83348;01/01/1961;1800;27.8;24.5;75;1003.2;14;2;9;
83348;02/01/1961;0000;26.1;23.5;79;1004.4;14;3.3;7;
83348;02/01/1961;1200;26.8;24.5;82;1005.8;14;1.5;9;
83348;02/01/1961;1800;27.7;24.7;77;1004.3;5;1.5;9;
83348;03/01/1961;0000;25.6;24.2;89;1005.6;0;0;10;
83348;03/01/1961;1200;27.2;24.1;77;1006.4;9;1.5;9;
83348;03/01/1961;1800;26.8;24.1;79;1002.7;14;2;9;
83348;04/01/1961;0000;24.8;23.5;90;1006.2;23;1.5;8;
83348;04/01/1961;1200;27;24.5;81;1005.1;14;1.5;9;
83348;04/01/1961;1800;27.4;25;81;1002.6;23;2;8;
83348;05/01/1961;0000;25.6;24.3;89;1004.8;5;1.5;8;
83348;05/01/1961;1200;26.2;24.6;88;1004.4;5;1.5;9;
83348;05/01/1961;1800;27.9;25.5;82;1002.2;14;2;9;
83348;06/01/1961;0000;25.4;24.7;95;1004.2;0;0;9;
83348;06/01/1961;1200;27.2;24.7;81;1006.4;14;2;9;
83348;06/01/1961;1800;27.4;25;81;1002.8;5;1.5;10;
83348;07/01/1961;0000;25.3;23.8;88;1006.2;0;0;7;
83348;07/01/1961;1200;27.8;24.5;75;1006.4;5;1.5;8;
83348;07/01/1961;1800;28.1;25;76;1003;14;2;10;
83348;08/01/1961;0000;25.1;23.9;90;1006;9;1.5;7;
83348;08/01/1961;1200;26.2;24.2;85;1004.6;0;0;9;
83348;08/01/1961;1800;28.8;25.9;78;1002.6;14;1.5;8;
83348;09/01/1961;0000;25.6;23.7;85;1004.2;5;2;9;
83348;09/01/1961;1200;27.4;24.6;79;1005.4;14;1.5;6;
83348;09/01/1961;1800;27.6;24.8;79;1002.7;5;3;6;
83348;10/01/1961;0000;25.6;24.2;89;1005.1;14;1.5;8;
83348;10/01/1961;1200;27.5;24.5;77;1004.3;14;1.5;9;
83348;10/01/1961;1800;28;25;77;1002.4;5;2;9;
83348;11/01/1961;0000;25.4;23.5;85;1004;9;1.5;7;
83348;11/01/1961;1200;26.6;24;80;1004.2;0;0;10;
83348;11/01/1961;1800;28.3;24.2;70;1002.7;14;2;10;
83348;12/01/1961;0000;25.3;23.3;84;1003.9;5;1.5;8;
83348;12/01/1961;1200;25.4;24.1;90;1006;0;0;10;
83348;12/01/1961;1800;28.3;25.1;76;1004.8;14;1.5;8;
83348;13/01/1961;0000;25.8;24.1;87;1005.8;14;1.5;10;
83348;13/01/1961;1200;27.2;24.3;78;1007.8;23;3;9;
83348;13/01/1961;1800;28.2;25;76;1006;14;1.5;9;
83348;14/01/1961;0000;25.4;23.7;87;1007.5;23;1.5;8;
83348;14/01/1961;1200;26.5;23.3;75;1007.5;0;0;10;
83348;14/01/1961;1800;28.6;24.1;67;1006.2;14;2;9;
83348;15/01/1961;0000;24.9;23.5;89;1007.2;5;1.5;9;
83348;15/01/1961;1200;27.9;24.2;73;1007.8;5;1.5;9;
83348;15/01/1961;1800;27.6;24.1;74;1005.6;14;1.5;9;
83348;16/01/1961;0000;25.4;23.2;83;1007.5;23;2;8;
83348;16/01/1961;1200;23.6;22.9;94;1007.4;14;3.3;10;
83348;16/01/1961;1800;27.6;25.1;81;1006.2;5;1.5;9;
83348;17/01/1961;0000;25.3;23.5;86;1007.1;18;3.3;8;
83348;17/01/1961;1200;25.7;24.2;88;1008.4;14;3.8;9;
83348;17/01/1961;1800;25.2;24;90;1007.2;5;1.5;10;
83348;18/01/1961;0000;24.6;23.3;89;1008.4;14;1.5;10;
83348;18/01/1961;1200;26.8;23.8;76;1009.4;0;0;9;
83348;18/01/1961;1800;27;24.1;78;1007;14;1.5;8;
83348;19/01/1961;0000;25.4;23.5;85;1009.4;5;1.5;8;
83348;19/01/1961;1200;27.3;25;82;1009.9;5;1.5;9;
83348;19/01/1961;1800;27.8;24.2;73;1007.9;23;3.3;8;
83348;20/01/1961;0000;25.4;23.5;85;1009.5;14;2;7;
83348;20/01/1961;1200;27.2;24;76;1008.3;14;2;7;
83348;20/01/1961;1800;28.4;24.3;70;1006.8;5;1.9;8;
83348;21/01/1961;0000;25.3;23.8;88;1008;18;3;6;
83348;21/01/1961;1200;26.4;24.1;82;1007.4;5;1.5;9;
83348;21/01/1961;1800;28.2;24.5;73;1006;14;2;9;
83348;22/01/1961;0000;25.1;23.3;85;1007.1;0;0;1;
83348;22/01/1961;1200;25;24.1;93;1009;0;0;10;
83348;22/01/1961;1800;25.6;24.2;89;1005.9;14;1.4;10;
83348;23/01/1961;0000;24.8;23.5;90;1008.8;0;0;10;
83348;23/01/1961;1200;26.8;24.5;82;1007.4;0;0;9;
83348;23/01/1961;1800;28.6;24.8;72;1004.4;14;2;7;
83348;24/01/1961;0000;25.1;23.8;89;1007;5;1.4;9;
83348;24/01/1961;1200;28.1;24.5;73;1007.6;23;1.4;8;
83348;24/01/1961;1800;28.9;25.6;76;1002.6;14;1.5;7;
83348;25/01/1961;0000;26.3;24.5;86;1007.2;18;2;9;
83348;25/01/1961;1200;25.6;24.2;89;1007.2;14;3.3;10;
83348;25/01/1961;1800;28.2;25.3;78;1004.2;9;3;8;
83348;26/01/1961;0000;25.6;24;87;1006.8;5;2;8;
83348;26/01/1961;1200;26.5;24.7;86;1005.8;0;0;10;
83348;26/01/1961;1800;27.6;24.9;79;1003.1;14;2;8;
83348;27/01/1961;0000;25.6;24.3;89;1005.5;5;1.5;10;
83348;27/01/1961;1200;25.2;24.4;93;1007.4;0;0;10;
83348;27/01/1961;1800;26.8;25.1;87;1004.2;14;1.5;9;
83348;28/01/1961;0000;26;24.5;88;1006.8;23;1.4;10;
83348;28/01/1961;1200;27.4;25.5;85;1007.8;14;2;9;
83348;28/01/1961;1800;28;25.3;79;1005.8;5;1.4;8;
83348;29/01/1961;0000;26;24.7;90;1007.4;0;0;6;
83348;29/01/1961;1200;27.4;24.5;78;1008.8;5;1.4;7;
83348;29/01/1961;1800;28.4;25.6;79;1006.2;14;1.4;6;
83348;30/01/1961;0000;25.3;24.2;92;1007;0;0;5;
