<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83358</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : POXOREO - MT (OMM: 83358)
Latitude  (graus) : -15.83
Longitude (graus) : -54.38
Altitude  (metros): 450.00
Esta��o Operante
Inicio de opera��o: 18/09/1978
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83358;01/04/1978;1800;;;;;;;1;
83358;02/04/1978;1800;;;;;;;2;
83358;03/04/1978;1800;;;;;;;1;
83358;04/04/1978;1800;;;;;;;1;
83358;05/04/1978;1800;;;;;;;2;
83358;06/04/1978;1800;;;;;;;2;
83358;07/04/1978;1800;;;;;;;3;
83358;08/04/1978;1800;;;;;;;1;
83358;09/04/1978;1800;;;;;;;3;
83358;10/04/1978;1800;;;;;;;3;
83358;11/04/1978;1800;;;;;;;3;
83358;12/04/1978;1800;;;;;;;0;
83358;13/04/1978;1800;;;;;;;4;
83358;14/04/1978;1800;;;;;;;3;
83358;15/04/1978;1800;;;;;;;2;
83358;16/04/1978;1800;;;;;;;3;
83358;17/04/1978;1800;;;;;;;5;
83358;18/04/1978;1800;;;;;;;0;
83358;19/04/1978;1800;;;;;;;0;
83358;20/04/1978;1800;;;;;;;0;
83358;21/04/1978;1800;;;;;;;4;
83358;22/04/1978;1800;;;;;;;3;
83358;23/04/1978;1800;;;;;;;1;
83358;24/04/1978;1800;;;;;;;4;
83358;25/04/1978;1800;;;;;;;3;
83358;26/04/1978;1800;;;;;;;3;
83358;27/04/1978;1800;;;;;;;0;
83358;28/04/1978;1800;;;;;;;4;
83358;29/04/1978;1800;;;;;;;4;
83358;30/04/1978;1800;;;;;;;3;
83358;18/09/1978;1200;22.8;21.6;90;972.7;0;0;8;
83358;18/09/1978;1800;28.6;22.8;60;970;5;3;8;
83358;19/09/1978;0000;24.2;22.2;84;969.8;0;0;3;
83358;19/09/1978;1200;22.7;21.7;91;972;0;0;0;
83358;19/09/1978;1800;27.9;22;58;968.6;32;3;10;
83358;20/09/1978;0000;21.2;20.8;96;970.4;0;0;10;
83358;20/09/1978;1200;21.3;20.6;94;970.2;0;0;9;
83358;20/09/1978;1800;25.6;22.6;77;970;32;3;7;
83358;21/09/1978;0000;23.8;20.8;75;971.4;0;0;9;
83358;21/09/1978;1200;20.6;20.2;97;974.2;0;0;8;
83358;21/09/1978;1800;23.5;21.5;83;972.8;0;0;8;
83358;22/09/1978;0000;22;21.2;93;973.5;0;0;4;
83358;22/09/1978;1200;21.4;20.7;94;975.8;0;0;7;
83358;22/09/1978;1800;25.2;21.2;69;974.2;14;3;8;
83358;23/09/1978;0000;22.7;20.7;83;973.5;0;0;9;
83358;23/09/1978;1200;18;17.8;98;975.1;0;0;4;
83358;23/09/1978;1800;31.9;21.5;37;973.1;14;3;8;
83358;24/09/1978;0000;24.5;21.8;77;971.6;0;0;5;
83358;24/09/1978;1200;19.4;18.9;95;973.5;0;0;0;
83358;24/09/1978;1800;33;21;31;969.2;5;3;6;
83358;25/09/1978;0000;25.2;21.2;70;969.1;0;0;0;
83358;25/09/1978;1200;20.2;18.4;83;972;0;0;6;
83358;25/09/1978;1800;33.4;22.6;37;968;23;3;8;
83358;26/09/1978;0000;23.4;20.6;78;969.2;0;0;0;
83358;26/09/1978;1200;23.8;20;70;973.9;5;2;7;
83358;26/09/1978;1800;32.3;21.9;38;971;5;2;8;
83358;27/09/1978;0000;24.6;22.2;81;973.3;0;0;9;
83358;27/09/1978;1200;22.4;20.6;85;976.8;23;2;9;
83358;27/09/1978;1800;24.1;20.6;72;974.7;23;3;8;
83358;28/09/1978;0000;21.8;19.6;81;975.1;0;0;7;
83358;28/09/1978;1200;20;19.2;93;976;0;0;7;
83358;28/09/1978;1800;23;19;68;975.2;23;2;6;
83358;29/09/1978;0000;21;18.4;78;974.3;0;0;4;
83358;29/09/1978;1200;18.8;18.4;96;974.8;0;0;8;
83358;29/09/1978;1800;27.6;21.6;58;971.5;0;0;5;
83358;30/09/1978;0000;22.7;21.4;88;972.7;0;0;6;
83358;30/09/1978;1200;22.5;19.8;76;975;32;3;8;
83358;30/09/1978;1800;31.6;22.2;43;971.6;9;2;6;
83358;01/10/1978;0000;24.2;22.4;85;972.4;0;0;0;
83358;01/10/1978;1200;22.4;20.9;87;974.6;0;0;0;
83358;01/10/1978;1800;33.8;22.4;35;970.4;5;4;6;
83358;02/10/1978;0000;25.7;22.8;77;971.1;23;2;0;
83358;02/10/1978;1200;23.2;21;81;974;0;0;5;
83358;02/10/1978;1800;34.2;23.6;38;969.2;0;0;7;
83358;03/10/1978;0000;26.4;19.8;52;972;18;6;9;
