<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83360</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : COXIPO DA PONTE - MT (OMM: 83360)
Latitude  (graus) : -15.6
Longitude (graus) : -56.1
Altitude  (metros): 223.00
Esta��o Fechada
Inicio de opera��o: 01/01/1922
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83360;01/01/1961;1200;22.7;22.5;99;;36;1;10;
83360;01/01/1961;1800;27.7;24.3;74;;27;1;10;
83360;02/01/1961;0000;25.5;24.1;89;;23;1;7;
83360;02/01/1961;1200;26.1;23.5;79;;36;1;10;
83360;02/01/1961;1800;31.3;25.5;61;;36;3;4;
83360;03/01/1961;0000;27.7;25.1;80;;23;1;8;
83360;03/01/1961;1200;27.1;24.5;80;;36;3;8;
83360;03/01/1961;1800;30.1;25.1;65;;36;3;5;
83360;04/01/1961;0000;23.9;22.9;91;;0;0;9;
83360;04/01/1961;1200;25.1;24.1;92;;36;1;10;
83360;04/01/1961;1800;30.1;25.7;69;;27;3;8;
83360;05/01/1961;0000;25.7;24.3;88;;0;0;9;
83360;05/01/1961;1200;25.1;23.7;89;;36;1;10;
83360;05/01/1961;1800;28.5;24.1;68;;36;3;8;
83360;06/01/1961;0000;26.5;24.3;82;;36;1;3;
83360;06/01/1961;1200;25.1;24.3;93;;27;1;10;
83360;06/01/1961;1800;28.9;24.1;66;;36;3;4;
83360;07/01/1961;0000;26.5;24.3;82;;23;1;7;
83360;07/01/1961;1200;27.1;24.1;77;;36;3;9;
83360;07/01/1961;1800;31.3;25.5;61;;27;3;4;
83360;08/01/1961;0000;27.1;25.5;87;;0;0;10;
83360;08/01/1961;1200;27.1;24.5;80;;32;3;2;
83360;08/01/1961;1800;24.1;23.5;95;;18;1;10;
83360;09/01/1961;0000;25.7;25.1;95;;18;1;10;
83360;09/01/1961;1200;26.1;24.5;87;;36;1;10;
83360;09/01/1961;1800;31.1;26.1;66;;27;1;8;
