<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83361</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CUIABA - MT (OMM: 83361)
Latitude  (graus) : -15.61
Longitude (graus) : -56.1
Altitude  (metros): 145.00
Esta��o Operante
Inicio de opera��o: 01/01/1911
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83361;01/01/1961;1200;22.8;22.5;98;991.4;36;3;10;
83361;01/01/1961;1800;27.7;24.3;74;989;32;2;9;
83361;02/01/1961;0000;25.6;23.3;81;988.2;36;0.7;3;
83361;02/01/1961;1200;25.9;23.5;81;991;32;2.5;10;
83361;02/01/1961;1800;31.8;25.3;58;987.6;32;5.7;3;
83361;03/01/1961;0000;27.3;24.3;77;987.8;36;2.5;7;
83361;03/01/1961;1200;26.7;24.1;80;990.2;32;5;8;
83361;03/01/1961;1800;29.9;24.6;64;986.6;32;6;8;
83361;04/01/1961;0000;23.7;22.5;90;987.1;36;1;10;
83361;04/01/1961;1200;25.3;23.9;89;989.9;36;2;10;
83361;04/01/1961;1800;29.9;24.7;64;987;36;5.7;9;
83361;05/01/1961;0000;25.8;24.1;87;987;0;0;10;
83361;05/01/1961;1200;25.1;23.5;87;989.2;36;2.4;10;
83361;05/01/1961;1800;28.7;24;66;986;32;3.5;8;
83361;06/01/1961;0000;27;24.3;79;985.4;36;1.2;1;
83361;06/01/1961;1200;25.1;24.1;92;990.3;32;4.4;10;
83361;06/01/1961;1800;29.4;24.1;63;988.2;32;3.2;6;
83361;07/01/1961;0000;26.5;24;80;988.4;36;0.7;4;
83361;07/01/1961;1200;26.9;23.8;76;989.9;32;3.3;10;
83361;07/01/1961;1800;31;24.7;58;987.1;32;5;8;
83361;08/01/1961;0000;27.7;24.7;77;987;0;0;10;
83361;08/01/1961;1200;27.3;24.5;79;989.5;32;2.9;8;
83361;08/01/1961;1800;24;23.7;98;988;0;0;10;
83361;09/01/1961;0000;25.2;24.7;96;987.6;0;0;10;
