<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83362</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CUIABA - AEROPORTO - MT (OMM: 83362)
Latitude  (graus) : -15.65
Longitude (graus) : -56.11
Altitude  (metros): 187.00
Esta��o Operante
Inicio de opera��o: 16/08/1965
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83362;01/01/2015;0000;26.5;;69;;5;4.11552;2.5;
83362;01/01/2015;1200;27;;70;;35;3.60108;5;
83362;01/01/2015;1800;33.5;;45;;33;;2.5;
83362;02/01/2015;0000;28.8;;65;;33;3.08664;0;
83362;02/01/2015;0600;25.3;;85;;33;2.5722;0;
83362;02/01/2015;1200;29.2;;67;;33;2.5722;0;
83362;02/01/2015;1800;35.6;;40;;33;5.1444;6.25;
83362;03/01/2015;0000;26.6;;81;;15;4.11552;7.5;
83362;03/01/2015;0600;23.3;;92;;14;1.02888;6.25;
83362;03/01/2015;1200;25.1;;85;;11;2.05776;8.75;
83362;03/01/2015;1800;32.1;;56;;22;3.60108;6.25;
83362;04/01/2015;0000;26.5;;74;;12;3.60108;8.75;
83362;04/01/2015;0600;22.8;;90;;17;2.05776;6.25;
83362;04/01/2015;1200;24.5;;81;;2;1.02888;8.75;
83362;04/01/2015;1800;34.4;;39;;16;3.08664;1.25;
83362;05/01/2015;0000;30;;58;;22;1.54332;0;
83362;05/01/2015;0600;26.7;;80;;1;2.5722;6.25;
83362;05/01/2015;1200;23.9;;89;;35;5.1444;7.5;
83362;05/01/2015;1800;32.4;;50;;33;3.08664;2.5;
83362;06/01/2015;0000;28;;71;;13;2.05776;6.25;
83362;06/01/2015;0600;25.2;;83;;3;2.05776;0;
83362;06/01/2015;1200;29.4;;64;;5;3.08664;0;
83362;06/01/2015;1800;34.6;;45;;34;6.17328;3.75;
83362;07/01/2015;0000;28.3;;71;;4;1.02888;0;
83362;07/01/2015;0600;27.1;;71;;8;2.05776;0;
83362;07/01/2015;1200;25.9;;75;;1;4.62996;2.5;
83362;07/01/2015;1800;25.7;;79;;34;1.02888;7.5;
83362;08/01/2015;0000;25.8;;87;;10;1.54332;5;
83362;08/01/2015;0600;24.7;;90;;33;1.02888;1.25;
83362;08/01/2015;1200;29;;72;;0;0;0;
83362;08/01/2015;1800;29.9;;66;;32;;7.5;
83362;09/01/2015;0600;24.6;;90;;4;1.02888;3.75;
83362;09/01/2015;1200;28;;76;;34;3.60108;0;
83362;09/01/2015;1800;24.8;;76;;32;;7.5;
83362;10/01/2015;0000;24.3;;85;;35;3.08664;5;
83362;10/01/2015;0600;23.4;;85;;35;2.05776;3.75;
83362;10/01/2015;1200;26.8;;74;;36;3.08664;0;
83362;10/01/2015;1800;31.8;;53;;34;3.08664;5;
83362;11/01/2015;0000;29.9;;59;;33;2.05776;0;
83362;11/01/2015;0600;25;;86;;35;2.05776;0;
83362;11/01/2015;1200;28.9;;68;;35;2.05776;0;
83362;11/01/2015;1800;34.5;;42;;2;2.05776;5;
83362;12/01/2015;0000;27;;68;;13;1.02888;5;
83362;12/01/2015;0600;24.2;;73;;3;5.65884;0;
83362;12/01/2015;1200;25.8;;71;;5;2.05776;7.5;
83362;12/01/2015;1800;25.7;;83;;36;1.54332;7.5;
83362;13/01/2015;0000;24.8;;79;;35;3.60108;5;
83362;13/01/2015;0600;23.8;;87;;30;1.02888;2.5;
83362;13/01/2015;1200;26.5;;75;;8;2.05776;0;
83362;13/01/2015;1800;34.2;;48;;19;1.02888;5;
83362;14/01/2015;0000;24.2;;90;;34;2.5722;6.25;
83362;14/01/2015;0600;22.5;;90;;34;3.60108;0;
83362;14/01/2015;1200;26.1;;71;;1;1.54332;5;
83362;14/01/2015;1800;33.6;;48;;35;3.08664;3.75;
83362;15/01/2015;0000;24.2;;87;;18;2.05776;7.5;
83362;15/01/2015;0600;23.7;;89;;2;1.02888;7.5;
83362;15/01/2015;1200;26.2;;79;;34;5.1444;0;
83362;16/01/2015;0000;23.1;;87;;11;2.05776;0;
83362;16/01/2015;0600;;;93;;6;1.54332;0;
83362;16/01/2015;1200;25.9;;76;;9;1.54332;0;
83362;16/01/2015;1800;32.2;;53;;17;2.05776;1.25;
83362;17/01/2015;0000;24.6;;69;;8;4.62996;6.25;
83362;17/01/2015;0600;23.6;;82;;1;1.54332;3.75;
83362;17/01/2015;1200;24.9;;76;;35;2.05776;5;
83362;17/01/2015;1800;25.9;;79;;16;1.54332;8.75;
83362;18/01/2015;0000;23.4;;86;;1;2.05776;3.75;
83362;18/01/2015;0600;23.2;;88;;36;2.05776;6.25;
83362;18/01/2015;1200;25;;84;;5;1.54332;7.5;
83362;18/01/2015;1800;28.8;;73;;10;2.5722;7.5;
83362;19/01/2015;0000;25.7;;77;;26;2.5722;0;
83362;19/01/2015;0600;22.5;;94;;2;1.02888;0;
83362;19/01/2015;1200;28;;72;;8;1.54332;0;
83362;19/01/2015;1800;34.8;;49;;18;3.08664;6.25;
83362;20/01/2015;0000;27.6;;73;;34;1.02888;6.25;
83362;20/01/2015;0600;23.9;;89;;3;1.54332;0;
83362;20/01/2015;1200;27.6;;72;;34;2.5722;0;
83362;20/01/2015;1800;25.9;;75;;1;2.05776;8.75;
83362;21/01/2015;0000;21.8;;91;;5;3.60108;7.5;
83362;21/01/2015;1200;22.9;;88;;18;1.02888;6.25;
83362;21/01/2015;1800;30.6;;56;;19;2.05776;3.75;
83362;22/01/2015;0000;27.1;;71;;18;2.5722;0;
83362;22/01/2015;0600;24.8;;89;;34;1.02888;1.25;
83362;22/01/2015;1200;23.7;;88;;16;2.5722;6.25;
83362;22/01/2015;1800;31.4;;60;;20;3.08664;3.75;
83362;23/01/2015;0000;29.1;;70;;22;2.05776;1.25;
83362;23/01/2015;0600;24.4;;88;;21;1.02888;0;
83362;23/01/2015;1200;28.1;;74;;22;1.02888;0;
83362;23/01/2015;1800;24.7;;87;;21;2.5722;7.5;
83362;24/01/2015;0000;23.8;;87;;8;1.54332;7.5;
83362;24/01/2015;0600;22.7;;93;;9;1.54332;6.25;
83362;24/01/2015;1200;26.5;;75;;3;1.54332;0;
83362;24/01/2015;1800;29.2;;62;;8;4.11552;7.5;
83362;25/01/2015;0000;23.8;;78;;33;3.60108;6.25;
83362;25/01/2015;0600;23.2;;85;;35;4.11552;3.75;
83362;25/01/2015;1200;25.6;;72;;4;5.65884;0;
83362;25/01/2015;1800;31.3;;48;;3;4.11552;5;
83362;26/01/2015;0600;24.6;;84;;2;2.5722;3.75;
83362;26/01/2015;1200;26.2;;75;;2;;6.25;
83362;26/01/2015;1800;31.4;;53;;34;;7.5;
83362;27/01/2015;0000;25.4;;84;;36;2.5722;6.25;
83362;27/01/2015;0600;24.8;;87;;35;2.5722;5;
83362;27/01/2015;1200;25.5;;79;;1;4.11552;7.5;
83362;27/01/2015;1800;24.4;;86;;34;6.17328;8.75;
83362;28/01/2015;0000;24.6;;86;;35;2.5722;7.5;
83362;28/01/2015;0600;23.3;;92;;35;2.05776;7.5;
83362;28/01/2015;1200;26.3;;80;;35;1.02888;6.25;
83362;28/01/2015;1800;27.6;;78;;35;2.5722;5;
83362;29/01/2015;0000;24.1;;87;;34;2.5722;5;
83362;29/01/2015;0600;23.4;;92;;34;1.54332;7.5;
83362;29/01/2015;1200;25.6;;83;;34;1.54332;6.25;
83362;29/01/2015;1800;31.6;;56;;22;4.62996;3.75;
83362;30/01/2015;0000;26.6;;76;;15;2.5722;6.25;
83362;30/01/2015;0600;25.1;;86;;7;1.02888;6.25;
83362;30/01/2015;1200;29;;67;;19;1.54332;0;
83362;30/01/2015;1800;34.3;;46;;19;4.11552;3.75;
83362;31/01/2015;0000;28.6;;70;;20;2.5722;0;
83362;31/01/2015;0600;26.9;;80;;24;2.05776;0;
83362;31/01/2015;1200;29.4;;75;;24;2.05776;0;
83362;31/01/2015;1800;37.1;;38;;17;2.05776;6.25;
83362;01/02/2015;0000;23.1;;;;12;3.08664;0;
83362;01/02/2015;0600;23.3;;;;1;5.1444;0;
83362;01/02/2015;1200;26.2;;;;34;2.5722;3.75;
83362;01/02/2015;1800;34.6;;;;1;3.60108;5;
83362;02/02/2015;0000;24.9;;;;32;2.05776;1.25;
83362;02/02/2015;0600;24.2;;;;35;1.54332;0;
83362;02/02/2015;1200;27.4;;;;35;1.02888;0;
83362;02/02/2015;1800;35.2;;;;17;2.5722;6.25;
83362;03/02/2015;0000;28.6;;;;7;1.02888;2.5;
83362;03/02/2015;0600;24.7;;;;34;3.60108;0;
83362;03/02/2015;1200;28.6;;;;3;2.5722;1.25;
83362;03/02/2015;1800;35.8;;;;4;2.05776;3.75;
83362;04/02/2015;0000;29.2;;;;34;3.08664;6.25;
83362;04/02/2015;0600;25.8;;;;2;2.5722;0;
83362;04/02/2015;1200;28.2;;;;34;3.08664;0;
83362;04/02/2015;1800;25.9;;;;25;2.5722;7.5;
83362;05/02/2015;0000;27.4;;;;6;1.54332;6.25;
83362;05/02/2015;0600;26.2;;;;5;2.05776;0;
83362;05/02/2015;1200;26.9;;;;33;5.65884;7.5;
83362;05/02/2015;1800;30.9;;;;34;4.11552;8.75;
83362;06/02/2015;0000;24.6;;;;3;1.02888;7.5;
83362;06/02/2015;0600;24.6;;;;2;3.08664;6.25;
83362;06/02/2015;1200;25.3;;;;35;4.62996;6.25;
83362;06/02/2015;1800;29.8;;;;33;1.54332;8.75;
83362;07/02/2015;0000;24.4;;;;1;2.05776;8.75;
83362;07/02/2015;0600;24.2;;;;36;3.08664;6.25;
83362;07/02/2015;1200;25.4;;;;1;3.08664;5;
83362;07/02/2015;1800;31.9;;;;28;3.60108;6.25;
83362;08/02/2015;0000;27;;;;5;2.05776;5;
83362;08/02/2015;0600;25.2;;;;35;3.08664;5;
83362;08/02/2015;1200;27.2;;;;3;5.1444;3.75;
83362;08/02/2015;1800;28.8;;;;4;5.65884;5;
83362;09/02/2015;0000;26.6;;;;1;6.17328;6.25;
83362;09/02/2015;0600;24.6;;;;36;4.11552;6.25;
83362;09/02/2015;1200;25.6;;;;36;4.62996;7.5;
83362;09/02/2015;1800;25.2;;;;2;7.20216;8.75;
83362;10/02/2015;0000;25;;;;6;3.08664;5;
83362;10/02/2015;0600;24.9;;;;3;3.60108;7.5;
83362;10/02/2015;1200;27.4;;;;1;6.17328;3.75;
83362;10/02/2015;1800;32;;;;34;4.62996;6.25;
83362;11/02/2015;0000;25.8;;;;12;1.54332;0;
83362;11/02/2015;0600;25.8;;;;1;2.5722;5;
83362;11/02/2015;1200;22.9;;;;36;1.02888;10;
83362;11/02/2015;1800;28.7;;;;26;3.08664;8.75;
83362;12/02/2015;0000;25.9;;;;18;1.54332;1.25;
83362;12/02/2015;0600;24.1;;;;36;1.02888;5;
83362;12/02/2015;1200;25.8;;;;33;1.54332;0;
83362;12/02/2015;1800;31.5;;;;33;1.02888;6.25;
83362;13/02/2015;0000;27.2;;;;11;1.02888;6.25;
83362;13/02/2015;0600;25.3;;;;0;0;6.25;
83362;13/02/2015;1200;27.5;;;;31;5.1444;0;
83362;13/02/2015;1800;33.5;;;;31;3.60108;5;
83362;14/02/2015;0000;24.1;;;;9;1.02888;6.25;
83362;14/02/2015;0600;23;;95;;6;1.02888;0;
83362;14/02/2015;1200;26.3;;;;13;1.54332;6.25;
83362;14/02/2015;1800;32.9;;;;3;2.05776;3.75;
83362;15/02/2015;0000;27.4;;;;17;1.54332;1.25;
83362;15/02/2015;0600;23.6;;;;23;3.60108;7.5;
83362;15/02/2015;1200;23.4;;;;35;2.5722;7.5;
83362;15/02/2015;1800;30.2;;;;34;5.65884;5;
83362;16/02/2015;0000;26.9;;;;12;2.5722;6.25;
83362;16/02/2015;1200;26.5;;;;34;1.54332;6.25;
83362;16/02/2015;1800;33.4;;;;34;2.5722;6.25;
83362;17/02/2015;0000;27.7;;;;25;1.54332;7.5;
83362;17/02/2015;0600;25.2;;;;36;1.54332;6.25;
83362;17/02/2015;1200;28.7;;;;34;4.11552;5;
83362;17/02/2015;1800;27.9;;;;8;5.1444;7.5;
83362;18/02/2015;0000;24.7;;;;12;1.02888;6.25;
83362;18/02/2015;0600;22.7;;95;;36;2.05776;10;
83362;18/02/2015;1200;24.3;;;;4;2.5722;7.5;
83362;18/02/2015;1800;30;;;;4;5.1444;7.5;
83362;19/02/2015;0000;24.4;;;;34;3.08664;8.75;
83362;19/02/2015;0600;24.7;;;;1;4.62996;6.25;
83362;19/02/2015;1200;25.7;;;;4;4.62996;6.25;
83362;19/02/2015;1800;23.9;;;;35;5.65884;8.75;
83362;20/02/2015;0000;22.8;;95;;35;2.5722;7.5;
83362;20/02/2015;0600;22;;;;4;1.54332;6.25;
83362;20/02/2015;1200;22.8;;95;;10;1.02888;10;
83362;20/02/2015;1800;29.1;;;;11;3.08664;8.75;
83362;21/02/2015;0000;25.3;;;;26;2.5722;8.75;
83362;21/02/2015;0600;23.4;;;;32;1.54332;8.75;
83362;21/02/2015;1200;23.5;;;;6;1.54332;10;
83362;21/02/2015;1800;28.4;;;;2;5.1444;8.75;
83362;22/02/2015;0000;25.2;;;;30;1.02888;8.75;
83362;22/02/2015;0600;23.4;;;;0;0;8.75;
83362;22/02/2015;1200;25.5;;;;0;0;1.25;
83362;22/02/2015;1800;27.2;;;;12;3.08664;5;
83362;23/02/2015;0000;25.9;;;;13;1.02888;6.25;
83362;23/02/2015;0600;24.7;;;;35;4.11552;6.25;
83362;23/02/2015;1200;24.4;;;;34;3.08664;0;
83362;23/02/2015;1800;;;;;10;1.54332;10;
83362;24/02/2015;0000;23.5;;;;21;1.54332;2.5;
83362;24/02/2015;0600;22.2;;;;24;1.54332;6.25;
83362;24/02/2015;1200;23;;;;17;2.05776;10;
83362;24/02/2015;1800;30.3;;;;28;1.02888;7.5;
83362;25/02/2015;0000;23.3;;;;16;1.54332;1.25;
83362;25/02/2015;0600;22.7;;;;0;0;0;
83362;25/02/2015;1200;26.6;;;;36;2.5722;0;
83362;25/02/2015;1800;32.9;;;;35;5.65884;6.25;
83362;26/02/2015;0000;25.8;;;;0;0;6.25;
83362;26/02/2015;0600;25.2;;;;1;2.5722;5;
83362;26/02/2015;1200;27.3;;;;34;4.11552;0;
83362;26/02/2015;1800;32.8;;;;32;1.54332;7.5;
83362;27/02/2015;0000;23.8;;;;5;1.02888;8.75;
83362;27/02/2015;0600;22.1;;;;36;5.65884;10;
83362;27/02/2015;1200;24.4;;;;35;2.05776;1.25;
83362;27/02/2015;1800;31.1;;;;33;2.05776;6.25;
83362;28/02/2015;0000;27.4;;;;11;1.54332;0;
83362;28/02/2015;0600;25.7;;;;31;2.05776;6.25;
83362;28/02/2015;1200;26.3;;;;34;2.05776;6.25;
83362;28/02/2015;1800;25.7;;;;7;4.11552;8.75;
83362;01/03/2015;0000;24.6;;85;;35;2.05776;5;
83362;01/03/2015;0600;23.5;;88;;32;1.02888;0;
83362;01/03/2015;1200;23.8;;89;;3;1.02888;8.75;
83362;01/03/2015;1800;31.3;;59;;16;1.54332;6.25;
83362;02/03/2015;0000;24.6;;87;;23;5.1444;6.25;
83362;02/03/2015;0600;23;;92;;17;1.54332;6.25;
83362;02/03/2015;1200;26.6;;80;;33;2.5722;7.5;
83362;02/03/2015;1800;25.8;;86;;20;3.60108;7.5;
83362;03/03/2015;1200;26.1;;78;;36;2.05776;0;
83362;04/03/2015;0000;26.5;;84;;18;1.02888;7.5;
83362;04/03/2015;0600;24.9;;91;;27;1.02888;8.75;
83362;04/03/2015;1200;25;;85;;6;2.5722;6.25;
83362;04/03/2015;1800;29.8;;62;;4;1.02888;6.25;
83362;05/03/2015;0000;25.7;;76;;5;5.1444;6.25;
83362;05/03/2015;0600;22.6;;94;;16;1.54332;8.75;
83362;05/03/2015;1200;24.8;;85;;35;2.05776;6.25;
83362;05/03/2015;1800;30.6;;57;;34;3.08664;5;
83362;06/03/2015;0000;26.4;;74;;0;0;3.75;
83362;06/03/2015;0600;24.4;;91;;35;1.54332;2.5;
83362;06/03/2015;1200;25;;82;;26;1.54332;6.25;
83362;06/03/2015;1800;26.5;;83;;25;2.05776;7.5;
83362;07/03/2015;0000;24.9;;87;;34;1.02888;6.25;
83362;07/03/2015;0600;23.9;;91;;33;1.54332;5;
83362;07/03/2015;1200;27.4;;74;;0;0;0;
83362;07/03/2015;1800;26.9;;78;;20;5.65884;8.75;
83362;08/03/2015;0000;24.1;;92;;23;1.02888;6.25;
83362;08/03/2015;1200;24.8;;85;;1;2.05776;8.75;
83362;08/03/2015;1800;32.4;;56;;35;4.11552;6.25;
83362;09/03/2015;0000;26.4;;82;;9;1.54332;6.25;
83362;09/03/2015;0600;26;;86;;28;1.02888;0;
83362;09/03/2015;1200;27.7;;77;;2;6.17328;0;
83362;09/03/2015;1800;31.1;;60;;32;5.65884;5;
83362;10/03/2015;0000;25.8;;88;;20;2.5722;7.5;
83362;10/03/2015;0600;25;;92;;25;1.02888;5;
83362;10/03/2015;1200;26;;90;;34;2.5722;6.25;
83362;10/03/2015;1800;31.9;;58;;34;3.60108;7.5;
83362;11/03/2015;0000;25.1;;89;;7;1.02888;7.5;
83362;11/03/2015;0600;24.5;;88;;34;2.5722;6.25;
83362;11/03/2015;1200;27.4;;77;;36;4.62996;6.25;
83362;11/03/2015;1800;31.2;;58;;33;;7.5;
83362;12/03/2015;0000;26.6;;79;;3;2.05776;1.25;
83362;12/03/2015;0600;24.2;;90;;34;3.08664;0;
83362;12/03/2015;1200;27.7;;75;;36;4.62996;0;
83362;12/03/2015;1800;32.1;;56;;35;4.11552;7.5;
83362;13/03/2015;0000;23.1;;94;;1;1.54332;6.25;
83362;13/03/2015;0600;24;;91;;1;2.05776;0;
83362;13/03/2015;1800;32;;55;;35;5.1444;5;
83362;14/03/2015;0000;26.9;;76;;36;2.5722;5;
83362;14/03/2015;0600;24;;89;;35;2.5722;3.75;
83362;14/03/2015;1200;26.9;;74;;1;3.60108;0;
83362;14/03/2015;1800;32.3;;57;;35;3.60108;5;
83362;15/03/2015;0000;26.6;;80;;5;2.05776;5;
83362;15/03/2015;0600;23.6;;94;;36;2.05776;5;
83362;15/03/2015;1800;23.6;;94;;24;3.60108;8.75;
83362;16/03/2015;0000;24.4;;95;;36;1.02888;6.25;
83362;16/03/2015;0600;23.8;;90;;33;2.5722;1.25;
83362;16/03/2015;1200;26.6;;78;;1;4.11552;0;
83362;16/03/2015;1800;32.9;;53;;33;3.08664;6.25;
83362;17/03/2015;0000;25.8;;89;;15;1.54332;3.75;
83362;17/03/2015;0600;25;;88;;26;1.02888;0;
83362;17/03/2015;1200;27.7;;76;;35;3.08664;3.75;
83362;17/03/2015;1800;32.7;;56;;36;6.17328;5;
83362;18/03/2015;0000;25.7;;86;;21;3.08664;7.5;
83362;18/03/2015;0600;25.3;;89;;33;3.08664;6.25;
83362;18/03/2015;1200;;;96;;8;3.08664;10;
83362;18/03/2015;1800;30.9;;57;;29;1.54332;2.5;
83362;19/03/2015;0000;26.8;;79;;9;1.54332;0;
83362;19/03/2015;0600;24.3;;89;;35;3.60108;6.25;
83362;19/03/2015;1200;25.7;;80;;35;4.11552;6.25;
83362;19/03/2015;1800;31.7;;57;;35;2.5722;7.5;
83362;20/03/2015;0000;26.1;;78;;2;3.08664;3.75;
83362;20/03/2015;0600;22.9;;91;;35;2.05776;0;
83362;20/03/2015;1200;25.5;;82;;34;5.1444;5;
83362;20/03/2015;1800;32.1;;53;;33;2.5722;6.25;
83362;21/03/2015;0000;23.5;;84;;0;0;1.25;
83362;21/03/2015;0600;22.5;;92;;2;3.08664;0;
83362;21/03/2015;1200;26.6;;79;;36;4.11552;1.25;
83362;22/03/2015;0000;23.8;;87;;0;0;0;
83362;22/03/2015;0600;23.6;;92;;1;2.05776;5;
