<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83363</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO VICENTE - MT (OMM: 83363)
Latitude  (graus) : -15.81
Longitude (graus) : -55.41
Altitude  (metros): 800.00
Esta��o Operante
Inicio de opera��o: 08/11/1985
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83363;01/01/1998;1200;22;20.6;88;978.2;5;0.4;9;
83363;01/01/1998;1800;29;26.1;78;979.3;5;0.3;0;
83363;02/01/1998;0000;21.2;20;89;978.2;;;10;
83363;02/01/1998;1200;23.6;22;85;977.7;5;0.4;7;
83363;02/01/1998;1800;20.2;20;97;975.4;5;0.6;10;
83363;03/01/1998;0000;24;22.6;89;976;;;0;
83363;03/01/1998;1200;27.2;25.4;86;978.4;14;0.2;4;
83363;03/01/1998;1800;26.8;24.8;83;977.2;36;0.4;9;
83363;04/01/1998;0000;27.2;25.2;85;974.9;9;0.1;5;
83363;04/01/1998;1200;24.4;23.1;90;977.2;5;0.3;4;
83363;04/01/1998;1800;27.2;25.2;85;975.4;23;0.7;9;
83363;05/01/1998;0000;25.3;24.1;90;973.4;5;0.1;4;
83363;05/01/1998;1200;25;23.3;87;975.9;5;0.3;5;
83363;05/01/1998;1800;29;26.1;78;973.9;5;0.3;7;
83363;06/01/1998;0000;23;22.1;93;972.9;5;0.3;10;
83363;06/01/1998;1200;22.1;21.2;92;976.2;5;0.5;8;
83363;06/01/1998;1800;29;25.3;73;975.9;32;0.5;7;
83363;07/01/1998;0000;27;25.1;85;973.4;23;0.3;9;
83363;07/01/1998;1200;23.4;22;88;977.2;36;0.3;0;
83363;07/01/1998;1800;27;24.4;79;977.4;32;0.7;9;
83363;08/01/1998;0000;24.4;23.2;90;974.9;23;0.3;9;
83363;08/01/1998;1200;20.4;20.2;98;976.9;23;0.5;0;
83363;08/01/1998;1800;25.2;23.3;84;977.4;23;0.5;9;
83363;09/01/1998;0000;23.3;22.4;92;974.9;23;0.3;;
83363;09/01/1998;1200;24.8;23.2;86;977.4;0;0;5;
83363;09/01/1998;1800;27;24.4;79;976.2;5;0.7;10;
83363;10/01/1998;0000;25.8;23.6;82;974.4;14;0.2;4;
83363;10/01/1998;1200;24.6;23.4;89;976.4;5;0.4;5;
83363;10/01/1998;1800;28;26;83;976.2;0;0;9;
83363;11/01/1998;0000;25;24.1;93;975.4;14;0.1;4;
83363;11/01/1998;1200;22.3;22.1;97;977.4;5;0.5;5;
83363;11/01/1998;1800;29;26.3;80;977;18;0.3;9;
83363;12/01/1998;0000;27.4;26;87;975.2;27;0.1;;
83363;12/01/1998;1200;22;21.2;93;978.2;5;0.5;10;
83363;12/01/1998;1800;27.1;25;84;977.2;5;0.5;10;
83363;13/01/1998;0000;22.4;22.2;98;976.4;23;0.7;10;
83363;13/01/1998;1200;20.4;20.3;99;977.2;5;0.5;9;
83363;13/01/1998;1800;27.3;25.1;84;976.9;5;0.2;9;
83363;14/01/1998;0000;25.1;24.2;91;976.9;9;0.2;;
83363;14/01/1998;1200;22.4;22;96;976.1;9;0.2;2;
83363;14/01/1998;1800;25.1;24;89;975.9;32;0.7;10;
83363;15/01/1998;0000;23;22;92;974.4;5;0.3;10;
83363;15/01/1998;1200;23.8;22.6;89;977.3;5;0.2;10;
83363;15/01/1998;1800;27.2;25.2;85;976.2;14;0.7;8;
83363;16/01/1998;0000;22.6;22.2;95;974.9;5;0.3;6;
83363;16/01/1998;1200;23.8;22.6;89;977.4;5;0.3;7;
83363;16/01/1998;1800;25.1;23.4;85;976.4;5;0.5;10;
83363;17/01/1998;0000;23.1;22;89;974.4;36;0.2;10;
83363;17/01/1998;1200;23.1;22.1;90;976.4;36;0.5;10;
83363;17/01/1998;1800;27.1;25;84;976.4;32;0.5;10;
83363;18/01/1998;0000;26.3;25.1;89;974.9;14;0.2;9;
83363;18/01/1998;1200;23.1;22.4;92;976.4;5;0.5;10;
83363;18/01/1998;1800;24.1;23.2;91;975.3;27;0.3;10;
83363;19/01/1998;0000;24.1;23.2;91;974.4;18;0.3;10;
83363;19/01/1998;1200;23.8;23;93;976.4;0;0;4;
83363;19/01/1998;1800;26.4;24.8;87;972.4;32;0.3;8;
83363;20/01/1998;0000;25.1;23.4;85;970.4;5;0.2;6;
83363;20/01/1998;1200;25;23.8;91;973.4;9;0.3;5;
83363;20/01/1998;1800;29.6;25.8;72;972.4;5;0.7;8;
83363;21/01/1998;0000;25.1;23.6;86;970.4;;;;
83363;21/01/1998;1200;20.4;20;96;972.4;5;0.4;9;
83363;21/01/1998;1800;27;24.2;78;974.3;5;0.6;8;
83363;22/01/1998;0000;27.1;25;84;970.9;;;0;
83363;22/01/1998;1200;22;21.6;96;974.4;5;0.4;10;
83363;22/01/1998;1800;25;24.2;94;972.3;9;0.3;9;
83363;23/01/1998;0000;25.4;24.2;90;971.4;0;;4;
83363;23/01/1998;1200;24;23;92;973.4;5;0.4;4;
83363;23/01/1998;1800;26.4;24.6;85;971.6;5;0.4;8;
83363;24/01/1998;0000;25.7;23.4;80;970.9;;;0;
83363;24/01/1998;1200;22.3;22.2;99;973.4;36;0.2;8;
83363;24/01/1998;1800;23.5;23;96;975;5;0.5;6;
83363;25/01/1998;0000;23.1;22.4;92;971.4;;;0;
83363;25/01/1998;1200;22.1;21.4;94;973.4;5;0.5;10;
83363;25/01/1998;1800;23.4;23.1;98;973.6;9;0.2;10;
83363;26/01/1998;0000;23.3;23;97;971.4;;;0;
83363;26/01/1998;1200;23;22.8;99;974.4;5;0.4;10;
83363;26/01/1998;1800;28;26;83;974.6;32;0.6;9;
83363;27/01/1998;0000;24.2;23.3;92;974.4;;;8;
83363;27/01/1998;1200;20.8;20.6;98;979.2;5;0.3;10;
83363;27/01/1998;1800;27.6;25.2;81;978.3;32;0.7;8;
83363;28/01/1998;0000;23.2;22.3;91;976.2;;;8;
83363;28/01/1998;1200;21.6;21.2;97;981.2;36;0.4;7;
83363;28/01/1998;1800;28.2;25.6;79;979.7;5;0.4;9;
83363;29/01/1998;0000;25.4;24.2;90;978.3;;;7;
83363;29/01/1998;1200;27;25;84;980.6;5;0.2;10;
83363;29/01/1998;1800;28;25.4;78;979.4;32;0.4;8;
83363;30/01/1998;0000;22.2;22.1;98;978.2;;;5;
83363;30/01/1998;1200;24;22.8;91;979.3;5;0.4;10;
83363;30/01/1998;1800;28;25.4;78;976.6;32;0.4;6;
83363;31/01/1998;0000;24.8;23.2;86;976.2;;;4;
83363;31/01/1998;1200;22.1;22;100;980.2;14;0.2;10;
83363;31/01/1998;1800;21.3;21;96;979.4;36;0.3;10;
83363;01/02/1998;0000;24.3;23.2;90;976.4;;;9;
83363;01/02/1998;1200;22.3;21.3;91;979.2;5;0.3;4;
83363;01/02/1998;1800;29.2;25.3;72;978.9;5;0.3;7;
83363;02/02/1998;0000;26;24.3;86;977.2;;;0;
83363;02/02/1998;1200;22.6;22.4;98;980.2;0;0;10;
83363;02/02/1998;1800;25.4;24.8;98;978.5;23;0.3;10;
83363;03/02/1998;0000;23.2;23;98;977.3;;;0;
83363;03/02/1998;1200;21.3;21;97;977.4;5;0.5;9;
83363;03/02/1998;1800;29.4;26.4;78;977.4;23;0.4;;
83363;04/02/1998;0000;21.2;20.9;97;976.8;5;0.2;;
83363;04/02/1998;1200;24.6;23.2;89;977.6;5;0.4;5;
83363;04/02/1998;1800;29.4;27.2;84;977.4;23;0.3;9;
83363;05/02/1998;0000;25.2;23.4;85;977.7;5;0.3;;
83363;05/02/1998;1200;27.6;25;80;978.4;5;0.3;4;
83363;05/02/1998;1800;27.4;24.8;80;977.4;23;0.5;8;
83363;06/02/1998;0000;24.2;23;90;976.6;5;0.2;;
83363;06/02/1998;1200;25;23.4;88;980.4;5;0.6;8;
83363;06/02/1998;1800;22.4;22.2;98;977.8;23;0.3;10;
83363;07/02/1998;0000;24.2;23;89;978.3;5;0.2;0;
83363;07/02/1998;1200;24.2;23.2;92;;5;0.2;6;
83363;07/02/1998;1800;29.2;26.3;79;;5;0.6;8;
83363;08/02/1998;0000;23.2;23;98;;0;0;9;
83363;08/02/1998;1200;23;22.2;94;978.4;;;7;
83363;08/02/1998;1800;27.8;25.6;83;978.9;5;0.2;5;
83363;09/02/1998;0000;22;21.6;96;977.9;;;;
83363;09/02/1998;1200;24.4;24;97;977.9;5;0.5;10;
83363;09/02/1998;1800;27.9;25.9;85;977.3;36;0.4;7;
83363;10/02/1998;0000;25.2;24.4;92;976.5;5;2;;
83363;10/02/1998;1200;24;23.4;96;979.4;36;0.2;9;
83363;10/02/1998;1800;23.3;23.2;99;979.4;23;0.3;8;
83363;11/02/1998;0000;23.4;22.8;95;978.9;;;;
83363;11/02/1998;1200;21;21;99;979.4;23;0.4;10;
83363;11/02/1998;1800;25.2;24.2;91;978.4;23;0.4;10;
83363;12/02/1998;0000;22.7;22.5;97;977.5;23;0.4;10;
83363;12/02/1998;1200;21;21;99;979.4;23;0.4;10;
83363;12/02/1998;1800;23.2;23.1;98;979.4;23;0.5;10;
83363;13/02/1998;0000;20.4;20.4;100;979.3;23;0.7;10;
83363;13/02/1998;1200;21;21;100;979.3;23;0.2;10;
83363;13/02/1998;1800;25;24.2;94;979.4;18;0.4;10;
83363;14/02/1998;0000;22.2;21.8;96;977.8;5;0.3;10;
