<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83376</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PIRENOPOLIS - GO (OMM: 83376)
Latitude  (graus) : -15.85
Longitude (graus) : -48.96
Altitude  (metros): 740.00
Esta��o Operante
Inicio de opera��o: 17/02/1977
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83376;17/02/1977;1200;26.2;21.4;64;;36;2;7;
83376;17/02/1977;1800;31.8;23;46;;14;4;7;
83376;18/02/1977;0000;23;19.8;73;;0;0;0;
83376;18/02/1977;1200;27.2;21.4;58;;9;4;0;
83376;18/02/1977;1800;36.8;22.4;27;;36;6;8;
83376;19/02/1977;0000;20.8;20;93;;0;0;0;
83376;19/02/1977;1200;24.2;21;74;;5;2;4;
83376;19/02/1977;1800;29.4;21.8;50;;5;5;8;
83376;20/02/1977;0000;21;19.8;89;;0;0;0;
83376;20/02/1977;1200;23.8;21.2;79;;0;0;2;
83376;20/02/1977;1800;30.8;22;45;;9;4;7;
83376;21/02/1977;0000;21;20;91;;0;0;0;
83376;21/02/1977;1200;23;21.4;86;;0;0;2;
83376;21/02/1977;1800;28.2;22.4;59;;9;4;8;
83376;22/02/1977;0000;22;19;74;;27;2;0;
83376;22/02/1977;1200;23.8;21.4;80;;36;2;2;
83376;22/02/1977;1800;22.6;20.2;80;;0;0;8;
83376;23/02/1977;0000;20.8;20.2;95;;0;0;10;
83376;23/02/1977;1200;22;20.4;86;;0;0;8;
83376;23/02/1977;1800;20.6;19;86;;9;4;10;
83376;24/02/1977;0000;19.6;19.4;98;;0;0;10;
83376;24/02/1977;1200;20.8;20;93;;0;0;7;
83376;24/02/1977;1800;21.4;20;87;;0;0;8;
83376;25/02/1977;0000;20;19.2;93;;0;0;7;
83376;25/02/1977;1200;21;19.6;87;;0;0;7;
83376;25/02/1977;1800;27.8;22.6;63;;18;2;8;
83376;26/02/1977;0000;21.8;20.8;91;;0;0;8;
83376;26/02/1977;1200;23.6;20.6;75;;0;0;5;
83376;26/02/1977;1800;26.8;21.4;60;;5;6;8;
83376;27/02/1977;0000;21.4;20.8;94;;0;0;9;
83376;27/02/1977;1200;24.8;21.2;72;;9;4;7;
83376;27/02/1977;1800;26.8;21.8;63;;27;1;9;
83376;28/02/1977;0000;20.2;19.4;92;;0;0;8;
83376;28/02/1977;1200;22.8;21;85;;5;3;8;
83376;28/02/1977;1800;29;21.4;49;;5;2;7;
83376;01/03/1977;0000;23;21;83;;0;0;8;
83376;01/03/1977;1200;24.2;20.8;72;;36;2;7;
83376;01/03/1977;1800;29.2;23.2;59;;36;2;8;
83376;02/03/1977;0000;21.8;21;93;;0;0;6;
83376;02/03/1977;1200;24.2;22.6;87;;0;0;6;
83376;02/03/1977;1800;31;24.2;56;;9;3;7;
83376;03/03/1977;0000;23;21.6;88;;0;0;5;
83376;03/03/1977;1200;25.2;22.6;80;;0;0;6;
