<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83377</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : BRASILIA - DF (OMM: 83377)
Latitude  (graus) : -15.78
Longitude (graus) : -47.92
Altitude  (metros): 1159.54
Esta��o Operante
Inicio de opera��o: 12/09/1961
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83377;21/08/1961;0000;22.6;14.1;36;901.5;;;;
83377;21/08/1961;1200;23.8;15.2;37;889.2;9;1.5;0;
83377;21/08/1961;1800;24.2;15.4;36;901.8;14;2.6;7;
83377;22/08/1961;0000;22.6;14.1;36;901.5;0;0;5;
83377;22/08/1961;1200;24.8;14.6;30;888.3;14;2.1;4;
83377;22/08/1961;1800;27;16;29;888.2;14;1;8;
83377;23/08/1961;0000;24.6;14;27;887.8;0;0;5;
83377;23/08/1961;1200;19.8;14.6;56;888.3;14;2.6;5;
83377;23/08/1961;1800;28.7;17.3;29;887.5;14;2.1;8;
83377;24/08/1961;0000;21.4;15.2;51;888.2;14;1.5;10;
83377;24/08/1961;1200;22.4;15.8;49;902;5;2.6;7;
83377;24/08/1961;1800;28;17.1;31;901.6;5;2.1;6;
83377;25/08/1961;0000;24;14;30;901;5;1.5;0;
83377;25/08/1961;1200;23.2;15;40;902.2;14;2.6;0;
83377;25/08/1961;1800;30.7;16.8;21;901.2;5;0.5;6;
83377;26/08/1961;0000;20.9;13.4;41;901.6;36;1.5;0;
83377;26/08/1961;1200;25.6;15.2;30;901.9;14;1.5;2;
83377;26/08/1961;1800;31;16.3;17;901.6;5;3.1;5;
83377;27/08/1961;0000;21.8;15;46;901.5;14;1.5;8;
83377;27/08/1961;1200;22;15.2;47;888.2;27;2.6;8;
83377;27/08/1961;1800;30;17.4;25;901.2;32;1.5;10;
83377;28/08/1961;0000;23.8;14.8;36;901.5;5;1.5;7;
83377;28/08/1961;1200;24.4;15.7;37;902;5;3.1;7;
83377;28/08/1961;1800;28.6;17;29;887.5;27;4.1;8;
83377;29/08/1961;0000;21.4;14.7;47;890.2;9;2.1;5;
83377;29/08/1961;1200;22.3;14.8;43;902;9;4.1;0;
83377;29/08/1961;1800;28.2;16.3;26;901.4;9;2.1;0;
83377;30/08/1961;0000;20.2;14.6;54;901.8;9;1.5;0;
83377;30/08/1961;1200;22.1;12.9;31;888.2;23;2.1;0;
83377;30/08/1961;1800;29.4;17;26;901.2;36;2.6;5;
83377;31/08/1961;0000;23;14;34;887.6;9;1.5;0;
83377;31/08/1961;1200;24.3;15.1;35;886.8;9;2.1;5;
83377;31/08/1961;1800;30.1;17.1;24;887.5;14;2.6;0;
83377;01/09/1961;0000;22;14.3;41;901.5;14;2.1;0;
83377;01/09/1961;1200;24;15;36;889.4;9;2.6;2;
83377;01/09/1961;1800;29.3;16.9;26;;5;3.1;4;
83377;02/09/1961;0000;22.2;15;44;;5;2.1;0;
83377;02/09/1961;1200;22;14.2;41;;9;4.1;0;
83377;02/09/1961;1800;27.2;15.3;24;;36;2.6;3;
83377;03/09/1961;0000;21;14.3;46;;9;2.1;0;
83377;03/09/1961;1200;21.2;14.8;48;;9;2.6;0;
83377;03/09/1961;1800;30;17;24;;9;1.5;3;
83377;04/09/1961;0000;21.2;14.3;45;;9;1.5;0;
83377;04/09/1961;1200;21.4;13;35;;5;2.6;3;
83377;04/09/1961;1800;30.2;17;23;;36;1.5;5;
83377;05/09/1961;0000;21.3;14.2;43;;9;1.5;0;
83377;05/09/1961;1200;24.8;14.9;31;;14;2.6;0;
83377;05/09/1961;1800;31;15.3;13;;9;2.6;0;
83377;06/09/1961;0000;22.2;12.8;30;;14;2.1;0;
83377;06/09/1961;1200;25.9;15.2;27;;36;1.5;0;
83377;06/09/1961;1800;31.9;16.2;15;;5;2.6;0;
83377;07/09/1961;0000;21.2;12;30;;9;1.5;0;
83377;07/09/1961;1200;25.8;18;45;;9;2.1;0;
83377;07/09/1961;1800;31.7;17;17;;9;2.6;0;
83377;08/09/1961;0000;21.3;14.3;45;;9;1.5;0;
83377;08/09/1961;1200;22.4;14.2;39;;9;3.6;0;
83377;08/09/1961;1800;31.4;16.4;18;;5;4.6;0;
83377;09/09/1961;0000;22;12.1;26;;9;3;0;
83377;09/09/1961;1200;22.9;14.9;40;;9;4.6;0;
83377;09/09/1961;1800;29.8;17.2;25;;14;2.6;0;
83377;10/09/1961;0000;21.3;14;42;;9;1.5;0;
83377;10/09/1961;1200;25.6;14.6;27;;5;1.5;0;
83377;10/09/1961;1800;31.4;19.6;31;;5;2.1;0;
83377;11/09/1961;0000;;;;;9;1.5;0;
83377;11/09/1961;1200;27.2;17.3;35;;5;2.6;4;
83377;11/09/1961;1800;32.2;18;20;;9;3.6;4;
83377;12/09/1961;0000;;;;;9;1.5;0;
83377;12/09/1961;1200;26.6;16.7;34;;5;2.6;0;
83377;12/09/1961;1800;32.2;18.6;24;;9;2.1;6;
83377;13/09/1961;0000;;;;;9;1.5;0;
83377;13/09/1961;1200;27.4;17.9;37;;14;2.1;0;
83377;13/09/1961;1800;32.9;18;21;;9;3.6;4;
83377;14/09/1961;0000;;;;;0;0;0;
83377;14/09/1961;1200;25.9;14.4;24;;5;4.1;0;
83377;14/09/1961;1800;32.2;16.4;16;;9;3.1;0;
83377;15/09/1961;0000;;;;;9;1.5;0;
83377;15/09/1961;1200;25;15.4;33;;5;2.1;0;
83377;15/09/1961;1800;32.2;17.6;20;;5;4.1;4;
