<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83385</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO FRANCISCO - MG (OMM: 83385)
Latitude  (graus) : -15.95
Longitude (graus) : -44.86
Altitude  (metros): 446.49
Esta��o Desativada
Inicio de opera��o: 03/06/1912
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83385;01/01/1961;1200;23.4;22.4;91;958;23;2;9;
83385;01/01/1961;1800;31.4;25.2;60;953.8;0;0;2;
83385;02/01/1961;0000;21.8;20;84;958;14;2;8;
83385;02/01/1961;1200;23.8;22.8;91;959.4;0;0;9;
83385;02/01/1961;1800;30.4;25.2;65;955.1;0;0;4;
83385;03/01/1961;0000;21.6;19.4;80;958.3;0;0;10;
83385;03/01/1961;1200;24.6;23.2;89;956.8;0;0;6;
83385;03/01/1961;1800;25.8;23.2;80;953.9;0;0;9;
83385;04/01/1961;0000;21.4;21;96;958;0;0;10;
83385;04/01/1961;1200;24.2;22.8;88;958.2;0;0;8;
83385;04/01/1961;1800;29.8;25.2;68;955.2;14;2;6;
83385;05/01/1961;0000;23.6;21.8;84;956.8;0;0;10;
83385;05/01/1961;1200;23.8;22.8;91;957.4;0;0;8;
83385;05/01/1961;1800;30.8;24.8;61;953.5;0;0;2;
83385;06/01/1961;0000;22.2;21.8;96;956.8;0;0;2;
83385;06/01/1961;1200;25;22.8;82;958.4;0;0;6;
83385;06/01/1961;1800;21.2;20.4;92;956.8;27;2;10;
83385;07/01/1961;0000;21.8;21;93;957.1;0;0;10;
83385;07/01/1961;1200;23.2;22.8;96;958.2;0;0;8;
83385;07/01/1961;1800;29.8;25;67;953.8;5;2;6;
83385;08/01/1961;0000;20.8;20.4;96;957.9;14;2;10;
83385;08/01/1961;1200;22.8;22.2;95;959.5;23;2;9;
83385;08/01/1961;1800;29;24.8;70;955.2;23;2;6;
83385;09/01/1961;0000;24;22.8;89;956.7;0;0;2;
83385;09/01/1961;1200;26.2;23.2;77;957.8;0;0;2;
