<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83393</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PEDRA AZUL - MG (OMM: 83393)
Latitude  (graus) : -16
Longitude (graus) : -41.28
Altitude  (metros): 648.91
Esta��o Operante
Inicio de opera��o: 01/10/1918
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83393;21/02/1972;1200;23;21;84;946;0;0;8;
83393;21/02/1972;1800;31;24;57;945.2;5;3;8;
83393;22/02/1972;0000;25;21;71;945.8;9;1;7;
83393;22/02/1972;1200;24.5;20;67;945.2;36;2;4;
83393;22/02/1972;1800;31.5;25;61;945.1;9;3;6;
83393;23/02/1972;0000;26.5;22.5;72;944.8;9;2;0;
83393;23/02/1972;1200;24;20;70;945;5;3;4;
83393;23/02/1972;1800;32;25;58;945.1;14;2;6;
83393;24/02/1972;0000;26;21.5;68;945.1;14;1;0;
83393;24/02/1972;1200;23;20;76;944.8;36;3;8;
83393;24/02/1972;1800;31;25;62;944.7;14;4;7;
83393;25/02/1972;0000;24.5;21;74;945.8;0;0;3;
83393;25/02/1972;1200;24;21;77;946;36;1;7;
83393;25/02/1972;1800;29.4;23.8;63;944.4;14;2;8;
83393;26/02/1972;0000;25.3;21.5;73;944.3;14;3;0;
83393;26/02/1972;1200;24;21;77;944.7;36;3;8;
83393;26/02/1972;1800;29.5;23.5;61;943.6;14;2;7;
83393;27/02/1972;0000;23.7;20;73;945.5;0;0;3;
83393;27/02/1972;1200;23.5;21;80;946;36;1;7;
83393;27/02/1972;1800;31.2;24.6;59;944.8;14;4;7;
83393;28/02/1972;0000;24;19;63;945.5;9;1;0;
83393;28/02/1972;1200;24;21;77;945.8;36;4;8;
83393;28/02/1972;1800;30;25;68;943.9;27;7;9;
83393;29/02/1972;0000;22;21.5;96;945;18;1;9;
83393;29/02/1972;1200;24.9;22;78;945.5;36;3;9;
83393;29/02/1972;1800;29;25;72;944.7;36;6;8;
83393;01/03/1972;0000;25;21.5;75;945.6;32;2;9;
83393;01/03/1972;1200;23.7;21;79;945.2;32;2;7;
83393;01/03/1972;1800;26.5;22;68;945.2;27;6;9;
83393;02/03/1972;0000;23;21;84;945;36;2;9;
83393;02/03/1972;1200;23;21.5;87;945.6;14;1;8;
83393;02/03/1972;1800;25.5;21.8;74;945.8;32;3;8;
83393;03/03/1972;0000;22.5;21;87;945.1;9;1;7;
83393;03/03/1972;1200;23.5;20.4;76;945.1;5;2;7;
83393;03/03/1972;1800;30.5;21.7;48;944.2;36;3;7;
83393;04/03/1972;0000;23.9;21.5;81;945.1;5;4;5;
