<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83398</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CANAVIEIRAS - BA (OMM: 83398)
Latitude  (graus) : -15.66
Longitude (graus) : -38.95
Altitude  (metros): 3.87
Esta��o Operante
Inicio de opera��o: 01/01/1930
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83398;01/01/1977;1200;26.2;22.8;75;1014.7;23;3;9;
83398;01/01/1977;1800;27.3;23.8;75;1012.4;9;4;9;
83398;02/01/1977;0000;25.4;23.8;88;1014.2;9;1;9;
83398;02/01/1977;1200;26;23.6;82;1014.8;0;0;8;
83398;02/01/1977;1800;28.8;23.8;66;1012;9;4;9;
83398;03/01/1977;0000;24.7;22.6;84;1013.2;0;0;7;
83398;03/01/1977;1200;29;24;66;1013.3;0;0;6;
83398;03/01/1977;1800;28.8;23.2;62;1010.8;9;6;8;
83398;04/01/1977;0000;25.8;23.4;82;1011.8;9;2;9;
83398;04/01/1977;1200;28;23.2;67;1011.8;5;1;8;
83398;04/01/1977;1800;29.4;24;64;1009.7;9;5;8;
83398;05/01/1977;0000;26.1;23;77;1010.7;5;2;9;
83398;05/01/1977;1200;25.6;23.8;86;1012.2;0;0;9;
83398;05/01/1977;1800;26.1;24.2;86;1010.5;5;5;9;
83398;06/01/1977;0000;23.8;23;94;1011.4;0;0;7;
83398;06/01/1977;1200;27.4;23.9;75;1012;9;4;8;
83398;06/01/1977;1800;28.6;24.4;71;1010.9;14;4;7;
83398;07/01/1977;0000;25.8;23.3;81;1012;9;5;6;
83398;07/01/1977;1200;28.8;23.3;63;1013.9;5;4;6;
83398;07/01/1977;1800;28.6;22.8;61;1011.6;9;5;5;
83398;08/01/1977;0000;26;22.5;74;1013.5;9;4;4;
83398;08/01/1977;1200;24.8;23.2;88;1014.7;9;5;10;
83398;08/01/1977;1800;28.5;24.1;69;1012.5;9;4;8;
83398;09/01/1977;0000;25.2;23.6;88;1013.9;0;0;9;
