<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83405</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CACERES - MT (OMM: 83405)
Latitude  (graus) : -16.05
Longitude (graus) : -57.68
Altitude  (metros): 118.00
Esta��o Operante
Inicio de opera��o: 01/01/1912
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83405;01/01/1961;1200;24.1;23.2;92;996;36;1.3;10;
83405;01/01/1961;1800;27.8;24.9;77;994;36;1.3;9;
83405;02/01/1961;0000;23.4;23;96;993.2;36;1.1;3;
83405;02/01/1961;1200;25;23.7;90;995.2;36;1.2;9;
83405;02/01/1961;1800;33.2;26.2;56;992.3;32;1.2;3;
83405;03/01/1961;0000;25.9;24.4;88;993.8;32;1.1;1;
83405;03/01/1961;1200;27.1;24.6;81;994.6;36;1.1;3;
83405;03/01/1961;1800;29;26.7;83;991;36;1.4;10;
83405;04/01/1961;0000;24.9;23.9;92;992.4;36;1.1;10;
83405;04/01/1961;1200;25.4;24;89;995;36;1.1;8;
83405;04/01/1961;1800;31.3;26.9;69;991.6;36;1.2;6;
83405;05/01/1961;0000;24.2;23.8;96;992.3;36;1.3;10;
83405;05/01/1961;1200;24.8;23.7;92;993.6;36;1.2;10;
83405;05/01/1961;1800;31.2;26.4;67;990.7;36;1.3;3;
83405;06/01/1961;0000;25.4;24.4;92;989.8;36;1.2;0;
83405;06/01/1961;1200;25.6;24.2;89;994.7;36;1.2;10;
83405;06/01/1961;1800;26.4;24.6;86;997;36;1.3;10;
83405;07/01/1961;0000;23.4;23;96;999.2;36;1.2;10;
83405;07/01/1961;1200;23.2;22.2;91;995;36;1.2;10;
83405;07/01/1961;1800;29;25.4;73;992.3;32;1.1;3;
83405;08/01/1961;0000;27.2;25.2;85;992.8;32;1.8;0;
83405;08/01/1961;1200;25;24.4;95;994.2;36;7.7;8;
83405;08/01/1961;1800;32.1;26.8;64;992.3;32;1.1;4;
